source,season,group,rank,name,gsis_id
fox,2026,CB,10,Sauce Gardner,00-0037190
fox,2026,CB,9,Cooper DeJean,00-0039841
fox,2026,CB,8,Jaycee Horn,00-0036944
fox,2026,CB,7,Denzel Ward,00-0034856
fox,2026,CB,6,Quinyon Mitchell,00-0039888
fox,2026,CB,5,Trent McDuffie,00-0037191
fox,2026,CB,4,Devon Witherspoon,00-0039169
fox,2026,CB,3,Christian Gonzalez,00-0039147
fox,2026,CB,2,Derek Stingley Jr.,00-0037237
fox,2026,CB,1,Pat Surtain II,00-0036874
pff,2026,CB,1,Devon Witherspoon,00-0039169
pff,2026,CB,2,Sauce Gardner,00-0037190
pff,2026,CB,3,Pat Surtain II,00-0036874
pff,2026,CB,4,Trent McDuffie,00-0037191
pff,2026,CB,5,Cooper DeJean,00-0039841
pff,2026,CB,6,Quinyon Mitchell,00-0039888
pff,2026,CB,7,Derek Stingley Jr.,00-0037237
pff,2026,CB,8,Christian Gonzalez,00-0039147
pff,2026,CB,9,Kamari Lassiter,00-0039343
pff,2026,CB,10,Mike Jackson,00-0035277
pff,2026,CB,11,Jamel Dean,00-0035699
pff,2026,CB,12,Christian Benford,00-0037288
pff,2026,CB,14,Jaylon Johnson,00-0036292
pff,2026,CB,15,Jaylen Watson,00-0037195
pff,2026,CB,16,Carlton Davis III,00-0034778
pff,2026,CB,17,DJ Turner II,00-0038549
pff,2026,CB,18,Joey Porter Jr.,00-0039167
pff,2026,CB,19,Marcus Jones,00-0037253
pff,2026,CB,20,Denzel Ward,00-0034856
pff,2026,CB,21,Jourdan Lewis,00-0033928
pff,2026,CB,22,Isaiah Rodgers,00-0036222
pff,2026,CB,23,D.J. Reed,00-0034384
pff,2026,CB,24,Charvarius Ward,00-0034573
pff,2026,CB,25,A.J. Terrell,00-0036285
pff,2026,CB,26,Eric Stokes,00-0036901
pff,2026,CB,27,Garrett Williams,00-0039007
pff,2026,CB,28,Jaycee Horn,00-0036944
pff,2026,CB,29,Rasul Douglas,00-0033551
pff,2026,CB,30,Tarheeb Still,00-0039366
pff,2026,CB,31,Kool-Aid McKinstry,00-0039860
pff,2026,CB,32,Keisean Nixon,00-0035133
pff,2026,S,1,Kyle Hamilton,00-0038038
pff,2026,S,2,Derwin James,00-0034790
pff,2026,S,3,Xavier McKinney,00-0036388
pff,2026,S,4,Minkah Fitzpatrick,00-0034789
pff,2026,S,5,Brian Branch,00-0039141
pff,2026,S,6,Antoine Winfield Jr.,00-0036411
pff,2026,S,7,Jalen Pitre,00-0037246
pff,2026,S,8,Kevin Byard,00-0033132
pff,2026,S,9,Jessie Bates III,00-0034675
pff,2026,S,10,Kamren Kinchens,00-0039834
pff,2026,S,11,Bryan Cook,00-0037193
pff,2026,S,12,Kamren Curl,00-0036349
pff,2026,S,13,Antonio Johnson,00-0038596
pff,2026,S,14,Nick Emmanwori,00-0040733
pff,2026,S,15,Talanoa Hufanga,00-0036564
pff,2026,S,16,Kerby Joseph,00-0037667
pff,2026,S,17,Julian Love,00-0034974
pff,2026,S,18,Jaylinn Hawkins,00-0036302
pff,2026,S,19,Coby Bryant,00-0038136
pff,2026,S,20,Jalen Thompson,00-0035705
pff,2026,S,21,Evan Williams,00-0039813
pff,2026,S,22,Justin Reid,00-0034361
pff,2026,S,23,Jalen Ramsey,00-0033055
pff,2026,S,24,Alohi Gilman,00-0036380
pff,2026,S,25,Brandon Jones,00-0036221
pff,2026,S,26,Xavier Watts,00-0040148
pff,2026,S,27,Craig Woodson,00-0040716
pff,2026,S,28,Ronnie Hickman Jr.,00-0038715
pff,2026,S,29,Camryn Bynum,00-0036629
pff,2026,S,30,Quentin Lake,00-0037841
pff,2026,S,31,Calen Bullock,00-0039838
pff,2026,S,32,Budda Baker,00-0033890
si,2026,S,10,Calen Bullock,00-0039838
si,2026,S,9,Budda Baker,00-0033890
si,2026,S,8,Antoine Winfield Jr.,00-0036411
si,2026,S,7,Kevin Byard III,00-0033132
si,2026,S,6,Brian Branch,00-0039141
si,2026,S,5,Talanoa Hufanga,00-0036564
si,2026,S,4,Xavier McKinney,00-0036388
si,2026,S,3,Jessie Bates III,00-0034675
si,2026,S,2,Derwin James Jr.,00-0034790
si,2026,S,1,Kyle Hamilton,00-0038038
