Tm,G,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
'Kansas City Chiefs',17.0,229.0,111.0,0.485,17.0,12.0,0.706,65.0,35.0,0.538
'Tampa Bay Buccaneers',17.0,216.0,110.0,0.509,14.0,9.0,0.643,69.0,46.0,0.667
'Cincinnati Bengals',17.0,214.0,100.0,0.467,19.0,10.0,0.526,61.0,39.0,0.639
'Washington Commanders',17.0,217.0,99.0,0.456,23.0,20.0,0.87,71.0,45.0,0.634
'Philadelphia Eagles',17.0,235.0,98.0,0.417,27.0,19.0,0.704,68.0,39.0,0.574
'Detroit Lions',17.0,206.0,98.0,0.476,33.0,22.0,0.667,72.0,50.0,0.694
'Baltimore Ravens',17.0,191.0,92.0,0.482,15.0,8.0,0.533,66.0,49.0,0.742
'Denver Broncos',17.0,230.0,91.0,0.396,22.0,15.0,0.682,56.0,35.0,0.625
'Pittsburgh Steelers',17.0,228.0,90.0,0.395,18.0,7.0,0.389,56.0,27.0,0.482
'Buffalo Bills',17.0,202.0,89.0,0.441,22.0,16.0,0.727,67.0,48.0,0.716
'Los Angeles Chargers',17.0,221.0,89.0,0.403,16.0,10.0,0.625,50.0,28.0,0.56
'Houston Texans',17.0,231.0,87.0,0.377,18.0,11.0,0.611,57.0,28.0,0.491
'San Francisco 49ers',17.0,197.0,84.0,0.426,16.0,8.0,0.5,63.0,36.0,0.571
'Dallas Cowboys',17.0,228.0,84.0,0.368,28.0,10.0,0.357,50.0,23.0,0.46
'Indianapolis Colts',17.0,219.0,83.0,0.379,28.0,17.0,0.607,52.0,28.0,0.538
'Arizona Cardinals',17.0,193.0,83.0,0.43,18.0,8.0,0.444,57.0,32.0,0.561
'New York Jets',17.0,210.0,83.0,0.395,24.0,10.0,0.417,55.0,30.0,0.545
'Atlanta Falcons',17.0,209.0,82.0,0.392,31.0,21.0,0.677,53.0,29.0,0.547
'New York Giants',17.0,232.0,82.0,0.353,37.0,20.0,0.541,44.0,19.0,0.432
'Tennessee Titans',17.0,215.0,81.0,0.377,23.0,9.0,0.391,45.0,24.0,0.533
'Minnesota Vikings',17.0,200.0,80.0,0.4,13.0,6.0,0.462,61.0,34.0,0.557
'Seattle Seahawks',17.0,210.0,79.0,0.376,19.0,10.0,0.526,42.0,24.0,0.571
'Las Vegas Raiders',17.0,224.0,78.0,0.348,25.0,14.0,0.56,45.0,22.0,0.489
'Miami Dolphins',17.0,212.0,77.0,0.363,31.0,15.0,0.484,53.0,30.0,0.566
'New Orleans Saints',17.0,216.0,76.0,0.352,27.0,15.0,0.556,43.0,25.0,0.581
'Chicago Bears',17.0,231.0,76.0,0.329,38.0,23.0,0.605,37.0,23.0,0.622
'Jacksonville Jaguars',17.0,204.0,76.0,0.373,26.0,14.0,0.538,50.0,29.0,0.58
'Carolina Panthers',17.0,211.0,76.0,0.36,30.0,14.0,0.467,50.0,31.0,0.62
'New England Patriots',17.0,215.0,75.0,0.349,24.0,14.0,0.583,47.0,22.0,0.468
'Green Bay Packers',17.0,190.0,75.0,0.395,16.0,8.0,0.5,69.0,41.0,0.594
'Los Angeles Rams',17.0,201.0,74.0,0.368,24.0,16.0,0.667,63.0,33.0,0.524
'Cleveland Browns',17.0,237.0,70.0,0.295,44.0,24.0,0.545,37.0,18.0,0.486
