Tm,G,Dr,Plays,Sc%,TO%,PlaysPer,Yds,Start,Time,Pts
'Cleveland Browns',17.0,201.0,1145.0,22.4,15.9,5.7,25.4,'Own 29.0',"datetime.time(2, 33)",1.21
'Indianapolis Colts',17.0,194.0,1078.0,36.6,14.9,5.6,29.3,'Own 28.9',"datetime.time(2, 27)",1.92
'Houston Texans',17.0,193.0,1100.0,36.8,9.3,5.7,28.1,'Own 31.8',"datetime.time(2, 43)",1.83
'Las Vegas Raiders',17.0,191.0,1105.0,33.0,15.2,5.8,26.9,'Own 29.5',"datetime.time(2, 37)",1.6
'Tennessee Titans',17.0,191.0,1059.0,30.4,16.8,5.5,26.9,'Own 29.5',"datetime.time(2, 45)",1.6
'Minnesota Vikings',17.0,191.0,1096.0,41.4,10.5,5.7,30.8,'Own 31.3',"datetime.time(2, 43)",2.16
'Denver Broncos',17.0,190.0,1089.0,38.4,10.0,5.7,29.0,'Own 32.5',"datetime.time(2, 41)",2.04
'Dallas Cowboys',17.0,189.0,1151.0,36.5,14.3,6.1,29.3,'Own 29.6',"datetime.time(2, 38)",1.71
'Pittsburgh Steelers',17.0,187.0,1110.0,39.6,8.6,5.9,28.4,'Own 31.6',"datetime.time(2, 46)",1.91
'Carolina Panthers',17.0,186.0,1019.0,33.3,11.8,5.5,27.2,'Own 30.3',"datetime.time(2, 34)",1.86
'New York Giants',17.0,183.0,1091.0,27.9,12.0,6.0,27.3,'Own 30.3',"datetime.time(2, 48)",1.45
'Seattle Seahawks',17.0,182.0,1052.0,35.2,9.9,5.8,30.4,'Own 27.8',"datetime.time(2, 42)",1.89
'Philadelphia Eagles',17.0,182.0,1150.0,44.5,6.6,6.3,34.2,'Own 31.7',"datetime.time(3, 1)",2.5
'Miami Dolphins',17.0,182.0,1123.0,39.0,11.0,6.2,30.1,'Own 30.3',"datetime.time(2, 58)",1.92
'Los Angeles Chargers',17.0,182.0,1055.0,42.9,4.4,5.8,29.9,'Own 29.5',"datetime.time(2, 51)",2.14
'Detroit Lions',17.0,182.0,1147.0,51.6,8.2,6.3,38.3,'Own 31.0',"datetime.time(3, 2)",3.04
'Chicago Bears',17.0,181.0,1090.0,29.8,7.7,6.0,26.6,'Own 29.8',"datetime.time(2, 50)",1.62
'New Orleans Saints',17.0,181.0,1063.0,34.8,9.4,5.9,30.0,'Own 31.1',"datetime.time(2, 39)",1.84
'Green Bay Packers',17.0,181.0,1065.0,45.9,9.9,5.9,34.8,'Own 32.0',"datetime.time(2, 52)",2.5
'Baltimore Ravens',17.0,181.0,1085.0,47.0,6.1,6.0,39.7,'Own 28.5',"datetime.time(2, 56)",2.8
'Tampa Bay Buccaneers',17.0,181.0,1126.0,48.1,12.7,6.2,37.4,'Own 29.7',"datetime.time(3, 3)",2.7
'Cincinnati Bengals',17.0,181.0,1113.0,43.6,10.5,6.1,34.3,'Own 31.4',"datetime.time(2, 55)",2.5
'New England Patriots',17.0,178.0,1060.0,30.9,12.9,6.0,27.8,'Own 29.8',"datetime.time(2, 48)",1.58
'Jacksonville Jaguars',17.0,177.0,1021.0,33.3,13.0,5.8,29.4,'Own 27.6',"datetime.time(2, 36)",1.72
'Washington Commanders',17.0,176.0,1143.0,50.0,8.0,6.5,35.6,'Own 31.8',"datetime.time(2, 59)",2.73
'San Francisco 49ers',17.0,175.0,1069.0,41.7,13.7,6.1,36.5,'Own 29.2',"datetime.time(2, 58)",2.17
'New York Jets',17.0,173.0,1038.0,34.1,10.4,6.0,30.4,'Own 29.0',"datetime.time(2, 51)",1.92
'Buffalo Bills',17.0,173.0,1054.0,49.7,4.6,6.1,35.4,'Own 33.4',"datetime.time(2, 56)",2.92
'Los Angeles Rams',17.0,169.0,1074.0,39.1,8.3,6.4,33.3,'Own 29.7',"datetime.time(2, 58)",2.05
'Kansas City Chiefs',17.0,169.0,1128.0,43.2,8.3,6.7,33.0,'Own 30.1',"datetime.time(3, 8)",2.27
'Atlanta Falcons',17.0,169.0,1116.0,39.6,13.6,6.6,36.6,'Own 28.6',"datetime.time(2, 59)",2.11
'Arizona Cardinals',17.0,168.0,1074.0,44.6,11.9,6.4,36.3,'Own 28.1',"datetime.time(3, 1)",2.32
