season,team,line,over,under,p_over,vegas_wins,actual_wins
2016,ARI,10.0,-170,150,0.6115,10.57,7.0
2016,ATL,7.0,-130,110,0.5427,7.21,11.0
2016,BAL,8.5,-110,-110,0.5,8.5,8.0
2016,BUF,8.0,130,-150,0.4202,7.6,7.0
2016,CAR,10.5,120,-140,0.438,10.19,6.0
2016,CHI,7.5,145,-165,0.396,6.97,3.0
2016,CIN,9.5,100,-120,0.4783,9.39,6.0
2016,CLE,4.5,-150,130,0.5798,4.9,1.0
2016,DAL,8.5,110,-130,0.4573,8.29,13.0
2016,DEN,9.5,130,-150,0.4202,9.1,9.0
2016,DET,7.0,-150,130,0.5798,7.4,9.0
2016,GB,10.5,-170,150,0.6115,11.07,10.0
2016,HOU,8.5,-120,100,0.5217,8.61,9.0
2016,IND,9.0,120,-140,0.438,8.69,8.0
2016,JAX,7.5,-125,105,0.5325,7.66,3.0
2016,KC,9.5,-140,120,0.562,9.81,12.0
2016,LA,7.5,175,-200,0.3529,6.75,4.0
2016,MIA,7.0,120,-140,0.438,6.69,10.0
2016,MIN,8.5,115,-135,0.4474,8.24,8.0
2016,NE,10.5,-120,100,0.5217,10.61,14.0
2016,NO,7.0,-140,120,0.562,7.31,7.0
2016,NYG,8.5,100,-120,0.4783,8.39,11.0
2016,NYJ,8.0,150,-170,0.3885,7.43,5.0
2016,LV,8.5,-110,-110,0.5,8.5,12.0
2016,PHI,6.5,130,-150,0.4202,6.1,7.0
2016,PIT,10.5,110,-130,0.4573,10.29,11.0
2016,LAC,7.0,-185,165,0.6324,7.68,5.0
2016,SF,5.5,110,-130,0.4573,5.29,2.0
2016,SEA,10.5,-145,125,0.5711,10.86,10.0
2016,TB,7.0,-140,120,0.562,7.31,9.0
2016,TEN,6.0,-150,130,0.5798,6.4,9.0
2016,WAS,7.5,-120,100,0.5217,7.61,8.0
2017,ARI,8.5,-160,140,0.5963,8.99,8.0
2017,ATL,9.5,-110,-110,0.5,9.5,10.0
2017,BAL,8.5,130,-150,0.4202,8.1,9.0
2017,BUF,6.5,130,-150,0.4202,6.1,9.0
2017,CAR,9.0,-120,100,0.5217,9.11,11.0
2017,CHI,5.5,105,-125,0.4675,5.34,5.0
2017,CIN,8.5,120,-140,0.438,8.19,7.0
2017,CLE,4.5,-180,150,0.6164,5.09,0.0
2017,DAL,9.5,120,-140,0.438,9.19,9.0
2017,DEN,8.0,100,-120,0.4783,7.89,5.0
2017,DET,7.5,120,-140,0.438,7.19,9.0
2017,GB,10.5,120,-140,0.438,10.19,7.0
2017,HOU,8.5,100,-120,0.4783,8.39,4.0
2017,IND,8.0,130,-150,0.4202,7.6,4.0
2017,JAX,6.5,-125,105,0.5325,6.66,10.0
2017,KC,9.0,-120,100,0.5217,9.11,10.0
2017,LAC,7.5,-160,140,0.5963,7.99,9.0
2017,LA,6.0,140,-160,0.4037,5.51,11.0
2017,MIA,7.0,-130,110,0.5427,7.21,6.0
2017,MIN,8.5,-130,110,0.5427,8.71,13.0
2017,NE,12.5,100,-120,0.4783,12.39,13.0
2017,NO,8.0,100,-120,0.4783,7.89,11.0
2017,NYG,9.0,-130,110,0.5427,9.21,3.0
2017,NYJ,3.5,125,-145,0.4289,3.14,5.0
2017,LV,9.5,100,-120,0.4783,9.39,6.0
2017,PHI,8.5,-120,100,0.5217,8.61,13.0
2017,PIT,10.5,-150,130,0.5798,10.9,13.0
2017,SF,5.0,100,-120,0.4783,4.89,6.0
2017,SEA,10.5,-130,110,0.5427,10.71,9.0
2017,TB,8.5,-120,100,0.5217,8.61,5.0
2017,TEN,9.0,-110,-110,0.5,9.0,9.0
2017,WAS,7.5,120,-140,0.438,7.19,7.0
2018,ARI,6.0,-130,110,0.5427,6.21,3.0
2018,ATL,9.5,-120,100,0.5217,9.61,7.0
2018,BAL,8.5,-120,100,0.5217,8.61,10.0
2018,BUF,5.5,120,-140,0.438,5.19,6.0
2018,CAR,8.5,110,-130,0.4573,8.29,7.0
2018,CHI,7.5,115,-135,0.4474,7.24,12.0
2018,CIN,7.0,-135,115,0.5526,7.26,6.0
2018,CLE,6.0,100,-120,0.4783,5.89,7.0
2018,DAL,8.5,120,-140,0.438,8.19,10.0
2018,DEN,7.0,-180,150,0.6164,7.59,6.0
2018,DET,7.5,-110,-110,0.5,7.5,6.0
2018,GB,10.0,-120,100,0.5217,10.11,6.0
2018,HOU,8.5,-140,120,0.562,8.81,11.0
2018,IND,7.5,110,-130,0.4573,7.29,10.0
2018,JAX,9.0,-130,110,0.5427,9.21,5.0
2018,KC,8.5,115,-135,0.4474,8.24,12.0
2018,LAC,9.5,-130,110,0.5427,9.71,12.0
2018,LA,10.0,-130,110,0.5427,10.21,13.0
2018,MIA,6.5,-140,120,0.562,6.81,7.0
2018,MIN,10.0,-140,120,0.562,10.31,8.0
2018,NE,11.0,-120,100,0.5217,11.11,11.0
2018,NO,9.5,-140,120,0.562,9.81,13.0
2018,NYG,7.0,-140,120,0.562,7.31,5.0
2018,NYJ,6.0,110,-130,0.4573,5.79,4.0
2018,LV,7.5,120,-140,0.438,7.19,4.0
2018,PHI,10.5,130,-150,0.4202,10.1,9.0
2018,PIT,10.5,125,-145,0.4289,10.14,9.0
2018,SF,8.5,130,-150,0.4202,8.1,4.0
2018,SEA,7.5,100,-120,0.4783,7.39,10.0
2018,TB,6.5,130,-150,0.4202,6.1,5.0
2018,TEN,8.0,-110,-110,0.5,8.0,9.0
2018,WAS,7.0,-130,110,0.5427,7.21,7.0
2019,ARI,5.0,-120,100,0.5217,5.11,5.0
2019,ATL,8.5,-140,120,0.562,8.81,7.0
2019,BAL,8.5,110,-130,0.4573,8.29,14.0
2019,BUF,7.0,-140,120,0.562,7.31,10.0
2019,CAR,8.0,-130,110,0.5427,8.21,5.0
2019,CHI,9.0,-140,120,0.562,9.31,8.0
2019,CIN,6.0,130,-150,0.4202,5.6,2.0
2019,CLE,9.0,100,-120,0.4783,8.89,6.0
2019,DAL,9.0,-110,-110,0.5,9.0,8.0
2019,DEN,7.0,-130,110,0.5427,7.21,7.0
2019,DET,6.5,-150,130,0.5798,6.9,3.0
2019,GB,9.0,-140,120,0.562,9.31,13.0
2019,HOU,8.5,-115,-105,0.5108,8.55,10.0
2019,IND,7.5,-110,-110,0.5,7.5,7.0
2019,JAX,8.0,-110,-110,0.5,8.0,6.0
2019,KC,10.5,-130,110,0.5427,10.71,12.0
2019,LAC,10.0,120,-140,0.438,9.69,5.0
2019,LA,10.5,125,-145,0.4289,10.14,9.0
2019,MIA,4.5,100,-120,0.4783,4.39,5.0
2019,MIN,9.0,-125,105,0.5325,9.16,10.0
2019,NE,11.5,-110,-110,0.5,11.5,12.0
2019,NO,10.5,130,-150,0.4202,10.1,13.0
2019,NYG,6.0,105,-125,0.4675,5.84,4.0
2019,NYJ,7.5,-110,-110,0.5,7.5,7.0
2019,LV,6.0,145,-170,0.3933,5.46,7.0
2019,PHI,10.0,-150,130,0.5798,10.4,9.0
2019,PIT,9.5,-110,-110,0.5,9.5,8.0
2019,SF,8.0,-140,120,0.562,8.31,13.0
2019,SEA,9.0,100,-120,0.4783,8.89,11.0
2019,TB,6.5,-110,-110,0.5,6.5,7.0
2019,TEN,8.0,120,-140,0.438,7.69,9.0
2019,WAS,6.0,130,-150,0.4202,5.6,3.0
2020,ARI,7.5,-110,-110,0.5,7.5,8.0
2020,ATL,7.5,100,-120,0.4783,7.39,4.0
2020,BAL,11.5,120,-140,0.438,11.19,11.0
2020,BUF,9.0,-120,100,0.5217,9.11,13.0
2020,CAR,5.5,-140,120,0.562,5.81,5.0
2020,CHI,8.0,115,-135,0.4474,7.74,8.0
2020,CIN,5.5,-150,130,0.5798,5.9,4.0
2020,CLE,8.5,-110,-110,0.5,8.5,11.0
2020,DAL,10.0,-110,-110,0.5,10.0,6.0
2020,DEN,7.5,-130,110,0.5427,7.71,5.0
2020,DET,7.0,-130,110,0.5427,7.21,5.0
2020,GB,8.5,-120,100,0.5217,8.61,13.0
2020,HOU,7.5,105,-125,0.4675,7.34,4.0
2020,IND,9.5,-110,-110,0.5,9.5,11.0
2020,JAX,4.5,-110,-110,0.5,4.5,1.0
2020,KC,11.5,-120,100,0.5217,11.61,14.0
2020,LV,7.5,115,-135,0.4474,7.24,8.0
2020,LAC,8.0,-105,-115,0.4892,7.95,7.0
