run_at,season,week,game_id,bet,odds,stake,stake_pct,book,spread_edge,total_edge,p_cover,kind,side,line,played,close,clv,clv_now,result,units,who,note
2026-09-23 21:50 UTC,2026,3,2026_03_KC_MIA,MIA +11.5,-110,1.0,0.97,Draft Kings,4.88,0.88,0.659,spread,MIA,11.5,False,,,0.0,pending,,model,
2026-09-23 21:50 UTC,2026,3,2026_03_TEN_NYG,NYG -2.5,-110,1.0,0.79,Draft Kings,4.58,4.63,0.655,spread,NYG,-2.5,False,,,0.0,pending,,model,
2026-09-23 21:50 UTC,2026,3,2026_03_CIN_PIT,PIT +3.5,-110,1.0,0.54,Draft Kings,4.17,4.58,0.647,spread,PIT,3.5,False,,,0.0,pending,,model,
2026-09-23 21:50 UTC,2026,3,2026_03_KC_MIA,MIA +11.5,-110,1.0,0.97,Draft Kings,4.88,0.88,0.659,spread,MIA,11.5,False,,,0.0,pending,,shadow45,
2026-09-23 21:50 UTC,2026,3,2026_03_TEN_NYG,NYG -2.5,-110,1.0,0.79,Draft Kings,4.58,4.63,0.655,spread,NYG,-2.5,False,,,0.0,pending,,shadow45,
2026-09-23 21:50 UTC,2026,3,2026_03_KC_MIA,MIA +11.5,-110,1.0,0.97,Draft Kings,4.88,0.88,0.659,spread,MIA,11.5,False,,,0.0,pending,,shadowdog,
2026-09-23 21:50 UTC,2026,3,2026_03_CIN_PIT,PIT +3.5,-110,1.0,0.54,Draft Kings,4.17,4.58,0.647,spread,PIT,3.5,False,,,0.0,pending,,shadowdog,
2026-09-23 21:50 UTC,2026,3,2026_03_KC_MIA,MIA +11.5,-110,1.0,0.97,Draft Kings,4.88,0.88,0.659,spread,MIA,11.5,False,,,0.0,pending,,shadowearly,
2026-09-23 21:50 UTC,2026,3,2026_03_TEN_NYG,NYG -2.5,-110,1.0,0.79,Draft Kings,4.58,4.63,0.655,spread,NYG,-2.5,False,,,0.0,pending,,shadowearly,
2026-09-23 21:50 UTC,2026,3,2026_03_CIN_PIT,PIT +3.5,-110,1.0,0.54,Draft Kings,4.17,4.58,0.647,spread,PIT,3.5,False,,,0.0,pending,,shadowearly,
