season,week,game_id,team,player_id,name,stat,proj,proj_volume,actual,actual_volume,error,graded_at,made
2026,1,2026_01_NE_SEA,NE,00-0033555,Mack Hollins,rec_yards,45.1,6.4,51.0,5,5.9,2026-09-23 23:08 UTC,after the fact
2026,1,2026_01_NE_SEA,NE,00-0033555,Mack Hollins,rec_catches,3.9,6.4,4.0,5,0.1,2026-09-23 23:08 UTC,after the fact
2026,1,2026_01_NE_SEA,NE,00-0033555,Mack Hollins,rec_td,0.294,6.4,0.0,5,-0.294,2026-09-23 23:08 UTC,after the fact
2026,1,2026_01_NE_SEA,NE,00-0033555,Mack Hollins,rec_targets,6.4,6.4,5.0,5,-1.4,2026-09-23 23:08 UTC,after the fact
2026,1,2026_01_NE_SEA,NE,00-0033555,Mack Hollins,rec_longest,17.1,6.4,19.0,5,1.9,2026-09-23 23:08 UTC,after the fact
2026,1,2026_01_NE_SEA,NE,00-0033090,Hunter Henry,rec_yards,38.3,5.6,26.0,3,-12.3,2026-09-23 23:08 UTC,after the fact
2026,1,2026_01_NE_SEA,NE,00-0033090,Hunter Henry,rec_catches,3.4,5.6,3.0,3,-0.4,2026-09-23 23:08 UTC,after the fact
2026,1,2026_01_NE_SEA,NE,00-0033090,Hunter Henry,rec_td,0.291,5.6,0.0,3,-0.291,2026-09-23 23:08 UTC,after the fact
2026,1,2026_01_NE_SEA,NE,00-0033090,Hunter Henry,rec_targets,5.6,5.6,3.0,3,-2.6,2026-09-23 23:08 UTC,after the fact
2026,1,2026_01_NE_SEA,NE,00-0033090,Hunter Henry,rec_longest,15.1,5.6,13.0,3,-2.1,2026-09-23 23:08 UTC,after the fact
2026,1,2026_01_NE_SEA,NE,00-0036875,Rhamondre Stevenson,rec_yards,27.8,4.1,44.0,6,16.2,2026-09-23 23:08 UTC,after the fact
2026,1,2026_01_NE_SEA,NE,00-0036875,Rhamondre Stevenson,rec_catches,2.8,4.1,5.0,6,2.2,2026-09-23 23:08 UTC,after the fact
2026,1,2026_01_NE_SEA,NE,00-0036875,Rhamondre Stevenson,rec_td,0.206,4.1,0.0,6,-0.206,2026-09-23 23:08 UTC,after the fact
2026,1,2026_01_NE_SEA,NE,00-0036875,Rhamondre Stevenson,rec_targets,4.1,4.1,6.0,6,1.9,2026-09-23 23:08 UTC,after the fact
2026,1,2026_01_NE_SEA,NE,00-0036875,Rhamondre Stevenson,rec_longest,13.3,4.1,17.0,6,3.7,2026-09-23 23:08 UTC,after the fact
2026,1,2026_01_NE_SEA,NE,00-0038621,DeMario Douglas,rec_yards,25.7,3.6,20.0,7,-5.7,2026-09-23 23:08 UTC,after the fact
2026,1,2026_01_NE_SEA,NE,00-0038621,DeMario Douglas,rec_catches,2.2,3.6,5.0,7,2.8,2026-09-23 23:08 UTC,after the fact
2026,1,2026_01_NE_SEA,NE,00-0038621,DeMario Douglas,rec_td,0.179,3.6,0.0,7,-0.179,2026-09-23 23:08 UTC,after the fact
2026,1,2026_01_NE_SEA,NE,00-0038621,DeMario Douglas,rec_targets,3.6,3.6,7.0,7,3.4,2026-09-23 23:08 UTC,after the fact
2026,1,2026_01_NE_SEA,NE,00-0038621,DeMario Douglas,rec_longest,13.6,3.6,8.0,7,-5.6,2026-09-23 23:08 UTC,after the fact
2026,1,2026_01_NE_SEA,NE,00-0040734,TreVeyon Henderson,rec_yards,16.4,2.9,0.0,0,-16.4,2026-09-23 23:08 UTC,after the fact
2026,1,2026_01_NE_SEA,NE,00-0040734,TreVeyon Henderson,rec_catches,2.0,2.9,0.0,0,-2.0,2026-09-23 23:08 UTC,after the fact
2026,1,2026_01_NE_SEA,NE,00-0040734,TreVeyon Henderson,rec_td,0.126,2.9,0.0,0,-0.126,2026-09-23 23:08 UTC,after the fact
2026,1,2026_01_NE_SEA,NE,00-0040734,TreVeyon Henderson,rec_targets,2.9,2.9,0.0,0,-2.9,2026-09-23 23:08 UTC,after the fact
2026,1,2026_01_NE_SEA,NE,00-0040734,TreVeyon Henderson,rec_longest,10.4,2.9,0.0,0,-10.4,2026-09-23 23:08 UTC,after the fact
2026,1,2026_01_NE_SEA,NE,00-0040131,Kyle Williams,rec_yards,15.1,2.4,0.0,0,-15.1,2026-09-23 23:08 UTC,after the fact
2026,1,2026_01_NE_SEA,NE,00-0040131,Kyle Williams,rec_catches,1.2,2.4,0.0,0,-1.2,2026-09-23 23:08 UTC,after the fact
2026,1,2026_01_NE_SEA,NE,00-0040131,Kyle Williams,rec_td,0.133,2.4,0.0,0,-0.133,2026-09-23 23:08 UTC,after the fact
2026,1,2026_01_NE_SEA,NE,00-0040131,Kyle Williams,rec_targets,2.4,2.4,0.0,0,-2.4,2026-09-23 23:08 UTC,after the fact
2026,1,2026_01_NE_SEA,NE,00-0040131,Kyle Williams,rec_longest,11.4,2.4,0.0,0,-11.4,2026-09-23 23:08 UTC,after the fact
2026,1,2026_01_NE_SEA,NE,00-0036875,Rhamondre Stevenson,rush_yards,42.3,11.8,51.0,18,8.7,2026-09-23 23:08 UTC,after the fact
2026,1,2026_01_NE_SEA,NE,00-0036875,Rhamondre Stevenson,rush_td,0.359,11.8,0.0,18,-0.359,2026-09-23 23:08 UTC,after the fact
2026,1,2026_01_NE_SEA,NE,00-0036875,Rhamondre Stevenson,rush_attempts,11.8,11.8,18.0,18,6.2,2026-09-23 23:08 UTC,after the fact
2026,1,2026_01_NE_SEA,NE,00-0036875,Rhamondre Stevenson,rush_rec_yards,70.1,11.8,95.0,18,24.9,2026-09-23 23:08 UTC,after the fact
2026,1,2026_01_NE_SEA,NE,00-0036875,Rhamondre Stevenson,rush_longest,11.7,11.8,12.0,18,0.3,2026-09-23 23:08 UTC,after the fact
2026,1,2026_01_NE_SEA,NE,00-0040734,TreVeyon Henderson,rush_yards,38.8,10.0,0.0,0,-38.8,2026-09-23 23:08 UTC,after the fact
2026,1,2026_01_NE_SEA,NE,00-0040734,TreVeyon Henderson,rush_td,0.324,10.0,0.0,0,-0.324,2026-09-23 23:08 UTC,after the fact
