game_id,season,week,site,kickoff_local,temp,wind,gust,precip
2015_14_MIN_ARI,2015,14,ARI,2015-12-10 18:00:00,68.2,4.5,6.7,0.0
2017_10_SEA_ARI,2017,10,ARI,2017-11-09 18:00:00,77.5,4.8,7.4,0.0
2021_08_GB_ARI,2021,8,ARI,2021-10-28 17:00:00,84.9,3.5,7.6,0.0
2021_14_LA_ARI,2021,14,ARI,2021-12-13 18:00:00,65.6,3.2,5.4,0.0
2021_18_SEA_ARI,2021,18,ARI,2022-01-09 14:00:00,71.7,5.2,11.6,0.0
2022_07_NO_ARI,2022,7,ARI,2022-10-20 17:00:00,85.6,2.3,7.6,0.0
2022_09_SEA_ARI,2022,9,ARI,2022-11-06 14:00:00,77.5,3.8,11.9,0.0
2022_11_SF_ARI,2022,11,ARI,2022-11-21 18:00:00,65.2,4.9,7.8,0.0
2022_16_TB_ARI,2022,16,ARI,2022-12-25 18:00:00,68.5,1.6,3.1,0.0
2023_03_DAL_ARI,2023,3,ARI,2023-09-24 13:00:00,95.7,2.8,10.3,0.0
2023_15_SF_ARI,2023,15,ARI,2023-12-17 14:00:00,74.2,3.3,8.7,0.0
2014_08_DET_ATL,2014,8,ATL,2014-10-26 09:00:00,59.0,7.7,13.6,0.0
2017_02_GB_ATL,2017,2,ATL,2017-09-17 20:00:00,78.7,4.7,5.8,0.0
2018_06_TB_ATL,2018,6,ATL,2018-10-14 13:00:00,71.3,6.8,16.8,0.0
2018_07_NYG_ATL,2018,7,ATL,2018-10-22 20:00:00,53.1,4.9,6.5,0.0
2018_11_DAL_ATL,2018,11,ATL,2018-11-18 13:00:00,57.8,1.9,9.8,0.0
2018_13_BAL_ATL,2018,13,ATL,2018-12-02 13:00:00,68.5,9.2,18.1,0.0
2019_02_PHI_ATL,2019,2,ATL,2019-09-15 20:00:00,82.3,4.7,8.3,0.0
2019_07_LA_ATL,2019,7,ATL,2019-10-20 13:00:00,70.5,12.4,26.6,0.0
2019_08_SEA_ATL,2019,8,ATL,2019-10-27 13:00:00,65.6,9.2,19.2,0.0
2021_01_PHI_ATL,2021,1,ATL,2021-09-12 13:00:00,78.4,4.0,11.2,0.012
