game_id,kickoff_et,status,temp,wind,gust,precip_prob,precip,fetched_at
2026_03_LAC_BUF,2026-09-27 13:00:00,ok,66.0,15.0,20.1,1.0,0.0,2026-09-25 00:16
2026_03_CAR_CLE,2026-09-27 13:00:00,ok,66.1,11.7,15.9,0.0,0.0,2026-09-25 00:16
2026_03_HOU_IND,2026-09-27 13:00:00,ok,70.6,4.7,6.7,1.0,0.0,2026-09-25 00:16
2026_03_NE_JAX,2026-09-27 13:00:00,ok,87.1,5.1,5.8,0.0,0.0,2026-09-25 00:16
2026_03_KC_MIA,2026-09-27 13:00:00,ok,86.8,7.6,6.7,1.0,0.0,2026-09-25 00:16
2026_03_TEN_NYG,2026-09-27 13:00:00,ok,57.7,23.7,46.5,74.0,0.1,2026-09-25 00:16
2026_03_CIN_PIT,2026-09-27 13:00:00,ok,70.4,10.5,16.3,0.0,0.0,2026-09-25 00:16
2026_03_SEA_WAS,2026-09-27 13:00:00,ok,66.3,13.2,23.9,34.0,0.0,2026-09-25 00:16
2026_03_ARI_SF,2026-09-27 16:05:00,ok,71.7,5.3,8.1,0.0,0.0,2026-09-25 00:16
2026_03_MIN_TB,2026-09-27 16:05:00,ok,85.6,4.4,4.5,0.0,0.0,2026-09-25 00:16
2026_03_BAL_DAL,2026-09-27 16:25:00,ok,97.3,5.6,6.3,7.0,0.0,2026-09-25 00:16
2026_03_LA_DEN,2026-09-27 20:20:00,ok,79.7,19.7,24.4,0.0,0.0,2026-09-25 00:16
2026_03_PHI_CHI,2026-09-28 20:15:00,ok,64.1,4.1,6.5,0.0,0.0,2026-09-25 00:16
2026_04_PIT_CLE,2026-10-01 20:15:00,ok,72.3,8.2,16.6,21.0,0.0,2026-09-25 00:16
2026_04_IND_WAS,2026-10-04 09:30:00,ok,66.9,2.9,3.8,14.0,0.0,2026-09-25 00:16
2026_04_TEN_BAL,2026-10-04 13:00:00,"error:HTTPSConnectionPool(host='api.open-meteo.com', port=443): Re",,,,,,2026-09-25 00:16
2026_04_NE_BUF,2026-10-04 13:00:00,ok,77.6,9.9,18.6,22.0,0.0,2026-09-25 00:16
2026_04_NYJ_CHI,2026-10-04 13:00:00,ok,73.5,5.6,9.2,25.0,0.0,2026-09-25 00:16
2026_04_JAX_CIN,2026-10-04 13:00:00,ok,69.9,9.4,26.6,26.0,4.2,2026-09-25 00:16
2026_04_DAL_HOU,2026-10-04 13:00:00,ok,89.1,4.8,6.5,28.0,0.0,2026-09-25 00:16
2026_04_ARI_NYG,2026-10-04 13:00:00,ok,79.0,8.7,9.6,14.0,0.0,2026-09-25 00:16
2026_04_LA_PHI,2026-10-04 13:00:00,ok,80.4,5.7,9.2,16.0,0.0,2026-09-25 00:16
2026_04_GB_TB,2026-10-04 13:00:00,ok,90.4,7.9,6.9,16.0,0.0,2026-09-25 00:16
2026_04_LAC_SEA,2026-10-04 16:25:00,ok,61.5,9.0,10.7,6.0,0.0,2026-09-25 00:16
2026_04_DEN_SF,2026-10-04 16:25:00,ok,86.0,6.2,7.6,0.0,0.0,2026-09-25 00:16
2026_04_DET_CAR,2026-10-04 20:20:00,ok,77.7,4.6,18.3,31.0,0.0,2026-09-25 00:16
