dropped,team_mae,margin_mae,total_mae,ats_bets,ats_pct,ats_roi,ou_bets,ou_pct,ou_roi,brier,n,delta_team_mae
(none),7.491888734682298,10.168671892606422,10.78925295217401,277.0,0.48014440433212996,-0.08336068263866099,196.0,0.47959183673469385,-0.08441558441558442,0.22211960225358382,1055,0.0
qb_rating,7.572098147020468,10.205853811877482,10.9097321429962,303.0,0.5115511551155115,-0.023402340234023437,243.0,0.46502057613168724,-0.11223344556677889,0.22528959193057138,1055,0.0802094123381698
points ratings,7.508622988497882,10.169108395086402,10.800418387930335,297.0,0.4983164983164983,-0.04866850321395777,205.0,0.5414634146341464,0.033702882483370264,0.22205925654199143,1055,0.016734253815583244
epa ratings,7.499494449687625,10.172926952482548,10.789082908982786,285.0,0.4842105263157895,-0.07559808612440194,192.0,0.5,-0.04545454545454546,0.22192191479865345,1055,0.0076057150053268074
pass/rush split,7.491542883901993,10.161890884276536,10.780743027921385,274.0,0.4927007299270073,-0.059389515593895194,193.0,0.5077720207253886,-0.030617051342439958,0.22190482166439632,1055,-0.0003458507803051347
success rate,7.479169917324681,10.157403779437741,10.786716084093705,264.0,0.48863636363636365,-0.06714876033057854,182.0,0.5,-0.04545454545454548,0.2217504993284189,1055,-0.012718817357617596
pace,7.493360316433862,10.158915862549447,10.812475076310257,281.0,0.505338078291815,-0.035263668715626036,196.0,0.4744897959183674,-0.09415584415584419,0.2216685853270889,1055,0.0014715817515638108
rest,7.484981663467334,10.168979859591305,10.778656747828519,280.0,0.4857142857142857,-0.07272727272727277,190.0,0.4842105263157895,-0.07559808612440191,0.2220893669096215,1055,-0.0069070712149645885
weather/dome,7.531436107295023,10.161150823847484,10.904199220381274,275.0,0.49454545454545457,-0.05586776859504134,175.0,0.44571428571428573,-0.1490909090909091,0.22194998660205487,1055,0.03954737261272445
division/primetime,7.493785103165359,10.169422965462054,10.77015563409912,278.0,0.48201438848920863,-0.07979071288423809,183.0,0.5081967213114754,-0.02980625931445607,0.22214866607977374,1055,0.0018963684830604066
home,7.486739168468852,10.126868767085282,10.78888939117148,374.0,0.5427807486631016,0.036217792902284864,195.0,0.49230769230769234,-0.06013986013986014,0.22116650116724781,1055,-0.0051495662134461995
