added,team_mae,margin_mae,total_mae,ats_bets,ats_pct,ats_roi,ou_bets,ou_pct,ou_roi,brier,n,delta_team_mae
(none),7.453250492982931,10.160218976855813,10.705784007429752,74.0,0.5675675675675675,0.0835380835380835,160.0,0.5625,0.07386363636363634,0.22271385735567742,1055,0.0
team home edge,7.454570214153002,10.166159555033783,10.703719881260554,75.0,0.5466666666666666,0.0436363636363636,154.0,0.5324675324675324,0.016528925619834683,0.22294236172959553,1055,0.0013197211700717304
head-to-head,7.459077274396961,10.162294210199676,10.704168382557775,72.0,0.5,-0.04545454545454547,158.0,0.5569620253164557,0.06329113924050629,0.22283474863356334,1055,0.005826781414030258
coach ATS,7.448396656053454,10.166088147564995,10.68886719907493,78.0,0.5384615384615384,0.02797202797202795,148.0,0.5135135135135135,-0.019656019656019676,0.2228927460654436,1055,-0.004853836929476607
QB ATS,7.459934572702439,10.175787255996354,10.728517259708202,74.0,0.5675675675675675,0.08353808353808352,158.0,0.5126582278481012,-0.02128883774453397,0.2233672651794484,1055,0.00668407971950824
off a loss,7.45477928248927,10.163508176934345,10.706808035144885,72.0,0.5694444444444444,0.08712121212121207,156.0,0.5576923076923077,0.06468531468531463,0.22280346086995498,1055,0.0015287895063389456
referee over/under,7.451223451380378,10.159782273907533,10.688562924953061,73.0,0.5753424657534246,0.09838107098381066,180.0,0.5666666666666667,0.08181818181818176,0.22269456760608775,1055,-0.002027041602552515
referee home cover,7.449748395899678,10.160119710340888,10.693793175687166,73.0,0.5753424657534246,0.09838107098381066,172.0,0.5232558139534884,-0.0010570824524313046,0.2227115583895677,1055,-0.0035020970832526643
referee penalties,7.4530326357108665,10.159761057310188,10.705846760742668,72.0,0.5833333333333334,0.11363636363636359,171.0,0.543859649122807,0.038277511961722445,0.22269749836999608,1055,-0.00021785727206413696
late slot / body clock,7.457773297520099,10.166263370259921,10.71107995655348,74.0,0.5675675675675675,0.0835380835380835,156.0,0.5576923076923077,0.06468531468531465,0.2228814124465903,1055,0.004522804537168135
cold and wind team edges,7.456615345454577,10.161565498483736,10.70993982351817,75.0,0.56,0.06909090909090906,161.0,0.5652173913043478,0.07905138339920945,0.2227523633798458,1055,0.003364852471646529
home/away EPA split,7.455752639988806,10.168222945995682,10.70769035705126,77.0,0.5714285714285714,0.09090909090909087,155.0,0.5612903225806452,0.07155425219941346,0.22288074389998272,1055,0.002502147005875699
injuries: starters out,7.457366527610694,10.173806943040109,10.709512941245807,75.0,0.56,0.06909090909090908,155.0,0.535483870967742,0.022287390029325487,0.22295466994252083,1055,0.004116034627763554
injuries: QB out,7.453249061538361,10.160221352811018,10.705784921969924,74.0,0.5675675675675675,0.0835380835380835,160.0,0.5625,0.07386363636363634,0.222713815618883,1055,-1.4314445699881162e-06
primetime,7.452821657368134,10.159918408864522,10.708236300542806,75.0,0.56,0.06909090909090906,155.0,0.5548387096774193,0.05923753665689147,0.22270799240582428,1055,-0.00042883561479634125
division game,7.446399573955476,10.160688035418657,10.706319845380296,74.0,0.5675675675675675,0.0835380835380835,166.0,0.4879518072289157,-0.06845564074479739,0.22276980368335708,1055,-0.006850919027455049
rest: short week and bye (both teams),7.4661362088626015,10.165058751003235,10.719906073458203,73.0,0.547945205479452,0.0460772104607721,163.0,0.5276073619631901,0.0072504182933630324,0.22293155621166671,1055,0.012885715879670911
rain,7.443239217414816,10.16058938597495,10.663185635395614,73.0,0.5616438356164384,0.07222914072229136,162.0,0.5493827160493827,0.04882154882154878,0.222734434406957,1055,-0.010011275568114542
snow,7.45878976979079,10.15991864568828,10.715261494623773,74.0,0.5675675675675675,0.0835380835380835,162.0,0.5555555555555556,0.060606060606060566,0.2226878810188441,1055,0.005539276807859039
travel distance (miles),7.449267500979151,10.157034710409166,10.702294102925725,73.0,0.5753424657534246,0.09838107098381067,157.0,0.5222929936305732,-0.0028951939779965617,0.2225186687526768,1055,-0.003982992003779273
time-zone shift (hours),7.454352850914913,10.162926967518278,10.707676793399408,73.0,0.5616438356164384,0.07222914072229136,160.0,0.5625,0.07386363636363634,0.22278059468780534,1055,0.0011023579319822119
West Coast team at 1pm ET,7.455328222314533,10.166992819629472,10.70817625854551,73.0,0.5616438356164384,0.07222914072229136,158.0,0.5569620253164557,0.0632911392405063,0.2228789304385917,1055,0.0020777293316021073
pass/rush EPA split,7.448257998745681,10.164218851790578,10.704074155957015,73.0,0.5342465753424658,0.019925280199252774,155.0,0.5290322580645161,0.009970674486803508,0.22262348586562655,1055,-0.0049924942372499
pace (plays per game),7.446104040551976,10.15407908953502,10.67374213420851,83.0,0.5783132530120482,0.10405257393209197,155.0,0.5419354838709678,0.03460410557184751,0.2229594295262228,1055,-0.007146452430954575
opponent QB and other side of the ball,7.455145091924242,10.163015612110815,10.698181677576638,62.0,0.5645161290322581,0.07771260997067445,144.0,0.5555555555555556,0.060606060606060566,0.2215585908049883,1055,0.0018945989413117204
