added,team_mae_2019-22,margin_mae_2019-22,total_mae_2019-22,ats5_2019-22,ats5_pct_2019-22,ats4_2019-22,n_2019-22,team_mae_2023-25,margin_mae_2023-25,total_mae_2023-25,ats5_2023-25,ats5_pct_2023-25,ats4_2023-25,n_2023-25,delta_2019-22,delta_2023-25,verdict
(none),7.4362,10.1523,10.6401,41-32,0.562,75-61,1055,7.3534,10.1172,10.2898,25-17,0.595,53-43,816,0.0,0.0,base
team home edge,7.4378,10.1581,10.6401,42-35,0.545,76-62,1055,7.3538,10.1175,10.2898,26-17,0.605,51-41,816,0.0015999999999998238,0.00039999999999995595,no
head-to-head,7.4424,10.1549,10.6401,38-36,0.514,78-71,1055,7.345,10.1129,10.2898,23-22,0.511,50-47,816,0.006199999999999761,-0.008399999999999963,helps one
coach ATS,7.4325,10.1575,10.6401,42-37,0.532,78-68,1055,7.3588,10.1106,10.2898,23-16,0.59,55-45,816,-0.0037000000000002586,0.005399999999999849,helps one
QB ATS,7.4434,10.1684,10.6401,43-37,0.537,78-70,1055,7.3493,10.1314,10.2898,23-18,0.561,54-45,816,0.007199999999999207,-0.004099999999999326,helps one
off a loss,7.4377,10.1554,10.6401,41-32,0.562,76-61,1055,7.3532,10.1163,10.2898,25-18,0.581,52-43,816,0.0015000000000000568,-0.00019999999999953388,no
referee over/under,7.4364,10.1517,10.6401,41-32,0.562,75-61,1055,7.3578,10.1165,10.2898,25-17,0.595,53-43,816,0.00019999999999953388,0.004400000000000404,no
referee home cover,7.4327,10.1522,10.6401,41-32,0.562,74-61,1055,7.3535,10.1172,10.2898,25-17,0.595,52-43,816,-0.0035000000000007248,0.00010000000000065512,helps one
referee penalties,7.4346,10.1517,10.6401,42-32,0.568,74-61,1055,7.356,10.117,10.2898,25-17,0.595,53-43,816,-0.001600000000000712,0.0026000000000001577,helps one
late slot / body clock,7.4406,10.1579,10.6401,40-32,0.556,75-62,1055,7.3544,10.1171,10.2898,25-18,0.581,54-43,816,0.004399999999999515,0.001000000000000334,no
cold and wind team edges,7.4397,10.154,10.6401,41-32,0.562,79-61,1055,7.3527,10.1208,10.2898,26-17,0.605,53-44,816,0.0034999999999998366,-0.000700000000000145,no
home/away EPA split,7.4389,10.1603,10.6401,42-35,0.545,78-61,1055,7.3539,10.119,10.2898,24-17,0.585,51-43,816,0.0026999999999999247,0.0005000000000006111,no
injuries: starters out,7.4406,10.1656,10.6401,43-30,0.589,78-64,1055,7.3557,10.1185,10.2898,24-18,0.571,54-43,816,0.004399999999999515,0.0022999999999999687,no
primetime,7.4361,10.1521,10.6401,41-32,0.562,76-61,1055,7.3502,10.1169,10.2898,26-17,0.605,52-42,816,-0.00010000000000065512,-0.0031999999999996476,helps one
division game,7.4298,10.1527,10.6401,41-32,0.562,77-61,1055,7.3476,10.1172,10.2898,24-18,0.571,52-43,816,-0.006400000000000183,-0.005799999999999805,helps both
snow,7.4415,10.1525,10.6401,42-32,0.568,73-61,1055,7.3497,10.1176,10.2898,25-17,0.595,53-43,816,0.005299999999999194,-0.0036999999999993705,helps one
travel distance (miles),7.4326,10.1483,10.6401,42-32,0.568,81-63,1055,7.3517,10.1079,10.2898,23-19,0.548,54-43,816,-0.0036000000000004917,-0.0016999999999995907,helps both
time-zone shift (hours),7.4373,10.1543,10.6401,41-32,0.562,75-61,1055,7.3538,10.1189,10.2898,24-17,0.585,52-43,816,0.0010999999999992127,0.00039999999999995595,no
West Coast team at 1pm ET,7.4381,10.1586,10.6401,40-32,0.556,75-62,1055,7.3529,10.1171,10.2898,25-18,0.581,53-43,816,0.0019000000000000128,-0.0004999999999997229,no
pass/rush EPA split,7.432,10.1548,10.6401,39-33,0.542,76-60,1055,7.3388,10.1232,10.2898,23-17,0.575,50-49,816,-0.0041999999999999815,-0.014599999999999724,helps both
pace (plays per game),7.4282,10.1458,10.6401,49-34,0.59,79-71,1055,7.3714,10.1416,10.2898,24-21,0.533,54-41,816,-0.008000000000000007,0.018000000000000682,helps one
opponent QB and other side of the ball,7.4373,10.1561,10.6401,35-27,0.565,63-58,1055,7.3409,10.1278,10.2898,30-26,0.536,60-58,816,0.0010999999999992127,-0.01249999999999929,helps one
all matchup history factors together,7.4498,10.1788,10.6401,43-39,0.524,82-79,1055,7.348,10.1204,10.2898,21-20,0.512,55-45,816,0.01359999999999939,-0.005399999999999849,helps one
