season,group,variant,n_pool,n_ap,median_rank,in_top10,pct,window
2019,LB,"per snap, every part, 0.92 / 0.8 (page now)",69,6,6.5,4,0.7777777777777777,2019-22
2019,LB,"per snap, every part, 0.98 / 0.9",69,6,5.0,4,0.8091787439613526,2019-22
2019,LB,"per snap, no forced fumbles, 0.92 / 0.8",69,6,9.0,3,0.7705314009661836,2019-22
2019,LB,"per snap, coverage + rush only, 0.92 / 0.8",69,6,9.0,3,0.7632850241545893,2019-22
2019,LB,"per target coverage, 0.99 (CB page now)",69,6,11.5,3,0.7439613526570049,2019-22
2019,LB,"per target coverage + run/rush share 0.5, 0.99",69,6,4.0,4,0.8164251207729469,2019-22
2019,LB,"per target coverage + run/rush share 1.0, 0.99",69,6,5.0,4,0.8285024154589372,2019-22
2019,LB,"per snap, every part, 0.99 / 1.0",69,6,5.0,4,0.8188405797101449,2019-22
2019,LB,"per snap, run stops x2, 0.92 / 0.8",69,6,11.5,3,0.7705314009661836,2019-22
2019,LB,"per snap, run stops x2, 0.98 / 0.9",69,6,7.5,4,0.8236714975845411,2019-22
2019,LB,"per snap, every part + credited plays, 0.92 / 0.8",69,6,3.5,4,0.7753623188405797,2019-22
2019,LB,"per snap, every part + credited plays, 0.98 / 0.9",69,6,9.5,3,0.7753623188405797,2019-22
2019,LB,"per snap, every part + tackles x0.3, 0.98 / 0.9",69,6,4.5,4,0.8719806763285024,2019-22
2019,LB,"per snap, every part + tackles x0.1, 0.92 / 0.8",69,6,7.0,4,0.78743961352657,2019-22
2019,LB,"per snap, every part + tackles x0.1, 0.98 / 0.9",69,6,5.0,4,0.8188405797101449,2019-22
2019,LB,"per snap, every part + tackles x0.2, 0.92 / 0.8",69,6,7.0,4,0.8091787439613526,2019-22
2019,LB,"per snap, every part + tackles x0.2, 0.98 / 0.9",69,6,5.0,4,0.8381642512077295,2019-22
2019,LB,"per snap, every part + tackles x0.5, 0.92 / 0.8",69,6,6.5,4,0.8623188405797101,2019-22
2019,LB,"per snap, every part + tackles x0.5, 0.98 / 0.9",69,6,4.5,4,0.8840579710144927,2019-22
2019,LB,"per snap, every part + tackles x0.75, 0.92 / 0.8",69,6,6.0,4,0.8768115942028986,2019-22
2019,LB,"per snap, every part + tackles x0.75, 0.98 / 0.9",69,6,4.5,4,0.8961352657004831,2019-22
2019,LB,"per snap, every part + tackles x1.0, 0.92 / 0.8",69,6,5.5,4,0.888888888888889,2019-22
2019,LB,"per snap, every part + tackles x1.0, 0.98 / 0.9",69,6,5.0,4,0.8985507246376812,2019-22
2019,LB,"per snap, every part + tackles x1.5, 0.92 / 0.8",69,6,6.0,4,0.888888888888889,2019-22
2019,LB,"per snap, every part + tackles x1.5, 0.98 / 0.9",69,6,8.5,3,0.8816425120772946,2019-22
2019,LB,"per snap, every part + tackles x0.3, 0.92 / 0.8",69,6,7.0,4,0.8309178743961351,2019-22
2020,LB,"per snap, every part, 0.92 / 0.8 (page now)",73,5,3.0,4,0.9287671232876711,2019-22
2020,LB,"per snap, every part, 0.98 / 0.9",73,5,4.0,4,0.8849315068493151,2019-22
2020,LB,"per snap, no forced fumbles, 0.92 / 0.8",73,5,4.0,3,0.9095890410958904,2019-22
2020,LB,"per snap, coverage + rush only, 0.92 / 0.8",73,5,4.0,3,0.8794520547945206,2019-22
2020,LB,"per target coverage, 0.99 (CB page now)",73,5,14.0,2,0.7835616438356164,2019-22
2020,LB,"per target coverage + run/rush share 0.5, 0.99",73,5,5.0,4,0.8931506849315071,2019-22
2020,LB,"per target coverage + run/rush share 1.0, 0.99",73,5,4.0,4,0.9095890410958904,2019-22
2020,LB,"per snap, every part, 0.99 / 1.0",73,5,4.0,4,0.8739726027397261,2019-22
2020,LB,"per snap, run stops x2, 0.92 / 0.8",73,5,6.0,4,0.9068493150684933,2019-22
2020,LB,"per snap, run stops x2, 0.98 / 0.9",73,5,7.0,3,0.8767123287671235,2019-22
2020,LB,"per snap, every part + credited plays, 0.92 / 0.8",73,5,6.0,4,0.8410958904109588,2019-22
2020,LB,"per snap, every part + credited plays, 0.98 / 0.9",73,5,5.0,4,0.821917808219178,2019-22
2020,LB,"per snap, every part + tackles x0.3, 0.98 / 0.9",73,5,3.0,4,0.9232876712328768,2019-22
2020,LB,"per snap, every part + tackles x0.1, 0.92 / 0.8",73,5,3.0,4,0.9397260273972602,2019-22
2020,LB,"per snap, every part + tackles x0.1, 0.98 / 0.9",73,5,4.0,4,0.9068493150684933,2019-22
2020,LB,"per snap, every part + tackles x0.2, 0.92 / 0.8",73,5,3.0,4,0.9424657534246575,2019-22
2020,LB,"per snap, every part + tackles x0.2, 0.98 / 0.9",73,5,3.0,4,0.9205479452054794,2019-22
2020,LB,"per snap, every part + tackles x0.5, 0.92 / 0.8",73,5,3.0,4,0.9506849315068493,2019-22
2020,LB,"per snap, every part + tackles x0.5, 0.98 / 0.9",73,5,3.0,4,0.9424657534246574,2019-22
2020,LB,"per snap, every part + tackles x0.75, 0.92 / 0.8",73,5,3.0,5,0.9589041095890412,2019-22
2020,LB,"per snap, every part + tackles x0.75, 0.98 / 0.9",73,5,4.0,4,0.9424657534246574,2019-22
2020,LB,"per snap, every part + tackles x1.0, 0.92 / 0.8",73,5,3.0,5,0.9589041095890412,2019-22
2020,LB,"per snap, every part + tackles x1.0, 0.98 / 0.9",73,5,4.0,4,0.9452054794520549,2019-22
2020,LB,"per snap, every part + tackles x1.5, 0.92 / 0.8",73,5,4.0,5,0.9534246575342467,2019-22
2020,LB,"per snap, every part + tackles x1.5, 0.98 / 0.9",73,5,4.0,5,0.9452054794520548,2019-22
2020,LB,"per snap, every part + tackles x0.3, 0.92 / 0.8",73,5,3.0,4,0.9452054794520548,2019-22
2021,LB,"per snap, every part, 0.92 / 0.8 (page now)",74,6,7.5,3,0.786036036036036,2019-22
2021,LB,"per snap, every part, 0.98 / 0.9",74,6,12.5,3,0.8018018018018017,2019-22
2021,LB,"per snap, no forced fumbles, 0.92 / 0.8",74,6,6.5,4,0.8243243243243245,2019-22
2021,LB,"per snap, coverage + rush only, 0.92 / 0.8",74,6,11.5,3,0.8310810810810811,2019-22
2021,LB,"per target coverage, 0.99 (CB page now)",74,6,8.0,4,0.7815315315315314,2019-22
2021,LB,"per target coverage + run/rush share 0.5, 0.99",74,6,4.5,4,0.8693693693693693,2019-22
2021,LB,"per target coverage + run/rush share 1.0, 0.99",74,6,4.5,4,0.8513513513513513,2019-22
2021,LB,"per snap, every part, 0.99 / 1.0",74,6,11.0,3,0.7882882882882883,2019-22
2021,LB,"per snap, run stops x2, 0.92 / 0.8",74,6,9.0,3,0.7747747747747747,2019-22
2021,LB,"per snap, run stops x2, 0.98 / 0.9",74,6,14.5,3,0.7882882882882883,2019-22
2021,LB,"per snap, every part + credited plays, 0.92 / 0.8",74,6,16.5,3,0.6869369369369368,2019-22
2021,LB,"per snap, every part + credited plays, 0.98 / 0.9",74,6,14.0,3,0.7072072072072073,2019-22
2021,LB,"per snap, every part + tackles x0.3, 0.98 / 0.9",74,6,8.5,3,0.8558558558558559,2019-22
2021,LB,"per snap, every part + tackles x0.1, 0.92 / 0.8",74,6,5.5,4,0.8018018018018019,2019-22
2021,LB,"per snap, every part + tackles x0.1, 0.98 / 0.9",74,6,10.0,3,0.8288288288288288,2019-22
2021,LB,"per snap, every part + tackles x0.2, 0.92 / 0.8",74,6,5.5,4,0.8108108108108109,2019-22
2021,LB,"per snap, every part + tackles x0.2, 0.98 / 0.9",74,6,10.0,3,0.8378378378378377,2019-22
2021,LB,"per snap, every part + tackles x0.5, 0.92 / 0.8",74,6,5.0,4,0.8423423423423424,2019-22
2021,LB,"per snap, every part + tackles x0.5, 0.98 / 0.9",74,6,7.5,3,0.8851351351351352,2019-22
2021,LB,"per snap, every part + tackles x0.75, 0.92 / 0.8",74,6,6.0,4,0.8355855855855855,2019-22
2021,LB,"per snap, every part + tackles x0.75, 0.98 / 0.9",74,6,9.5,3,0.8873873873873874,2019-22
2021,LB,"per snap, every part + tackles x1.0, 0.92 / 0.8",74,6,7.0,4,0.8400900900900902,2019-22
2021,LB,"per snap, every part + tackles x1.0, 0.98 / 0.9",74,6,11.0,3,0.8761261261261262,2019-22
2021,LB,"per snap, every part + tackles x1.5, 0.92 / 0.8",74,6,9.0,3,0.8265765765765766,2019-22
