season,group,n_pool,n_ap,median_rank,in_top10,pct,ap_ranks,window
2019,WR,75,4,3.0,3,0.9533333333333334,"M.Thomas 1, D.Hopkins 4, J.Jones 2, C.Godwin 11",2019-22
2019,RB,73,2,1.5,2,0.9931506849315068,"C.McCaffrey 2, D.Henry 1",2019-22
2019,TE,21,2,1.5,2,0.9761904761904762,"G.Kittle 2, T.Kelce 1",2019-22
2020,WR,82,5,3.0,4,0.9243902439024391,"T.Hill 2, S.Diggs 3, D.Adams 1, D.Hopkins 5, J.Jefferson 25",2019-22
2020,RB,77,2,2.5,2,0.9805194805194806,"D.Henry 1, A.Kamara 4",2019-22
2020,TE,24,1,1.0,1,1.0,T.Kelce 1,2019-22
2021,WR,79,5,3.0,3,0.9113924050632912,"D.Adams 1, C.Kupp 2, D.Samuel 13, J.Chase 21, J.Jefferson 3",2019-22
2021,RB,85,1,2.0,1,0.9882352941176471,J.Taylor 2,2019-22
2021,TE,24,2,2.0,2,0.9583333333333333,"M.Andrews 3, T.Kelce 1",2019-22
2022,WR,76,6,4.5,4,0.9210526315789475,"J.Jefferson 4, T.Hill 2, D.Adams 3, A.Brown 11, S.Diggs 5, C.Lamb 17",2019-22
2022,RB,77,2,5.5,2,0.9415584415584415,"J.Jacobs 8, N.Chubb 3",2019-22
2022,TE,24,2,1.5,2,0.9791666666666667,"T.Kelce 1, G.Kittle 2",2019-22
2023,WR,76,5,6.0,4,0.9,"T.Hill 1, C.Lamb 2, A.St. Brown 6, A.Brown 7, P.Nacua 27",2023-25
2023,RB,70,2,4.0,2,0.9571428571428571,"C.McCaffrey 1, K.Williams 7",2023-25
2023,TE,23,2,5.5,2,0.8043478260869565,"G.Kittle 2, S.LaPorta 9",2023-25
2024,WR,78,6,7.0,3,0.9166666666666666,"J.Chase 1, J.Jefferson 2, A.St. Brown 3, T.McLaurin 16, C.Lamb 12, A.Brown 11",2023-25
2024,RB,73,2,2.0,2,0.9863013698630136,"S.Barkley 3, D.Henry 1",2023-25
2024,TE,28,2,7.5,1,0.7678571428571428,"B.Bowers 13, G.Kittle 2",2023-25
2025,WR,72,6,4.5,5,0.9166666666666666,"P.Nacua 1, J.Smith-Njigba 5, J.Chase 4, G.Pickens 8, C.Olave 22, A.St. Brown 2",2023-25
2025,RB,68,2,6.0,2,0.9264705882352942,"Bi.Robinson 7, J.Cook 5",2023-25
2025,TE,27,2,6.5,2,0.7962962962962963,"T.McBride 3, K.Pitts 10",2023-25
