season,group,n_pool,n_ap,median_rank,in_top10,pct,ap_ranks,window
2019,WR,75,4,3.0,4,0.9633333333333334,"M.Thomas 1, D.Hopkins 4, J.Jones 2, C.Godwin 8",2019-22
2019,RB,73,2,1.5,2,0.9931506849315068,"C.McCaffrey 2, D.Henry 1",2019-22
2019,TE,21,2,1.5,2,0.9761904761904762,"G.Kittle 2, T.Kelce 1",2019-22
2020,WR,82,5,3.0,4,0.9390243902439025,"T.Hill 2, S.Diggs 3, D.Adams 1, D.Hopkins 8, J.Jefferson 16",2019-22
2020,RB,77,2,2.5,2,0.9805194805194806,"D.Henry 1, A.Kamara 4",2019-22
2020,TE,24,1,1.0,1,1.0,T.Kelce 1,2019-22
2021,WR,79,5,3.0,4,0.9341772151898734,"D.Adams 2, C.Kupp 1, D.Samuel 9, J.Chase 16, J.Jefferson 3",2019-22
2021,RB,85,1,1.0,1,1.0,J.Taylor 1,2019-22
2021,TE,24,2,2.0,2,0.9583333333333333,"M.Andrews 3, T.Kelce 1",2019-22
2022,WR,76,6,5.5,5,0.9166666666666665,"J.Jefferson 3, T.Hill 2, D.Adams 4, A.Brown 10, S.Diggs 7, C.Lamb 18",2019-22
2022,RB,77,2,6.0,2,0.935064935064935,"J.Jacobs 9, N.Chubb 3",2019-22
2022,TE,24,2,1.5,2,0.9791666666666667,"T.Kelce 1, G.Kittle 2",2019-22
2023,WR,76,5,6.0,4,0.9184210526315789,"T.Hill 1, C.Lamb 2, A.St. Brown 6, A.Brown 7, P.Nacua 20",2023-25
2023,RB,70,2,3.5,2,0.9642857142857143,"C.McCaffrey 1, K.Williams 6",2023-25
2023,TE,23,2,5.5,2,0.8043478260869565,"G.Kittle 2, S.LaPorta 9",2023-25
2024,WR,78,6,6.0,4,0.9188034188034188,"J.Chase 1, J.Jefferson 2, A.St. Brown 3, T.McLaurin 17, C.Lamb 12, A.Brown 9",2023-25
2024,RB,73,2,2.0,2,0.9863013698630136,"S.Barkley 3, D.Henry 1",2023-25
2024,TE,28,2,7.0,1,0.7857142857142858,"B.Bowers 12, G.Kittle 2",2023-25
2025,WR,72,6,4.5,5,0.9189814814814815,"P.Nacua 1, J.Smith-Njigba 5, J.Chase 4, G.Pickens 7, C.Olave 22, A.St. Brown 2",2023-25
2025,RB,68,2,6.5,2,0.9191176470588236,"Bi.Robinson 7, J.Cook 6",2023-25
2025,TE,27,2,6.0,2,0.8148148148148149,"T.McBride 3, K.Pitts 9",2023-25
