kind,window,variant,n,mae,within20,within20_top,games_miss,scale,blend
rec,2019-22,old,2966,125.2,0.451,0.618,2.72,0.65,0.5
rec,2019-22,new,2966,125.3,0.446,0.615,2.7,0.825,0.5
rec,2023-25,old,2088,124.0,0.446,0.611,2.65,0.65,0.5
rec,2023-25,new,2088,123.9,0.446,0.606,2.63,0.825,0.5
rush,2019-22,old,1089,155.8,0.435,0.574,2.9,0.625,0.5
rush,2019-22,new,1089,156.3,0.43,0.568,2.89,0.825,0.5
rush,2023-25,old,824,142.6,0.49,0.615,3.15,0.625,0.5
rush,2023-25,new,824,141.2,0.482,0.604,3.05,0.825,0.5
pass,2019-22,old,450,582.4,0.54,0.612,3.88,0.525,0.75
pass,2019-22,new,450,579.8,0.544,0.615,3.62,0.675,0.75
pass,2023-25,old,333,626.2,0.465,0.531,3.6,0.525,0.75
pass,2023-25,new,333,622.5,0.453,0.514,3.52,0.675,0.75
