rule,rec_2015-18,units_2015-18,roi_2015-18,rec_2019-22,units_2019-22,roi_2019-22,rec_2023-25,units_2023-25,roi_2023-25
"A live flag (4+), at -110",68-55,6.8,5.5,80-51,21.7,16.6,40-21,15.4,24.8
"A live flag (4+), at the real price",68-55,8.8,7.1,80-51,23.6,18.0,40-21,16.0,25.7
B cover chance >= 0.54,310-297,-4.7,-0.8,334-313,-1.3,-0.2,233-220,-7.4,-1.6
B cover chance >= 0.55,267-254,-3.0,-0.6,286-272,-6.2,-1.1,197-180,-0.4,-0.1
B cover chance >= 0.56,238-221,2.7,0.6,251-232,1.5,0.3,164-139,10.3,3.3
B cover chance >= 0.57,202-185,4.7,1.2,222-193,13.4,3.2,129-115,2.7,1.1
B cover chance >= 0.58,174-152,10.8,3.3,189-171,4.8,1.3,112-88,14.5,7.0
B cover chance >= 0.629 (flag's 2015-18 count),65-58,2.4,2.0,86-57,22.5,15.7,35-21,11.3,19.6
B cover chance top-count AND 4+ edge,49-43,2.6,2.8,68-40,22.9,21.2,26-16,8.0,18.6
"C moneyline, model beats the book by 3%",290-399,17.1,2.5,253-433,-59.8,-8.7,201-329,-41.7,-7.9
"C moneyline dogs only, 3%",174-345,1.3,0.3,164-362,-37.7,-7.1,115-279,-42.2,-10.7
"C moneyline, model beats the book by 5%",207-290,31.9,6.4,170-320,-44.0,-8.9,134-223,-24.5,-6.8
"C moneyline dogs only, 5%",136-259,17.6,4.5,128-280,-27.8,-6.8,84-201,-33.1,-11.6
"C moneyline, model beats the book by 7%",143-208,33.7,9.6,120-236,-37.1,-10.3,85-151,-19.7,-8.3
"C moneyline dogs only, 7%",102-182,32.2,11.3,94-214,-30.7,-9.9,61-141,-26.0,-12.8
"C moneyline, model beats the book by 10%",83-110,37.2,19.3,76-129,-0.3,-0.2,40-65,-6.3,-6.0
"C moneyline dogs only, 10%",61-97,34.4,21.8,67-115,8.0,4.3,29-63,-12.3,-13.4
C moneyline on flagged games (the flag's side),63-60,38.6,31.4,57-73,21.3,16.3,32-30,8.7,14.1
