kind,variant,mae_2015-18,3+_2015-18,3+pct_2015-18,4+_2015-18,4+pct_2015-18,5+_2015-18,5+pct_2015-18,all_2015-18,mae_2019-22,3+_2019-22,3+pct_2019-22,4+_2019-22,4+pct_2019-22,5+_2019-22,5+pct_2019-22,all_2019-22,mae_2023-25,3+_2023-25,3+pct_2023-25,4+_2023-25,4+pct_2023-25,5+_2023-25,5+pct_2023-25,all_2023-25,mae_2019-25,3+_2019-25,3+pct_2019-25,4+_2019-25,4+pct_2019-25,5+_2019-25,5+pct_2019-25,all_2019-25,gain_2019-25,p_better,6+_2015-18,6+pct_2015-18,6+_2019-22,6+pct_2019-22,6+_2023-25,6+pct_2023-25,6+_2019-25,6+pct_2019-25
spread,base,9.962,123-112,0.523,61-58,0.513,30-26,0.536,0.502,10.059,132-113,0.539,81-55,0.596,33-30,0.524,0.511,9.942,82-65,0.558,40-23,0.635,15-9,0.625,0.506,10.009,214-178,0.546,121-78,0.608,48-39,0.552,0.509,0.0,0.0,,,,,,,,
spread,success,9.96,134-118,0.532,72-69,0.511,33-36,0.478,0.526,10.048,141-115,0.551,78-55,0.586,34-28,0.548,0.518,9.93,90-63,0.588,34-24,0.586,18-10,0.643,0.509,9.997,231-178,0.565,112-79,0.586,52-38,0.578,0.514,0.0111,0.886,,,,,,,,
spread,split,9.95,124-108,0.534,66-61,0.52,29-27,0.518,0.495,10.053,134-107,0.556,83-53,0.61,33-27,0.55,0.52,9.94,78-64,0.549,39-27,0.591,17-9,0.654,0.513,10.004,212-171,0.554,122-80,0.604,50-36,0.581,0.517,0.0042,0.662,,,,,,,,
spread,plays,9.98,128-110,0.538,73-58,0.557,29-32,0.475,0.513,10.057,142-114,0.555,81-60,0.574,40-28,0.588,0.522,9.96,83-59,0.585,40-23,0.635,15-9,0.625,0.506,10.015,225-173,0.565,121-83,0.593,55-37,0.598,0.515,-0.0068,0.286,,,,,,,,
spread,alpha3,9.962,123-113,0.521,64-59,0.52,30-26,0.536,0.502,10.059,133-113,0.541,81-55,0.596,34-30,0.531,0.509,9.941,82-65,0.558,40-23,0.635,15-9,0.625,0.506,10.009,215-178,0.547,121-78,0.608,49-39,0.557,0.508,-0.0003,0.106,,,,,,,,
spread,alpha30,9.962,123-109,0.53,61-58,0.513,30-25,0.545,0.501,10.057,134-114,0.54,78-53,0.595,32-30,0.516,0.514,9.942,83-65,0.561,40-23,0.635,15-9,0.625,0.507,10.008,217-179,0.548,118-76,0.608,47-39,0.547,0.511,0.0009,0.885,,,,,,,,
spread,gbm,10.09,207-194,0.516,135-120,0.529,95-66,0.59,0.519,10.184,191-163,0.54,126-101,0.555,84-60,0.583,0.503,10.013,110-88,0.556,61-33,0.649,34-17,0.667,0.509,10.111,301-251,0.545,187-134,0.583,118-77,0.605,0.505,-0.1024,0.019,,,,,,,,
spread,blend_lin,9.956,126-113,0.527,66-59,0.528,27-27,0.5,0.504,10.048,134-114,0.54,81-53,0.604,35-29,0.547,0.519,9.939,84-63,0.571,40-23,0.635,16-9,0.64,0.51,10.001,218-177,0.552,121-76,0.614,51-38,0.573,0.515,0.0072,0.928,,,,,,,,
spread,blend_gbm,9.967,145-130,0.527,81-67,0.547,40-27,0.597,0.507,10.071,151-125,0.547,92-70,0.568,52-32,0.619,0.52,9.935,76-58,0.567,39-24,0.619,21-9,0.7,0.502,10.013,227-183,0.554,131-94,0.582,73-41,0.64,0.512,-0.0041,0.438,,,,,,,,
spread,blend_all,9.949,120-117,0.506,68-55,0.553,29-24,0.547,0.51,10.047,132-115,0.534,80-50,0.615,37-28,0.569,0.523,9.929,79-58,0.577,40-21,0.656,16-6,0.727,0.499,9.996,211-173,0.549,120-71,0.628,53-34,0.609,0.513,0.0124,0.941,,,,,,,,
total,teams,10.799,140-137,0.505,85-75,0.531,41-40,0.506,0.501,10.592,150-129,0.538,82-69,0.543,40-35,0.533,0.519,10.335,117-112,0.511,62-59,0.512,32-29,0.525,0.511,10.482,267-241,0.526,144-128,0.529,72-64,0.529,0.516,-0.0066,0.428,22-15,0.595,16-13,0.552,14-12,0.538,30-25,0.545
