variant,n_inputs,team_mae_2019-22,margin_mae_2019-22,total_mae_2019-22,ats5_2019-22,ats5_pct_2019-22,ats4_2019-22,n_2019-22,team_mae_2023-25,margin_mae_2023-25,total_mae_2023-25,ats5_2023-25,ats5_pct_2023-25,ats4_2023-25,n_2023-25
base,13,7.4362,10.1523,10.6401,41-32,0.562,75-61,1055,7.3534,10.1172,10.2898,25-17,0.595,53-43,816
+div,14,7.4298,10.1527,10.6401,41-32,0.562,77-61,1055,7.3476,10.1172,10.2898,24-18,0.571,52-43,816
+div +travel,15,7.4294,10.1532,10.6401,42-34,0.553,74-61,1055,7.3476,10.1115,10.2898,24-20,0.545,51-43,816
+pass/rush,17,7.432,10.1548,10.6401,39-33,0.542,76-60,1055,7.3388,10.1232,10.2898,23-17,0.575,50-49,816
pass/rush replacing epa/play,15,7.4274,10.1533,10.6401,41-33,0.554,77-62,1055,7.3399,10.1221,10.2898,22-18,0.55,49-49,816
+div +pass/rush,18,7.4265,10.1554,10.6401,39-33,0.542,77-61,1055,7.3357,10.1232,10.2898,22-17,0.564,49-49,816
+div +pass/rush +travel,19,7.4261,10.1558,10.6401,41-35,0.539,77-60,1055,7.3347,10.1179,10.2898,24-18,0.571,47-50,816
+div +pass/rush +skill out,20,7.4247,10.1447,10.6401,41-33,0.554,78-63,1055,7.3287,10.1116,10.2898,26-18,0.591,52-43,816
+div +pass/rush +travel +skill out,21,7.4239,10.1448,10.6401,39-35,0.527,78-64,1055,7.3276,10.1061,10.2898,23-19,0.548,51-45,816
+div +skill out,16,7.4274,10.1432,10.6401,40-32,0.556,80-66,1055,7.3417,10.1055,10.2898,26-17,0.605,51-45,816
