target,window,model,rmse,mae,n,coefs
def_epa_play,2019-22,M0 team prior,0.201989,0.158672,2110,"const -0.0001982, prior +0.7471"
def_epa_play,2019-22,"M1 + credited plays (old, per-play fix)",0.201971,0.158741,2110,"const +0.005822, prior +0.6617, L_credit_epa -0.1943"
def_epa_play,2019-22,M2 + new value,0.201437,0.158774,2110,"const +0.1626, prior +0.4332, L_epa -0.6736"
def_epa_play,2023-25,M0 team prior,0.211741,0.169299,1632,"const -0.002995, prior +0.7229"
def_epa_play,2023-25,"M1 + credited plays (old, per-play fix)",0.211874,0.169459,1632,"const -0.001882, prior +0.7031, L_credit_epa -0.03802"
def_epa_play,2023-25,M2 + new value,0.211038,0.168939,1632,"const +0.147, prior +0.3992, L_epa -0.5674"
def_pass_epa,2019-22,M0 team prior,0.304838,0.238565,2110,"const +0.0184, prior +0.6965"
def_pass_epa,2019-22,"M1 + credited plays (old, per-play fix)",0.304898,0.238628,2110,"const +0.02732, prior +0.6377, L_credit_epa -0.2035"
def_pass_epa,2019-22,M2 + new value,0.302862,0.237422,2110,"const +0.2803, prior +0.3536, L_epa -1.025"
def_pass_epa,2023-25,M0 team prior,0.315685,0.248352,1632,"const +0.02308, prior +0.6256"
def_pass_epa,2023-25,"M1 + credited plays (old, per-play fix)",0.315764,0.248398,1632,"const +0.03252, prior +0.5556, L_credit_epa -0.2015"
def_pass_epa,2023-25,M2 + new value,0.314378,0.247266,1632,"const +0.2592, prior +0.3074, L_epa -0.8389"
def_rush_epa,2019-22,M0 team prior,0.222864,0.171522,2110,"const -0.03916, prior +0.5538"
def_rush_epa,2019-22,"M1 + credited plays (old, per-play fix)",0.222874,0.171462,2110,"const -0.03736, prior +0.4489, L_credit_epa -0.2954"
def_rush_epa,2019-22,M2 + new value,0.224157,0.172482,2110,"const +0.02125, prior +0.4814, L_epa -0.2679"
def_rush_epa,2023-25,M0 team prior,0.224146,0.174036,1632,"const -0.05326, prior +0.4041"
def_rush_epa,2023-25,"M1 + credited plays (old, per-play fix)",0.223957,0.174008,1632,"const -0.04987, prior +0.3231, L_credit_epa -0.2387"
def_rush_epa,2023-25,M2 + new value,0.223894,0.173863,1632,"const +0.03809, prior +0.2625, L_epa -0.3727"
