decay,fade,k,2019-22,2023-25
0.99,1.0,150.0,0.20133,0.210981
0.99,1.0,300.0,0.201437,0.211038
0.99,0.8,150.0,0.201103,0.210916
0.99,0.8,300.0,0.201161,0.210956
0.99,0.6,150.0,0.200824,0.210898
0.99,0.6,300.0,0.20083,0.210953
0.97,1.0,150.0,0.201032,0.21085
0.97,1.0,300.0,0.201094,0.210876
0.97,0.8,150.0,0.200812,0.210805
0.97,0.8,300.0,0.200827,0.210821
0.97,0.6,150.0,0.20063,0.210856
0.97,0.6,300.0,0.200625,0.210918
0.95,1.0,150.0,0.200765,0.210732
0.95,1.0,300.0,0.200793,0.210734
0.95,0.8,150.0,0.200619,0.21074
0.95,0.8,300.0,0.200611,0.210748
0.95,0.6,150.0,0.200541,0.210861
0.95,0.6,300.0,0.200541,0.210932
0.92,1.0,150.0,0.200593,0.210673
0.92,1.0,300.0,0.200611,0.210667
0.92,0.8,150.0,0.20053,0.210749
0.92,0.8,300.0,0.200521,0.210763
0.92,0.6,150.0,0.200536,0.210936
0.92,0.6,300.0,0.20055,0.211012
