stat,target,predictive_r,same_season_r,seasons,drop
pa,pa,0.26184484768568916,1.0,14,0.7381551523143108
def_td_rate,pa,0.21418920884948014,0.8414731601254521,14,0.627283951275972
def_explosive_rate,pa,0.21100962713110025,0.47945442945897904,14,0.2684448023278788
def_epa_play_ng,pa,0.2099131602318217,0.7250118000569785,14,0.5150986398251568
def_score_rate,pa,0.19665006476828614,0.8286592894058223,14,0.6320092246375362
def_yards_play,pa,0.1961423792083376,0.6850249143093994,14,0.4888825351010618
def_epa_play,pa,0.19610531481674093,0.8066846823791038,14,0.610579367562363
def_pass_epa,pa,0.19195093038389757,0.7956221207702605,14,0.603671190386363
def_early_down_epa,pa,0.1867376684498942,0.6628334679723318,14,0.4760957995224376
def_avg_start_ytg,pa,-0.17928834893623263,-0.45956867240091764,14,0.280280323464685
def_int_rate,pa,-0.14325500282818804,-0.3802848470346714,14,0.23702984420648338
def_rz_td_rate,pa,0.12097115441068075,0.393890698575411,14,0.27291954416473024
def_turnover_rate,pa,-0.11899570987867802,-0.44307827768934827,14,0.32408256781067024
def_success,pa,0.11559621720185735,0.5544590999811362,14,0.4388628827792788
def_rush_epa,pa,0.09707083957603899,0.35898291570017554,14,0.2619120761241366
def_sack_rate,pa,-0.08419558070559018,-0.4404666857587695,14,0.3562711050531793
def_third_conv,pa,0.08417094104065218,0.49699261728672833,14,0.41282167624607613
epa_play,pf,0.5019327615264305,0.8604173040249095,14,0.35848454249847894
pf,pf,0.49226242658527625,1.0,14,0.5077375734147238
pass_epa,pf,0.4888460752799833,0.8144965421037365,14,0.32565046682375315
success_ng,pf,0.4650805074497253,0.7339949370996447,14,0.2689144296499194
epa_play_ng,pf,0.4626208560002456,0.7901270761286202,14,0.3275062201283746
early_down_epa,pf,0.4507867517724886,0.7683211162916469,14,0.3175343645191583
td_rate,pf,0.44788501516252216,0.8830493953129899,14,0.4351643801504677
score_rate,pf,0.446572389259808,0.8371223842978459,14,0.3905499950380379
success,pf,0.44621272630564,0.6995868971229514,14,0.2533741708173114
yards_play,pf,0.44242559386413083,0.7650637630787781,14,0.3226381692146473
pass_epa_ng,pf,0.43185400764634624,0.7438999904963302,14,0.3120459828499839
early_down_success,pf,0.3989383410790917,0.6014802609778778,14,0.20254191989878606
third_conv,pf,0.35446422868160793,0.6014694890957593,14,0.24700526041415133
explosive_rate,pf,0.3300489291940543,0.5696371798399431,14,0.2395882506458888
cpoe,pf,0.314862234355837,0.5265799032529784,14,0.21171766889714144
rush_success,pf,0.29257546593142575,0.41499684057315545,14,0.1224213746417297
rush_epa,pf,0.27402916253206033,0.47649453912750783,14,0.2024653765954475
turnover_rate,pf,-0.2619479795255338,-0.39732811470238094,14,0.13538013517684716
avg_start_ytg,pf,-0.2602798061866503,-0.4444544538800722,14,0.1841746476934219
sack_rate,pf,-0.2431467968493483,-0.42716755686411256,14,0.18402076001476425
int_rate,pf,-0.241462319468176,-0.3765166639918314,14,0.13505434452365542
pass_rate,pf,-0.19658304348588135,-0.2675094751815504,14,0.07092643169566903
drive_to_rate,pf,-0.19487077278056716,-0.3276408719835807,14,0.13277009920301355
rz_td_rate,pf,0.19334002965566002,0.46556153803540035,14,0.27222150837974035
rz_epa,pf,0.17100478679021133,0.45153764913476413,14,0.28053286234455277
pass_oe,pf,0.12472380227745726,0.26150961170333065,14,0.13678580942587337
sec_per_play,pf,0.1231068127562988,0.23134605007188744,14,0.10823923731558864
plays,pf,0.09397023309407251,0.2238073263098855,14,0.129837093215813
drives,pf,-0.09228387966744887,-0.009982714808630751,14,-0.08230116485881812
air_yards_att,pf,0.07817216640276717,0.11570600166969294,14,0.037533835266925775
