test,window,line_weight,model_weight,model_t,real_pct,placebo_mean,placebo_95th,share_of_placebos_at_or_above_real,n,pct_5th,pct_50th,pct_95th,share_below_breakeven,games,flags,model_miss,line_miss
encompassing,2019-22,0.707,0.343,2.08,,,,,,,,,,,,,
encompassing,2023-25,0.989,0.191,0.94,,,,,,,,,,,,,
encompassing,all,0.802,0.296,2.32,,,,,,,,,,,,,
placebo,all,,,,0.604,0.512,0.531,0.0,,,,,,,,,
bootstrap,all,,,,,,,,212.0,0.547,0.604,0.656,0.011,,,,
season,2019,,,,,,,,,,,,,256.0,20-13,10.264,10.211
season,2020,,,,,,,,,,,,,256.0,26-13,9.819,9.83
season,2021,,,,,,,,,,,,,256.0,24-15,10.949,10.826
season,2022,,,,,,,,,,,,,255.0,16-19,9.156,8.824
season,2023,,,,,,,,,,,,,256.0,9-4,10.129,9.932
season,2024,,,,,,,,,,,,,256.0,20-8,9.698,9.617
season,2025,,,,,,,,,,,,,256.0,13-12,10.027,9.834
