variant,inputs,team_2015-18,margin_2015-18,4+_2015-18,team_2019-22,margin_2019-22,4+_2019-22,team_2023-25,margin_2023-25,4+_2023-25,d_margin_2015-18,d_team_2015-18,d_margin_2019-22,d_team_2019-22,d_margin_2023-25,d_team_2023-25,better_all3
base,,7.397,9.962,61-58,7.3437,10.03,81-55,7.2739,9.9137,40-23,0.0,0.0,0.0,0.0,0.0,0.0,False
clutch,lc_off lc_def close_win o_lc_def o_lc_off o_close_win,7.4164,10.0061,68-67,7.3528,10.0364,74-56,7.2828,9.9228,37-23,0.0441,0.0194,0.0064,0.0091,0.0091,0.0089,False
third,third_conv def_third_conv o_def_third_conv o_third_conv,7.405,9.982,62-59,7.3481,10.0331,78-59,7.2769,9.9267,45-26,0.02,0.008,0.0031,0.0044,0.013,0.003,False
redzone,rz_td_rate def_rz_td_rate o_def_rz_td_rate o_rz_td_rate,7.4073,9.9823,55-62,7.3516,10.03,77-51,7.2785,9.9083,41-22,0.0203,0.0103,0.0,0.0079,-0.0054,0.0046,False
explosive,explosive_rate def_explosive_rate o_def_explosive_rate o_explosive_rate,7.3869,9.9606,61-60,7.3524,10.0138,73-55,7.2811,9.8766,38-23,-0.0014,-0.0101,-0.0162,0.0087,-0.0371,0.0072,False
sacks,sack_rate def_sack_rate o_def_sack_rate o_sack_rate,7.4071,9.9961,61-59,7.3431,10.035,78-53,7.2768,9.915,44-24,0.0341,0.0101,0.005,-0.0006,0.0013,0.0029,False
giveaways,turnover_rate def_turnover_rate o_def_turnover_rate o_turnover_rate,7.4008,9.9613,64-60,7.3538,10.0465,82-61,7.2699,9.8994,43-23,-0.0007,0.0038,0.0165,0.0101,-0.0143,-0.004,False
fumbleluck,fum_luck o_fum_luck,7.4095,10.0014,61-64,7.3455,10.0348,79-54,7.2822,9.9104,41-22,0.0394,0.0125,0.0048,0.0018,-0.0033,0.0083,False
penalties,pen_off pen_def o_pen_def o_pen_off,7.4132,9.9715,70-63,7.3485,10.0299,74-56,7.2531,9.876,46-26,0.0095,0.0162,-0.0001,0.0048,-0.0377,-0.0208,False
field,avg_start_ytg def_avg_start_ytg o_def_avg_start_ytg o_avg_start_ytg,7.3966,9.9567,75-64,7.3511,10.0501,83-60,7.2739,9.95,50-33,-0.0053,-0.0004,0.0201,0.0074,0.0363,0.0,False
tempo,sec_per_play o_sec_per_play,7.3944,9.9573,65-60,7.3406,10.0322,83-60,7.277,9.9073,41-24,-0.0047,-0.0026,0.0022,-0.0031,-0.0064,0.0031,False
fourth,fourth_att o_fourth_att,7.398,9.9686,64-63,7.3512,10.03,81-50,7.2786,9.9128,40-23,0.0066,0.001,0.0,0.0075,-0.0009,0.0047,False
ngs,sep ryoe ttt cpoe o_sep o_ryoe o_ttt o_cpoe,7.443,10.0136,69-63,7.3461,10.0807,90-71,7.2704,9.8862,40-28,0.0516,0.046,0.0507,0.0024,-0.0275,-0.0035,False
streak,streak o_streak,7.3983,9.9656,60-58,7.3488,10.0274,78-56,7.2736,9.9344,36-24,0.0036,0.0013,-0.0026,0.0051,0.0207,-0.0003,False
letdown,letdown o_letdown,7.4012,9.9708,62-55,7.3481,10.0353,84-56,7.274,9.9312,40-22,0.0088,0.0042,0.0053,0.0044,0.0175,0.0001,False
revenge,revenge o_revenge,7.4044,9.9698,66-55,7.3472,10.0318,82-56,7.2724,9.9134,43-24,0.0078,0.0074,0.0018,0.0035,-0.0003,-0.0015,False
ot_short,ot_short o_ot_short,7.4051,9.9601,67-60,7.3486,10.0628,83-56,7.2802,9.9144,41-23,-0.0019,0.0081,0.0328,0.0049,0.0007,0.0063,False
altitude,altitude,7.3931,9.9654,64-57,7.3462,10.0256,81-55,7.2721,9.9105,43-22,0.0034,-0.0039,-0.0044,0.0025,-0.0032,-0.0018,False
all,every family,7.5457,10.1529,102-104,7.3834,10.1818,108-87,7.3067,9.9649,65-47,0.1909,0.1487,0.1518,0.0397,0.0512,0.0328,False
