season,variant,n_pool,n_ap,median_rank,in_top20,pct,window
2016,V0 page now (all carries),9,9,5.0,9,0.5555555555555556,2015-18
2016,V1 non-QB carries,9,9,5.0,9,0.5555555555555556,2015-18
2016,V2 pressures only,9,9,5.0,9,0.5555555555555556,2015-18
2016,"V3 non-QB carries, run half x0.5",9,9,5.0,9,0.5555555555555556,2015-18
2016,"V4 non-QB carries, 0.98 / 0.9",9,9,5.0,9,0.5555555555555556,2015-18
2017,V0 page now (all carries),9,9,5.0,9,0.5555555555555556,2015-18
2017,V1 non-QB carries,9,9,5.0,9,0.5555555555555556,2015-18
2017,V2 pressures only,9,9,5.0,9,0.5555555555555556,2015-18
2017,"V3 non-QB carries, run half x0.5",9,9,5.0,9,0.5555555555555556,2015-18
2017,"V4 non-QB carries, 0.98 / 0.9",9,9,5.0,9,0.5555555555555556,2015-18
2018,V0 page now (all carries),143,9,54.0,1,0.5466200466200466,2015-18
2018,V1 non-QB carries,143,9,62.0,2,0.5582750582750583,2015-18
2018,V2 pressures only,143,9,73.5,3,0.5559440559440559,2015-18
2018,"V3 non-QB carries, run half x0.5",143,9,67.0,2,0.5606060606060607,2015-18
2018,"V4 non-QB carries, 0.98 / 0.9",143,9,72.0,1,0.5225330225330226,2015-18
2019,V0 page now (all carries),150,9,44.0,3,0.6585185185185184,2019-22
2019,V1 non-QB carries,150,9,45.0,1,0.6533333333333334,2019-22
2019,V2 pressures only,150,9,48.0,1,0.6311111111111111,2019-22
2019,"V3 non-QB carries, run half x0.5",150,9,41.0,3,0.6370370370370371,2019-22
2019,"V4 non-QB carries, 0.98 / 0.9",150,9,46.0,1,0.6340740740740741,2019-22
2020,V0 page now (all carries),131,9,29.0,2,0.7065309584393554,2019-22
2020,V1 non-QB carries,131,9,26.0,4,0.7506361323155217,2019-22
2020,V2 pressures only,131,9,37.0,4,0.6573367260390162,2019-22
2020,"V3 non-QB carries, run half x0.5",131,9,28.0,4,0.7116200169635285,2019-22
2020,"V4 non-QB carries, 0.98 / 0.9",131,9,37.0,3,0.6938083121289229,2019-22
2021,V0 page now (all carries),148,10,32.5,2,0.7878378378378377,2019-22
2021,V1 non-QB carries,148,10,29.0,3,0.7621621621621621,2019-22
2021,V2 pressures only,148,10,57.0,2,0.5966216216216216,2019-22
2021,"V3 non-QB carries, run half x0.5",148,10,42.5,3,0.6945945945945946,2019-22
2021,"V4 non-QB carries, 0.98 / 0.9",148,10,38.0,2,0.7344594594594595,2019-22
2022,V0 page now (all carries),146,10,41.0,4,0.6945205479452056,2019-22
2022,V1 non-QB carries,146,10,30.0,2,0.6732876712328768,2019-22
2022,V2 pressures only,146,10,44.0,2,0.6417808219178083,2019-22
2022,"V3 non-QB carries, run half x0.5",146,10,31.5,3,0.6732876712328768,2019-22
2022,"V4 non-QB carries, 0.98 / 0.9",146,10,41.0,1,0.6315068493150686,2019-22
2023,V0 page now (all carries),148,10,57.0,3,0.647972972972973,2023-25
2023,V1 non-QB carries,148,10,49.0,1,0.6709459459459459,2023-25
2023,V2 pressures only,148,10,60.0,2,0.6263513513513513,2023-25
2023,"V3 non-QB carries, run half x0.5",148,10,63.5,1,0.6445945945945947,2023-25
2023,"V4 non-QB carries, 0.98 / 0.9",148,10,36.5,3,0.7108108108108109,2023-25
2024,V0 page now (all carries),146,10,50.0,3,0.7047945205479452,2023-25
2024,V1 non-QB carries,146,10,43.0,3,0.736986301369863,2023-25
2024,V2 pressures only,146,10,53.0,2,0.6554794520547945,2023-25
2024,"V3 non-QB carries, run half x0.5",146,10,51.5,3,0.7184931506849315,2023-25
2024,"V4 non-QB carries, 0.98 / 0.9",146,10,42.5,3,0.686986301369863,2023-25
2025,V0 page now (all carries),154,10,66.0,0,0.5811688311688311,2023-25
2025,V1 non-QB carries,154,10,63.0,0,0.596103896103896,2023-25
2025,V2 pressures only,154,10,78.5,0,0.5155844155844156,2023-25
2025,"V3 non-QB carries, run half x0.5",154,10,68.5,0,0.5545454545454546,2023-25
2025,"V4 non-QB carries, 0.98 / 0.9",154,10,68.5,0,0.5759740259740259,2023-25
