team,unit_per_100,pass_per_100,run_per_100,press_rate_2025,roster_top5,pff_rank,our_rank,gap
DEN,0.0516,0.5308,-0.4792,0.1995,0.062,1,15,14
TB,4.4548,2.9549,1.4999,0.1491,0.19,2,3,1
IND,0.5803,1.0584,-0.4781,0.1917,0.065,3,13,10
PHI,2.0878,1.1356,0.9522,0.183,0.135,4,7,3
CHI,1.2585,-2.1682,3.4267,0.2382,0.099,5,8,3
BUF,5.5183,1.7327,3.7856,0.1681,0.109,6,1,-5
ATL,0.6275,0.4688,0.1586,0.1945,0.074,7,12,5
SF,3.1955,2.5784,0.6171,0.1892,0.121,8,4,-4
LAC,-4.0259,-3.2985,-0.7274,0.2855,0.02,9,30,21
LA,2.313,1.2286,1.0844,0.1867,0.155,10,6,-4
MIN,-2.4654,-1.2983,-1.1671,0.2591,0.013,11,27,16
PIT,0.9357,1.7572,-0.8215,0.1648,0.084,12,10,-2
SEA,-0.2085,-0.5706,0.3621,0.229,0.039,13,19,6
KC,-0.0726,0.315,-0.3877,0.2101,0.054,14,17,3
LV,-5.1853,-0.65,-4.5353,0.2267,0.017,15,31,16
DET,0.9656,-0.9391,1.9047,0.2404,0.05,16,9,-7
CIN,0.5617,0.536,0.0257,0.1983,0.067,17,14,-3
NYJ,-0.6341,-0.5664,-0.0676,0.2512,0.02,18,21,3
NO,-0.929,1.4766,-2.4055,0.1878,0.059,19,22,3
ARI,-0.5194,-1.0619,0.5425,0.2447,0.053,20,20,0
NYG,0.0247,-1.2532,1.2779,0.2472,-0.015,21,16,-5
NE,-0.1315,-0.2961,0.1646,0.2169,0.035,22,18,-4
BAL,4.5534,0.3866,4.1668,0.2187,0.083,23,2,-21
DAL,0.7178,0.5652,0.1526,0.193,0.079,24,11,-13
MIA,-2.9397,-1.2978,-1.6419,0.2195,-0.03,25,29,4
CAR,-2.5797,-3.4556,0.8758,0.2432,0.003,26,28,2
JAX,-2.0888,0.2506,-2.3394,0.2121,0.017,27,25,-2
TEN,-2.1516,-2.5099,0.3583,0.2786,0.015,28,26,-2
CLE,-7.2379,-3.7757,-3.4622,0.2964,-0.049,29,32,3
HOU,-1.8439,-0.0395,-1.8044,0.2011,0.029,30,24,-6
WAS,2.8191,1.4765,1.3426,0.1831,0.052,31,5,-26
GB,-1.5512,-0.8901,-0.6611,0.2043,0.037,32,23,-9
