part,variant,yds_mae_2019-22,catch_mae_2019-22,td_ll_2019-22,n_2019-22,yds_mae_2023-25,catch_mae_2023-25,td_ll_2023-25,n_2023-25,med,med_catch,mean_value,team_mae_2019-22,margin_mae_2019-22,total_mae_2019-22,ats5_2019-22,ats5_pct_2019-22,ats4_2019-22,team_mae_2023-25,margin_mae_2023-25,total_mae_2023-25,ats5_2023-25,ats5_pct_2023-25,ats4_2023-25,team_mae_2015-18,margin_mae_2015-18
B props rec,none,19.306,1.4349,0.5093,16076,18.279,1.3549,0.4857,12383,,,,,,,,,,,,,,,,,
B props rec,exclude,19.485,1.4529,0.5098,16076,18.439,1.3711,0.4869,12383,,,,,,,,,,,,,,,,,
B props rec,weight,19.789,1.495,0.5113,16076,18.739,1.4081,0.4888,12383,,,,,,,,,,,,,,,,,
B props rush,none,17.858,,0.577,7778,17.037,,0.5482,6196,,,,,,,,,,,,,,,,,
B props rush,exclude,18.174,,0.5787,7778,17.373,,0.5497,6196,,,,,,,,,,,,,,,,,
B props rush,weight,18.537,,0.5798,7778,17.914,,0.5541,6196,,,,,,,,,,,,,,,,,
B props rec (factors refit),none,19.306,1.4349,0.5093,16076,18.279,1.3549,0.4857,12383,0.81,0.9,,,,,,,,,,,,,,,
B props rec (factors refit),exclude,19.478,1.4512,0.5098,16076,18.436,1.3705,0.4869,12383,0.8,0.88,,,,,,,,,,,,,,,
B props rec (factors refit),weight,19.684,1.4715,0.5113,16076,18.648,1.3891,0.4888,12383,0.74,0.82,,,,,,,,,,,,,,,
B props rush (factors refit),none,17.872,,0.577,7778,17.043,,0.5482,6196,0.79,,,,,,,,,,,,,,,,
B props rush (factors refit),exclude,18.158,,0.5787,7778,17.333,,0.5497,6196,0.75,,,,,,,,,,,,,,,,
B props rush (factors refit),weight,18.347,,0.5798,7778,17.653,,0.5541,6196,0.7,,,,,,,,,,,,,,,,
A game model skill-out,none,,,,1055,,,,816,,,0.00914,7.3486,10.0163,10.6271,38-33,0.535,89-64,7.2833,9.9273,10.2744,21-16,0.568,46-30,7.4004,9.9702
A game model skill-out,weight,,,,1055,,,,816,,,0.01028,7.3479,10.016,10.6271,39-33,0.542,91-63,7.284,9.929,10.2744,22-16,0.579,45-30,7.4005,9.9701
