variant,team_mae_2019-22,margin_mae_2019-22,total_mae_2019-22,ats5_2019-22,ats5_pct_2019-22,ats4_2019-22,n_2019-22,team_mae_2023-25,margin_mae_2023-25,total_mae_2023-25,ats5_2023-25,ats5_pct_2023-25,ats4_2023-25,n_2023-25,delta_2019-22,delta_2023-25,verdict
"decay 0.985, k 80, 25th percentile (today)",7.3624,10.032,10.6197,47-34,0.58,94-69,1055.0,7.2972,9.9773,10.2606,23-17,0.575,47-32,816.0,0.0,0.0,base
40th percentile,7.3659,10.0464,10.6197,47-33,0.588,90-69,1055.0,7.3032,9.9881,10.2606,22-18,0.55,46-37,816.0,0.0035,0.006,no
decay 0.97,7.3632,10.0349,10.6197,46-33,0.582,91-71,1055.0,7.2996,9.9847,10.2606,24-16,0.6,48-34,816.0,0.0008,0.0024,no
decay 0.995,7.3619,10.0301,10.6197,47-34,0.58,92-70,1055.0,7.296,9.9739,10.2606,22-16,0.579,47-31,816.0,-0.0005,-0.0012,helps one
k 40,7.3637,10.0399,10.6197,45-34,0.57,89-69,1055.0,7.2992,9.983,10.2606,23-16,0.59,46-32,816.0,0.0013,0.002,no
k 160,7.3613,10.0268,10.6197,49-38,0.563,97-70,1055.0,7.2953,9.9726,10.2606,22-16,0.579,48-30,816.0,-0.0011,-0.0019,helps both
k 240,7.3606,,,50-38,,,,7.2943,,,22-17,,,,-0.0018,-0.0029,helps both
k 320,7.3601,,,53-38,,,,7.2937,,,22-17,,,,-0.0023,-0.0035,helps both
k 480,7.3594,10.0239,10.6197,53-38,0.582,96-73,1055.0,7.293,9.9694,10.2606,22-17,0.564,47-31,816.0,-0.003,-0.0042,helps both
k 640,7.3589,10.0239,10.6197,53-40,0.57,95-73,1055.0,7.2926,9.9695,10.2606,22-17,0.564,47-30,816.0,-0.0035,-0.0046,helps both
"k 160, 15th percentile",7.361,,,51-37,,,,7.2925,,,21-16,,,,-0.0014,-0.0047,helps both
10th percentile,7.3617,10.029,10.6197,52-34,0.605,94-68,1055.0,7.293,9.9736,10.2606,21-16,0.568,50-31,816.0,-0.0007,-0.0042,helps one
"k 160, 10th percentile",7.3612,,,53-38,,,,7.291,,,20-16,,,,-0.0012,-0.0062,helps both
"k 240, 10th percentile",7.3608,,,53-38,,,,7.29,,,20-16,,,,-0.0016,-0.0072,helps both
"k 320, 10th percentile",7.3604,10.0235,10.6197,51-38,0.573,94-69,1055.0,7.2894,9.9693,10.2606,21-16,0.568,46-28,816.0,-0.002,-0.0078,helps both
"k 480, 10th percentile",7.3599,10.0231,10.6197,53-38,0.582,93-69,1055.0,7.2889,9.9697,10.2606,21-16,0.568,46-28,816.0,-0.0025,-0.0083,helps both
"k 320, 5th percentile",7.3614,10.0254,10.6197,52-37,0.584,96-67,1055.0,7.2879,9.9704,10.2606,19-17,0.528,47-29,816.0,-0.001,-0.0093,helps one
