row,kind,window,asof_week,avail,blend,mae,n,value,pace_mae,prev_mae,bias,within10,within20,within20_prev,within20_top,n_top,base_rate
fit,rec,2016-18,all,0.65,0.5,118.1081,2003.0,,,,,,,,,,
avail_mean_share,rec,2016-18,all,,,,,0.773,,,,,,,,,
fit,rush,2016-18,all,0.625,0.5,149.0323,749.0,,,,,,,,,,
avail_mean_share,rush,2016-18,all,,,,,0.749,,,,,,,,,
fit,pass,2016-18,all,0.525,0.75,550.0048,299.0,,,,,,,,,,
avail_mean_share,pass,2016-18,all,,,,,0.75,,,,,,,,,
mae,pass,2019-22,1,,,952.2319,108.0,,963.1481,963.1481,-100.0427,0.1944,0.3889,0.4167,0.4271,96.0,
mae,pass,2019-22,5,,,670.5661,120.0,,768.8021,1060.1083,188.8965,0.3,0.5333,0.3833,0.625,96.0,
mae,pass,2019-22,9,,,428.1275,103.0,,449.9976,1042.5922,8.8369,0.4272,0.6311,0.3981,0.6771,96.0,
mae,pass,2019-22,13,,,291.4641,119.0,,294.588,1022.2353,14.6824,0.4874,0.605,0.3361,0.7188,96.0,
mae,pass,2023-25,1,,,955.3334,76.0,,1005.3026,1005.3026,150.9593,0.2237,0.4079,0.3816,0.4306,72.0,
mae,pass,2023-25,5,,,741.7518,84.0,,788.2798,1241.7857,300.9317,0.2262,0.4167,0.2857,0.4861,72.0,
mae,pass,2023-25,9,,,523.2323,84.0,,565.3773,1113.2976,139.0743,0.3095,0.4643,0.2857,0.5417,72.0,
mae,pass,2023-25,13,,,333.1649,89.0,,348.0609,949.8427,90.0588,0.427,0.5618,0.3258,0.6667,72.0,
mae,rec,2019-22,1,,,192.7325,660.0,,210.6424,210.6424,1.9113,0.1455,0.2833,0.2682,0.3594,192.0,
mae,rec,2019-22,5,,,145.8228,797.0,,178.0781,234.0326,4.3813,0.1757,0.3538,0.2384,0.5521,192.0,
mae,rec,2019-22,9,,,102.6981,721.0,,114.6996,241.1345,-12.0967,0.2732,0.4882,0.2191,0.7083,192.0,
