kind,variant,window,n,mae,flags,hits
pass,base,2017-18 (fit),53,993.8,0,0
pass,base,2019-22,108,952.2,0,0
pass,base,2023-25,76,955.3,0,0
pass,age,2017-18 (fit),53,1047.4,0,0
pass,age,2019-22,108,1026.4,0,0
pass,age,2023-25,76,1073.0,0,0
pass,team,2017-18 (fit),53,1021.8,0,0
pass,team,2019-22,108,932.2,0,0
pass,team,2023-25,76,998.1,0,0
pass,young,2017-18 (fit),53,1038.4,0,0
pass,young,2019-22,108,1010.9,0,0
pass,young,2023-25,76,989.8,0,0
pass,all,2017-18 (fit),53,1014.9,0,0
pass,all,2019-22,108,960.1,0,0
pass,all,2023-25,76,1063.6,0,0
rec,base,2017-18 (fit),302,206.2,0,0
rec,base,2019-22,660,192.7,0,0
rec,base,2023-25,450,182.8,0,0
rec,age,2017-18 (fit),302,201.6,0,0
rec,age,2019-22,660,195.2,0,0
rec,age,2023-25,450,188.5,0,0
rec,team,2017-18 (fit),302,203.0,0,0
rec,team,2019-22,660,197.3,0,0
rec,team,2023-25,450,190.1,0,0
rec,young,2017-18 (fit),302,201.8,0,0
rec,young,2019-22,660,195.3,0,0
rec,young,2023-25,450,190.8,0,0
rec,all,2017-18 (fit),302,196.3,0,0
rec,all,2019-22,660,196.2,0,0
rec,all,2023-25,450,194.3,0,0
rush,base,2017-18 (fit),113,258.6,0,0
rush,base,2019-22,250,234.5,0,0
rush,base,2023-25,182,230.6,0,0
rush,age,2017-18 (fit),113,264.2,0,0
rush,age,2019-22,250,242.2,0,0
rush,age,2023-25,182,244.3,0,0
rush,team,2017-18 (fit),113,260.5,0,0
rush,team,2019-22,250,243.0,0,0
rush,team,2023-25,182,244.5,0,0
rush,young,2017-18 (fit),113,261.7,0,0
rush,young,2019-22,250,242.8,0,0
rush,young,2023-25,182,248.6,0,0
rush,all,2017-18 (fit),113,244.9,1,0
rush,all,2019-22,250,260.5,3,1
rush,all,2023-25,182,266.3,0,0
