stat,variant,mae_2019-22,mae_2023-25,n_2019-22,n_2023-25
rec_yards,p_league,20.06,19.07,16089.0,12399.0
rec_yards,p_avg,20.27,19.38,16089.0,12399.0
rec_yards,p_vol_rate,20.21,19.3,16089.0,12399.0
rec_yards,p_mix,20.28,19.33,16089.0,12399.0
rec_yards,p_rate_d50,20.22,19.25,16089.0,12399.0
rec_yards,p_mix_d25,20.27,19.3,16089.0,12399.0
rec_yards,p_mix_d50,20.28,19.28,16089.0,12399.0
rec_yards,p_mix_d100,20.37,19.28,16089.0,12399.0
targets,p_tgt_avg,1.92,1.81,16089.0,12399.0
targets,p_tgt_share,1.91,1.8,16089.0,12399.0
rush_yards,p_league,19.72,18.85,7554.0,6012.0
rush_yards,p_avg,19.37,18.7,7554.0,6012.0
rush_yards,p_vol_rate,19.33,18.64,7554.0,6012.0
rush_yards,p_mix,19.8,18.98,7554.0,6012.0
rush_yards,p_rate_d50,19.32,18.63,7554.0,6012.0
rush_yards,p_mix_d25,19.79,18.97,7554.0,6012.0
rush_yards,p_mix_d50,19.79,18.97,7554.0,6012.0
rush_yards,p_mix_d100,19.86,19.03,7554.0,6012.0
pass_yards,p_league,65.65,65.97,2177.0,1712.0
pass_yards,p_avg,63.76,63.09,2177.0,1712.0
pass_yards,p_vol_rate,62.96,62.65,2177.0,1712.0
pass_yards,p_mix,73.28,65.5,2177.0,1712.0
pass_yards,p_rate_d50,62.41,62.38,2177.0,1712.0
pass_yards,p_mix_d25,73.18,65.31,2177.0,1712.0
pass_yards,p_mix_d50,73.46,65.28,2177.0,1712.0
pass_yards,p_mix_d100,75.05,65.96,2177.0,1712.0
rec_yards,s25,19.94,19.02,,
rec_yards,s25_d25,19.93,19.0,,
rec_yards,s25_d50,19.94,18.98,,
rec_yards,s50,19.86,18.93,,
rec_yards,s50_d25,19.85,18.91,,
rec_yards,s50_d50,19.86,18.89,,
rec_yards,s100,19.82,18.88,,
rec_yards,s100_d25,19.81,18.85,,
rec_yards,s100_d50,19.82,18.84,,
rec_yards,s200,19.83,18.88,,
rec_yards,s200_d25,19.82,18.85,,
rec_yards,s200_d50,19.83,18.84,,
rec_yards,s400,19.88,18.92,,
rec_yards,s400_d25,19.87,18.9,,
rec_yards,s400_d50,19.88,18.89,,
rush_yards,s25,19.26,18.53,,
rush_yards,s25_d25,19.24,18.51,,
rush_yards,s25_d50,19.24,18.51,,
rush_yards,s50,19.28,18.52,,
rush_yards,s50_d25,19.25,18.51,,
rush_yards,s50_d50,19.25,18.51,,
rush_yards,s100,19.32,18.55,,
rush_yards,s100_d25,19.3,18.53,,
rush_yards,s100_d50,19.3,18.53,,
rush_yards,s200,19.4,18.6,,
rush_yards,s200_d25,19.38,18.59,,
rush_yards,s200_d50,19.38,18.59,,
rush_yards,s400,19.49,18.67,,
rush_yards,s400_d25,19.47,18.66,,
rush_yards,s400_d50,19.47,18.66,,
pass_yards,s50,62.8,62.68,,
pass_yards,s50_d25,62.38,62.45,,
pass_yards,s50_d50,62.31,62.45,,
pass_yards,s100,62.86,62.79,,
pass_yards,s100_d25,62.46,62.57,,
pass_yards,s100_d50,62.41,62.59,,
pass_yards,s200,63.08,63.02,,
pass_yards,s200_d25,62.72,62.82,,
pass_yards,s200_d50,62.67,62.84,,
pass_yards,s400,63.44,63.46,,
pass_yards,s400_d25,63.11,63.27,,
pass_yards,s400_d50,63.06,63.31,,
pass_yards,s800,63.94,64.07,,
pass_yards,s800_d25,63.61,63.89,,
pass_yards,s800_d50,63.56,63.94,,
