stat,variant,vol_mae_2019-22,vol_mae_2023-25,mae_2019-22,ll_2019-22,n_2019-22,mae_2023-25,ll_2023-25,n_2023-25,fitted,early_mae_2019-22,early_mae_2023-25
rec_redistribution,none,1.868,1.748,19.397,,16089,18.421,,12399,"hindsight absences: 5%+ usage, seen in the team's last three games, not this one",,
rec_redistribution,pro_rata,2.264,2.076,20.393,,16089,19.238,,12399,"hindsight absences: 5%+ usage, seen in the team's last three games, not this one",,
rec_redistribution,pro_rata_half,2.002,1.863,19.733,,16089,18.717,,12399,"hindsight absences: 5%+ usage, seen in the team's last three games, not this one",,
rec_redistribution,same_pos,2.132,1.983,20.153,,16089,19.061,,12399,"hindsight absences: 5%+ usage, seen in the team's last three games, not this one",,
rec_redistribution,same_pos_half,1.951,1.827,19.633,,16089,18.624,,12399,"hindsight absences: 5%+ usage, seen in the team's last three games, not this one",,
rec_td_redzone,league_prior,,,0.309,0.5086,16089,0.297,0.4858,12399,"scoring rate by yard line (0-3, 4-10, 11-20, 21-40, 41+) on 2016 to 2018: 0.392, 0.321, 0.140, 0.047, 0.008",,
rec_td_redzone,xtd_only,,,0.31,0.5143,16089,0.295,0.4886,12399,"scoring rate by yard line (0-3, 4-10, 11-20, 21-40, 41+) on 2016 to 2018: 0.392, 0.321, 0.140, 0.047, 0.008",,
rec_td_redzone,xtd_prior_K100,,,0.308,0.5131,16089,0.293,0.4881,12399,"scoring rate by yard line (0-3, 4-10, 11-20, 21-40, 41+) on 2016 to 2018: 0.392, 0.321, 0.140, 0.047, 0.008",,
rec_td_redzone,xtd_prior_K200,,,0.309,0.5126,16089,0.294,0.4875,12399,"scoring rate by yard line (0-3, 4-10, 11-20, 21-40, 41+) on 2016 to 2018: 0.392, 0.321, 0.140, 0.047, 0.008",,
rec_td_redzone,xtd_prior_K400,,,0.31,0.5129,16089,0.295,0.4876,12399,"scoring rate by yard line (0-3, 4-10, 11-20, 21-40, 41+) on 2016 to 2018: 0.392, 0.321, 0.140, 0.047, 0.008",,
rec_td_redzone,xtd_prior_K800,,,0.31,0.5133,16089,0.295,0.4879,12399,"scoring rate by yard line (0-3, 4-10, 11-20, 21-40, 41+) on 2016 to 2018: 0.392, 0.321, 0.140, 0.047, 0.008",,
rec_td_redzone,xtd_prior_shrunk,,,0.309,0.5091,16089,0.295,0.4855,12399,"scoring rate by yard line (0-3, 4-10, 11-20, 21-40, 41+) on 2016 to 2018: 0.392, 0.321, 0.140, 0.047, 0.008",,
