stat,variant,mae_2019-22,bias_2019-22,n_2019-22,mae_2023-25,bias_2023-25,n_2023-25,factors,verdict
rec_yards,fixed,19.362,-3.34,16089,18.323,-3.2,12399,,adopted today
rec_yards,expanding,19.304,-4.94,16089,18.27,-4.76,12399,"2019: 0.81, 2020: 0.82, 2021: 0.81, 2022: 0.81, 2023: 0.81, 2024: 0.81, 2025: 0.81, 2026: 0.81",better on both windows
rec_yards,rolling3,19.308,-4.82,16089,18.276,-4.83,12399,"2019: 0.81, 2020: 0.82, 2021: 0.83, 2022: 0.81, 2023: 0.80, 2024: 0.80, 2025: 0.82, 2026: 0.81",better on both windows
rec_yards,rolling2,19.306,-4.94,16089,18.28,-4.76,12399,"2019: 0.81, 2020: 0.83, 2021: 0.82, 2022: 0.79, 2023: 0.79, 2024: 0.81, 2025: 0.83, 2026: 0.80",better on both windows
rec_yards,refit_2017_18,19.304,-5.0,16089,18.27,-4.76,12399,0.81,better on both windows
rec_catches,fixed,1.4354,-0.347,16089,1.356,-0.346,12399,,adopted today
rec_catches,refit_2017_18,1.4348,-0.29,16089,1.3547,-0.291,12399,0.90,better on both windows
rec_catches,expanding,1.435,-0.282,16089,1.3547,-0.291,12399,"2019: 0.90, 2020: 0.90, 2021: 0.91, 2022: 0.90, 2023: 0.90, 2024: 0.90, 2025: 0.90, 2026: 0.90",better on both windows
rush_yards,fixed,18.122,-4.68,7554,17.284,-4.03,6012,,adopted today
rush_yards,expanding,18.131,-5.53,7554,17.284,-4.61,6012,"2019: 0.80, 2020: 0.80, 2021: 0.81, 2022: 0.81, 2023: 0.82, 2024: 0.81, 2025: 0.82, 2026: 0.82",not adopted
rush_yards,rolling3,18.129,-5.28,7554,17.297,-4.28,6012,"2019: 0.80, 2020: 0.80, 2021: 0.83, 2022: 0.83, 2023: 0.84, 2024: 0.81, 2025: 0.84, 2026: 0.82",not adopted
rush_yards,rolling2,18.126,-5.09,7554,17.284,-4.36,6012,"2019: 0.80, 2020: 0.81, 2021: 0.84, 2022: 0.84, 2023: 0.83, 2024: 0.82, 2025: 0.83, 2026: 0.84",not adopted
rush_yards,refit_2017_18,18.134,-5.66,7554,17.287,-5.02,6012,0.80,not adopted
pass_yards,fixed,57.697,-0.8,2177,57.356,6.44,1712,,adopted today
pass_yards,expanding,57.736,-0.45,2177,57.105,3.79,1712,"2019: 0.89, 2020: 0.91, 2021: 0.91, 2022: 0.90, 2023: 0.88, 2024: 0.88, 2025: 0.87, 2026: 0.86",not adopted
pass_yards,rolling3,57.773,-0.13,2177,56.936,0.76,1712,"2019: 0.89, 2020: 0.91, 2021: 0.92, 2022: 0.90, 2023: 0.86, 2024: 0.85, 2025: 0.84, 2026: 0.82",not adopted
pass_yards,rolling2,57.765,-0.39,2177,57.01,0.0,1712,"2019: 0.89, 2020: 0.91, 2021: 0.93, 2022: 0.88, 2023: 0.83, 2024: 0.85, 2025: 0.85, 2026: 0.79",not adopted
pass_yards,refit_2017_18,57.675,-2.01,2177,57.244,5.3,1712,0.89,better on both windows
