stat,variant,mae_2019-22,mae_2023-25,n_2019-22,n_2023-25
rec_yards,v1,20.26,19.33,16089,12399
rec_yards,A_90,20.16,19.24,16089,12399
rec_yards,A_95,20.3,19.46,16089,12399
rec_yards,A_90_vol,20.12,19.21,16089,12399
rec_yards,A_95_vol,20.27,19.43,16089,12399
rec_yards,B,20.23,19.24,16089,12399
rec_yards,C25,20.26,19.32,16089,12399
rec_yards,C50,20.28,19.32,16089,12399
rec_yards,D,21.19,19.58,16089,12399
rec_yards,D_half,20.66,19.44,16089,12399
rec_yards,E25,20.28,19.33,16089,12399
rec_yards,E50,20.32,19.32,16089,12399
rec_yards,E100,20.43,19.33,16089,12399
rec_yards,F,20.27,19.28,16089,12399
rec_yards,G,21.67,20.76,16089,12399
targets,vol_v1,1.91,1.8,16089,12399
targets,vol_B,1.91,1.79,16089,12399
targets,vol_A95,1.91,1.81,16089,12399
