stat,variant,mae_2019-22,mae_2023-25,n_2019-22,n_2023-25,median_factor_v1,median_factor_A90B,median_factor_A85B
game_script,league_total,43.5674,,,,,,
game_script,tp,-0.5969,-0.046,0.1636,,,,
game_script,tr,0.3413,0.103,-0.1713,,,,
game_script,tdb,-0.5967,-0.0461,0.1638,,,,
rec_yards,v1,19.99,19.04,16089.0,12399.0,0.86,0.88,0.88
rec_yards,A90,19.84,18.91,16089.0,12399.0,0.86,0.88,0.88
rec_yards,A85,19.79,18.83,16089.0,12399.0,0.86,0.88,0.88
rec_yards,B,19.96,18.97,16089.0,12399.0,0.86,0.88,0.88
rec_yards,A90B,19.82,18.84,16089.0,12399.0,0.86,0.88,0.88
rec_yards,A85B,19.77,18.76,16089.0,12399.0,0.86,0.88,0.88
rec_yards,v1_med,19.62,18.65,16089.0,12399.0,0.86,0.88,0.88
rec_yards,A90B_med,19.5,18.53,16089.0,12399.0,0.86,0.88,0.88
rec_yards,A85B_med,19.44,18.46,16089.0,12399.0,0.86,0.88,0.88
rec_volume,vol_flat,1.91,1.8,16089.0,12399.0,,,
rec_volume,vol_90,1.88,1.77,16089.0,12399.0,,,
rec_volume,vol_gs,1.88,1.76,16089.0,12399.0,,,
rush_yards,v1,19.24,18.51,7554.0,6012.0,0.84,0.84,0.84
rush_yards,A90,19.0,18.28,7554.0,6012.0,0.84,0.84,0.84
rush_yards,A85,18.89,18.15,7554.0,6012.0,0.84,0.84,0.84
rush_yards,B,19.21,18.55,7554.0,6012.0,0.84,0.84,0.84
rush_yards,A90B,18.98,18.31,7554.0,6012.0,0.84,0.84,0.84
rush_yards,A85B,18.86,18.18,7554.0,6012.0,0.84,0.84,0.84
rush_yards,v1_med,18.67,17.94,7554.0,6012.0,0.84,0.84,0.84
rush_yards,A90B_med,18.48,17.74,7554.0,6012.0,0.84,0.84,0.84
rush_yards,A85B_med,18.36,17.6,7554.0,6012.0,0.84,0.84,0.84
rush_volume,vol_flat,3.14,3.03,7554.0,6012.0,,,
rush_volume,vol_90,3.06,2.95,7554.0,6012.0,,,
rush_volume,vol_gs,3.06,2.96,7554.0,6012.0,,,
pass_yards,v1,64.31,64.27,2177.0,1712.0,0.9,0.9,0.9
pass_yards,A90,64.31,64.27,2177.0,1712.0,0.9,0.9,0.9
pass_yards,A85,64.31,64.27,2177.0,1712.0,0.9,0.9,0.9
pass_yards,B,63.92,63.61,2177.0,1712.0,0.9,0.9,0.9
pass_yards,A90B,63.92,63.61,2177.0,1712.0,0.9,0.9,0.9
pass_yards,A85B,63.92,63.61,2177.0,1712.0,0.9,0.9,0.9
pass_yards,v1_med,61.42,61.63,2177.0,1712.0,0.9,0.9,0.9
pass_yards,A90B_med,61.24,61.56,2177.0,1712.0,0.9,0.9,0.9
pass_yards,A85B_med,61.24,61.56,2177.0,1712.0,0.9,0.9,0.9
