stat,variant,mae_2019-22,mae_2023-25,n_2019-22,n_2023-25,fitted
rec_yards,base,19.44,18.46,16089,12399,"{'wind_c': -0.005000000000000011, 'windlin_c': -0.004000000000000014, 'qb_level_c': 0.5, 'qb_change_c': 1.0, 'home_c': 0.04000000000000001}"
rec_yards,wind10,19.43,18.46,16089,12399,"{'wind_c': -0.005000000000000011, 'windlin_c': -0.004000000000000014, 'qb_level_c': 0.5, 'qb_change_c': 1.0, 'home_c': 0.04000000000000001}"
rec_yards,windlin,19.42,18.44,16089,12399,"{'wind_c': -0.005000000000000011, 'windlin_c': -0.004000000000000014, 'qb_level_c': 0.5, 'qb_change_c': 1.0, 'home_c': 0.04000000000000001}"
rec_yards,pace25,19.43,18.44,16089,12399,"{'wind_c': -0.005000000000000011, 'windlin_c': -0.004000000000000014, 'qb_level_c': 0.5, 'qb_change_c': 1.0, 'home_c': 0.04000000000000001}"
rec_yards,pace50,19.44,18.44,16089,12399,"{'wind_c': -0.005000000000000011, 'windlin_c': -0.004000000000000014, 'qb_level_c': 0.5, 'qb_change_c': 1.0, 'home_c': 0.04000000000000001}"
rec_yards,qb_level,19.43,18.44,16089,12399,"{'wind_c': -0.005000000000000011, 'windlin_c': -0.004000000000000014, 'qb_level_c': 0.5, 'qb_change_c': 1.0, 'home_c': 0.04000000000000001}"
rec_yards,qb_change,19.46,18.46,16089,12399,"{'wind_c': -0.005000000000000011, 'windlin_c': -0.004000000000000014, 'qb_level_c': 0.5, 'qb_change_c': 1.0, 'home_c': 0.04000000000000001}"
rec_yards,own_prior,19.41,18.44,16089,12399,"{'wind_c': -0.005000000000000011, 'windlin_c': -0.004000000000000014, 'qb_level_c': 0.5, 'qb_change_c': 1.0, 'home_c': 0.04000000000000001}"
rec_yards,home,19.44,18.44,16089,12399,"{'wind_c': -0.005000000000000011, 'windlin_c': -0.004000000000000014, 'qb_level_c': 0.5, 'qb_change_c': 1.0, 'home_c': 0.04000000000000001}"
rec_yards,K50_W0.0,19.39,18.42,16089,12399,"{'wind_c': -0.005000000000000011, 'windlin_c': -0.004000000000000014, 'qb_level_c': 0.5, 'qb_change_c': 1.0, 'home_c': 0.04000000000000001}"
rec_yards,K50_W0.25,19.42,18.44,16089,12399,"{'wind_c': -0.005000000000000011, 'windlin_c': -0.004000000000000014, 'qb_level_c': 0.5, 'qb_change_c': 1.0, 'home_c': 0.04000000000000001}"
rec_yards,K50_W0.5,19.5,18.51,16089,12399,"{'wind_c': -0.005000000000000011, 'windlin_c': -0.004000000000000014, 'qb_level_c': 0.5, 'qb_change_c': 1.0, 'home_c': 0.04000000000000001}"
rec_yards,K100_W0.0,19.45,18.48,16089,12399,"{'wind_c': -0.005000000000000011, 'windlin_c': -0.004000000000000014, 'qb_level_c': 0.5, 'qb_change_c': 1.0, 'home_c': 0.04000000000000001}"
rec_yards,K100_W0.25,19.44,18.46,16089,12399,"{'wind_c': -0.005000000000000011, 'windlin_c': -0.004000000000000014, 'qb_level_c': 0.5, 'qb_change_c': 1.0, 'home_c': 0.04000000000000001}"
