stat,variant,mae_2019-22,mae_2023-25,ll_2019-22,n_2019-22,ll_2023-25,n_2023-25
rec_team_fit,td,-0.2529,0.07481,,,,
rec_team_fit,yds,86.16,6.483,,,,
rec_yards,yds_vegas,19.444,18.46,,16089.0,,12399.0
rec_yards,yds_model,19.443,18.462,,16089.0,,12399.0
rec_yards,yds_blend,19.443,18.461,,16089.0,,12399.0
rec_yards,yds_recon25,19.397,18.421,,16089.0,,12399.0
rec_yards,yds_recon50,19.464,18.524,,16089.0,,12399.0
rec_yards,yds_recon100,19.935,19.119,,16089.0,,12399.0
rec_td,td_vegas,0.31,0.295,0.5101,16089.0,0.4869,12399.0
rec_td,td_model,0.311,0.295,0.5104,16089.0,0.487,12399.0
rec_td,td_blend,0.31,0.295,0.5102,16089.0,0.4869,12399.0
rec_td,td_recon25,0.31,0.296,0.509,16089.0,0.4861,12399.0
rec_td,td_recon50,0.309,0.297,0.5086,16089.0,0.4858,12399.0
rec_td,td_recon100,0.308,0.298,0.5093,16089.0,0.4867,12399.0
rush_team_fit,td,-0.1856,0.04091,,,,
rush_team_fit,yds,71.47,1.388,,,,
rush_yards,yds_vegas,18.362,17.602,,7554.0,,6012.0
rush_yards,yds_model,18.362,17.604,,7554.0,,6012.0
rush_yards,yds_blend,18.36,17.602,,7554.0,,6012.0
rush_yards,yds_recon25,18.231,17.435,,7554.0,,6012.0
rush_yards,yds_recon50,18.245,17.4,,7554.0,,6012.0
rush_yards,yds_recon100,18.689,17.724,,7554.0,,6012.0
rush_td,td_vegas,0.356,0.346,0.5948,7554.0,0.5655,6012.0
rush_td,td_model,0.356,0.346,0.5948,7554.0,0.5655,6012.0
rush_td,td_blend,0.356,0.346,0.5948,7554.0,0.5655,6012.0
rush_td,td_recon25,0.352,0.342,0.5926,7554.0,0.5634,6012.0
rush_td,td_recon50,0.349,0.338,0.5922,7554.0,0.5629,6012.0
rush_td,td_recon100,0.343,0.331,0.5971,7554.0,0.5676,6012.0
pass_team_fit,td,-0.2618,0.079,,,,
pass_team_fit,yds,73.77,6.894,,,,
pass_yards,yds_vegas,60.705,61.076,,2177.0,,1712.0
pass_yards,yds_model,60.579,61.124,,2177.0,,1712.0
pass_yards,yds_blend,60.632,61.094,,2177.0,,1712.0
pass_yards,yds_recon25,58.8,58.66,,2177.0,,1712.0
pass_yards,yds_recon50,57.683,57.305,,2177.0,,1712.0
pass_yards,yds_recon100,58.019,57.784,,2177.0,,1712.0
pass_td,td_vegas,0.933,0.904,1.4868,2177.0,1.4543,1712.0
pass_td,td_model,0.935,0.904,1.4892,2177.0,1.4554,1712.0
pass_td,td_blend,0.933,0.904,1.4875,2177.0,1.4544,1712.0
pass_td,td_recon25,0.918,0.891,1.4754,2177.0,1.4422,1712.0
pass_td,td_recon50,0.906,0.88,1.4674,2177.0,1.4328,1712.0
pass_td,td_recon100,0.898,0.869,1.4632,2177.0,1.4226,1712.0
