stat,variant,mae_2019-22,n_2019-22,mae_2023-25,n_2023-25,fitted
rec_longest,l_avg,9.802,10896,9.777,7966,blend 6.9084 + 0.3362 x decayed longest + 0.1291 x yards per game (median factor 0.84); median factor 0.84 on K8
rec_longest,l_85,9.781,10896,9.794,7966,blend 6.9084 + 0.3362 x decayed longest + 0.1291 x yards per game (median factor 0.84); median factor 0.84 on K8
rec_longest,l_90,9.73,10896,9.731,7966,blend 6.9084 + 0.3362 x decayed longest + 0.1291 x yards per game (median factor 0.84); median factor 0.84 on K8
rec_longest,l_85_K2,9.7,10896,9.704,7966,blend 6.9084 + 0.3362 x decayed longest + 0.1291 x yards per game (median factor 0.84); median factor 0.84 on K8
rec_longest,l_85_K4,9.66,10896,9.658,7966,blend 6.9084 + 0.3362 x decayed longest + 0.1291 x yards per game (median factor 0.84); median factor 0.84 on K8
rec_longest,l_85_K8,9.63,10896,9.618,7966,blend 6.9084 + 0.3362 x decayed longest + 0.1291 x yards per game (median factor 0.84); median factor 0.84 on K8
rec_longest,l_85_K16,9.631,10896,9.614,7966,blend 6.9084 + 0.3362 x decayed longest + 0.1291 x yards per game (median factor 0.84); median factor 0.84 on K8
rec_longest,l_blend,9.598,10896,9.573,7966,blend 6.9084 + 0.3362 x decayed longest + 0.1291 x yards per game (median factor 0.84); median factor 0.84 on K8
rec_longest,l_85_K_med,9.296,10896,9.326,7966,blend 6.9084 + 0.3362 x decayed longest + 0.1291 x yards per game (median factor 0.84); median factor 0.84 on K8
rec_longest,l_blend_med,9.256,10896,9.274,7966,blend 6.9084 + 0.3362 x decayed longest + 0.1291 x yards per game (median factor 0.84); median factor 0.84 on K8
rush_longest,l_avg,8.479,4268,8.253,3287,blend 6.9330 + 0.1545 x decayed longest + 0.1153 x yards per game (median factor 0.78); median factor 0.78 on K16
rush_longest,l_85,8.465,4268,8.18,3287,blend 6.9330 + 0.1545 x decayed longest + 0.1153 x yards per game (median factor 0.78); median factor 0.78 on K16
rush_longest,l_90,8.422,4268,8.172,3287,blend 6.9330 + 0.1545 x decayed longest + 0.1153 x yards per game (median factor 0.78); median factor 0.78 on K16
rush_longest,l_85_K2,8.366,4268,8.081,3287,blend 6.9330 + 0.1545 x decayed longest + 0.1153 x yards per game (median factor 0.78); median factor 0.78 on K16
rush_longest,l_85_K4,8.309,4268,8.033,3287,blend 6.9330 + 0.1545 x decayed longest + 0.1153 x yards per game (median factor 0.78); median factor 0.78 on K16
rush_longest,l_85_K8,8.249,4268,7.989,3287,blend 6.9330 + 0.1545 x decayed longest + 0.1153 x yards per game (median factor 0.78); median factor 0.78 on K16
rush_longest,l_85_K16,8.211,4268,7.976,3287,blend 6.9330 + 0.1545 x decayed longest + 0.1153 x yards per game (median factor 0.78); median factor 0.78 on K16
rush_longest,l_blend,8.166,4268,7.95,3287,blend 6.9330 + 0.1545 x decayed longest + 0.1153 x yards per game (median factor 0.78); median factor 0.78 on K16
rush_longest,l_85_K_med,7.646,4268,7.362,3287,blend 6.9330 + 0.1545 x decayed longest + 0.1153 x yards per game (median factor 0.78); median factor 0.78 on K16
rush_longest,l_blend_med,7.575,4268,7.309,3287,blend 6.9330 + 0.1545 x decayed longest + 0.1153 x yards per game (median factor 0.78); median factor 0.78 on K16
pass_longest,l_avg,12.218,2272,12.237,1829,blend 16.3327 + 0.2340 x decayed longest + 0.0547 x yards per game (median factor 0.92); median factor 0.92 on K16
pass_longest,l_85,12.264,2272,12.245,1829,blend 16.3327 + 0.2340 x decayed longest + 0.0547 x yards per game (median factor 0.92); median factor 0.92 on K16
pass_longest,l_90,12.161,2272,12.167,1829,blend 16.3327 + 0.2340 x decayed longest + 0.0547 x yards per game (median factor 0.92); median factor 0.92 on K16
pass_longest,l_85_K2,12.16,2272,12.105,1829,blend 16.3327 + 0.2340 x decayed longest + 0.0547 x yards per game (median factor 0.92); median factor 0.92 on K16
pass_longest,l_85_K4,12.105,2272,12.054,1829,blend 16.3327 + 0.2340 x decayed longest + 0.0547 x yards per game (median factor 0.92); median factor 0.92 on K16
pass_longest,l_85_K8,12.049,2272,12.022,1829,blend 16.3327 + 0.2340 x decayed longest + 0.0547 x yards per game (median factor 0.92); median factor 0.92 on K16
pass_longest,l_85_K16,12.018,2272,12.024,1829,blend 16.3327 + 0.2340 x decayed longest + 0.0547 x yards per game (median factor 0.92); median factor 0.92 on K16
pass_longest,l_blend,11.938,2272,11.952,1829,blend 16.3327 + 0.2340 x decayed longest + 0.0547 x yards per game (median factor 0.92); median factor 0.92 on K16
pass_longest,l_85_K_med,11.884,2272,11.75,1829,blend 16.3327 + 0.2340 x decayed longest + 0.0547 x yards per game (median factor 0.92); median factor 0.92 on K16
pass_longest,l_blend_med,11.803,2272,11.686,1829,blend 16.3327 + 0.2340 x decayed longest + 0.0547 x yards per game (median factor 0.92); median factor 0.92 on K16
