stat,window,line_from,line_to,n,mae,bias,mean_line,mean_actual,over_rate
rec_yards,2019-22,0,20.0,6298,12.59,-2.44,14.0,16.4,0.43
rec_yards,2019-22,20,40.0,6129,20.02,-2.21,28.4,30.6,0.437
rec_yards,2019-22,40,60.0,2634,28.78,-6.9,48.9,55.8,0.511
rec_yards,2019-22,60,80.0,908,32.49,-6.06,67.7,73.7,0.513
rec_yards,2019-22,80,,120,39.7,-7.71,86.0,93.7,0.533
rec_yards,2023-25,0,20.0,5337,12.05,-1.5,13.8,15.3,0.413
rec_yards,2023-25,20,40.0,4443,19.77,-2.62,28.3,30.9,0.447
rec_yards,2023-25,40,60.0,1931,27.5,-6.42,48.9,55.3,0.502
rec_yards,2023-25,60,80.0,583,32.97,-6.66,67.6,74.2,0.515
rec_yards,2023-25,80,,105,37.28,-4.57,85.0,89.6,0.505
rec_yards,all,0,20.0,14482,12.49,-2.18,14.0,16.1,0.426
rec_yards,all,20,40.0,13521,20.14,-2.74,28.5,31.2,0.443
rec_yards,all,40,60.0,5814,28.16,-6.26,48.7,54.9,0.502
rec_yards,all,60,80.0,1909,32.28,-6.77,67.6,74.4,0.52
rec_yards,all,80,,287,38.93,-5.82,85.2,91.1,0.505
rec_catches,2019-22,0,20.0,16089,1.44,-0.34,2.5,2.9,0.511
rec_catches,2023-25,0,20.0,12399,1.36,-0.33,2.4,2.8,0.517
rec_catches,all,0,20.0,36013,1.41,-0.34,2.5,2.8,0.515
rush_yards,2019-22,0,20.0,3442,10.45,-2.94,11.0,13.9,0.453
rush_yards,2019-22,20,40.0,2123,20.97,-3.82,28.9,32.8,0.461
rush_yards,2019-22,40,60.0,1388,27.55,-7.88,49.3,57.2,0.527
rush_yards,2019-22,60,80.0,511,30.38,-5.89,67.3,73.2,0.503
rush_yards,2019-22,80,,90,38.58,-10.76,89.6,100.3,0.544
rush_yards,2023-25,0,20.0,2754,10.43,-2.86,11.2,14.0,0.458
rush_yards,2023-25,20,40.0,1650,18.97,-2.81,28.5,31.3,0.454
rush_yards,2023-25,40,60.0,1129,26.62,-6.89,50.0,56.9,0.525
rush_yards,2023-25,60,80.0,411,29.51,-6.29,66.9,73.2,0.516
rush_yards,2023-25,80,,68,38.49,-3.76,87.2,91.0,0.426
rush_yards,all,0,20.0,7584,10.56,-3.05,11.1,14.2,0.459
rush_yards,all,20,40.0,4803,20.15,-3.37,28.6,31.9,0.457
rush_yards,all,40,60.0,3212,27.14,-7.05,49.4,56.5,0.518
rush_yards,all,60,80.0,1135,30.26,-5.57,67.2,72.8,0.507
rush_yards,all,80,,203,37.34,-5.83,88.1,93.9,0.488
pass_yards,2019-22,150,200.0,417,58.85,17.08,185.5,168.4,0.365
pass_yards,2019-22,200,250.0,1361,56.32,-4.35,225.8,230.1,0.506
pass_yards,2019-22,250,300.0,361,61.1,-10.02,263.0,273.0,0.546
pass_yards,2023-25,0,150.0,65,63.13,49.79,136.1,86.3,0.185
pass_yards,2023-25,150,200.0,409,59.31,13.35,183.0,169.6,0.438
pass_yards,2023-25,200,250.0,1124,56.71,0.97,223.3,222.3,0.475
pass_yards,2023-25,250,300.0,114,52.65,0.66,260.2,259.5,0.447
pass_yards,all,0,150.0,119,60.55,50.65,137.3,86.6,0.168
pass_yards,all,150,200.0,1009,59.15,13.96,184.5,170.6,0.411
pass_yards,all,200,250.0,3166,57.84,-2.55,224.6,227.2,0.495
pass_yards,all,250,300.0,640,59.05,-8.5,263.1,271.6,0.519
