stat,window,position,n,mae,bias,mean_line,mean_actual,over_rate,ll,anytime_pred,anytime_actual
rec_yards,2019-22,RB,4229,12.84,-0.21,17.8,18.0,0.405,,,
rec_yards,2019-22,TE,3916,16.48,-4.48,23.0,27.5,0.493,,,
rec_yards,2019-22,WR,7890,24.17,-7.94,34.1,42.0,0.511,,,
rec_yards,2023-25,RB,3087,12.01,-0.5,16.3,16.8,0.41,,,
rec_yards,2023-25,TE,3105,15.98,-4.68,22.4,27.1,0.496,,,
rec_yards,2023-25,WR,6162,22.56,-7.14,32.1,39.2,0.504,,,
rec_yards,all,RB,9322,12.91,-0.57,17.7,18.3,0.408,,,
rec_yards,all,TE,8878,16.51,-4.62,22.8,27.4,0.494,,,
rec_yards,all,WR,17696,23.54,-7.76,33.4,41.1,0.512,,,
rec_catches,2019-22,RB,4229,1.28,-0.3,2.1,2.4,0.507,,,
rec_catches,2019-22,TE,3916,1.28,-0.3,2.3,2.6,0.52,,,
rec_catches,2019-22,WR,7890,1.6,-0.28,3.0,3.3,0.5,,,
rec_catches,2023-25,RB,3087,1.16,-0.34,1.9,2.3,0.529,,,
rec_catches,2023-25,TE,3105,1.3,-0.36,2.3,2.7,0.537,,,
rec_catches,2023-25,WR,6162,1.48,-0.23,2.9,3.1,0.493,,,
rec_catches,all,RB,9322,1.26,-0.33,2.1,2.4,0.522,,,
rec_catches,all,TE,8878,1.29,-0.31,2.3,2.6,0.522,,,
rec_catches,all,WR,17696,1.55,-0.28,3.0,3.2,0.5,,,
rec_td,2019-22,RB,4229,0.202,0.045,0.139,0.094,,0.3189,0.128,0.087
rec_td,2019-22,TE,3916,0.311,-0.026,0.185,0.211,,0.5403,0.164,0.185
rec_td,2019-22,WR,7890,0.368,-0.002,0.251,0.253,,0.5948,0.215,0.217
rec_td,2023-25,RB,3087,0.19,0.038,0.127,0.089,,0.3026,0.118,0.085
rec_td,2023-25,TE,3105,0.288,-0.016,0.174,0.19,,0.4967,0.155,0.171
rec_td,2023-25,WR,6162,0.351,-0.005,0.238,0.243,,0.573,0.205,0.213
rec_td,all,RB,9322,0.201,0.042,0.137,0.095,,0.318,0.126,0.089
rec_td,all,TE,8878,0.301,-0.022,0.18,0.203,,0.5219,0.16,0.18
rec_td,all,WR,17696,0.362,-0.005,0.246,0.25,,0.5888,0.211,0.217
rush_yards,2019-22,QB,2127,12.25,-2.53,15.3,17.8,0.434,,,
rush_yards,2019-22,RB,4964,21.56,-5.26,34.6,39.8,0.483,,,
rush_yards,2019-22,WR,667,8.06,-2.13,7.0,9.1,0.475,,,
rush_yards,2023-25,QB,1746,12.39,-2.05,16.0,18.0,0.44,,,
rush_yards,2023-25,RB,3819,20.88,-4.72,35.4,40.1,0.482,,,
rush_yards,2023-25,WR,600,6.61,-1.25,6.3,7.5,0.485,,,
rush_yards,all,QB,4803,12.0,-2.33,15.1,17.5,0.441,,,
rush_yards,all,RB,11135,21.42,-4.89,34.9,39.8,0.479,,,
rush_yards,all,WR,1482,7.45,-1.6,7.0,8.6,0.483,,,
rush_td,2019-22,QB,2127,0.277,-0.055,0.144,0.198,,0.5198,0.13,0.173
rush_td,2019-22,RB,4964,0.401,-0.004,0.293,0.298,,0.6457,0.242,0.242
rush_td,2019-22,WR,667,0.118,-0.021,0.054,0.075,,0.2641,0.052,0.072
rush_td,2023-25,QB,1746,0.268,-0.041,0.147,0.188,,0.4821,0.133,0.155
rush_td,2023-25,RB,3819,0.395,-0.005,0.289,0.294,,0.6337,0.239,0.239
rush_td,2023-25,WR,600,0.098,-0.006,0.049,0.055,,0.2116,0.048,0.055
rush_td,all,QB,4803,0.262,-0.044,0.14,0.183,,0.4839,0.127,0.157
rush_td,all,RB,11135,0.397,-0.003,0.289,0.292,,0.6379,0.239,0.238
rush_td,all,WR,1482,0.107,-0.007,0.055,0.062,,0.2272,0.052,0.061
