stat,season,n,mae,bias,mean_line,mean_actual,over_rate,raw_mae,raw_bias,raw_over_rate,ll,anytime_pred,anytime_actual,raw_ll
rec_yards,2017,3757,19.55,-4.88,27.2,32.1,0.474,20.4,0.42,0.421,,,,
rec_yards,2018,3761,19.9,-6.23,27.8,34.0,0.496,20.78,-0.8,0.425,,,,
rec_yards,2019,3786,19.8,-5.64,27.5,33.1,0.488,20.81,0.2,0.413,,,,
rec_yards,2020,3974,19.53,-5.25,27.3,32.6,0.482,20.36,0.91,0.403,,,,
rec_yards,2021,4172,19.26,-4.79,27.2,32.0,0.477,20.37,1.18,0.4,,,,
rec_yards,2022,4144,18.57,-4.69,26.0,30.7,0.472,19.38,1.11,0.397,,,,
rec_yards,2023,4183,18.3,-5.48,25.3,30.8,0.484,19.45,0.96,0.392,,,,
rec_yards,2024,4087,18.5,-5.3,25.9,31.2,0.486,19.38,0.03,0.422,,,,
rec_yards,2025,4113,17.95,-3.93,25.8,29.8,0.467,19.08,1.61,0.396,,,,
rec_yards,2026,442,19.44,-4.25,26.7,30.9,0.464,20.35,1.46,0.396,,,,
rec_yards,2019-22,16076,19.28,-5.08,27.0,32.1,0.48,20.21,0.87,0.403,,,,
rec_yards,2023-25,12383,18.25,-4.91,25.7,30.6,0.479,19.3,0.87,0.403,,,,
rec_yards,all,35977,19.02,-5.12,26.6,31.8,0.481,19.98,0.65,0.407,,,,
rec_catches,2017,3757,1.4,-0.28,2.5,2.8,0.508,1.45,0.02,0.444,,,,
rec_catches,2018,3761,1.47,-0.4,2.6,3.0,0.526,1.51,-0.12,0.458,,,,
rec_catches,2019,3786,1.44,-0.31,2.6,2.9,0.513,1.49,-0.01,0.445,,,,
rec_catches,2020,3974,1.45,-0.32,2.6,2.9,0.518,1.51,-0.01,0.445,,,,
rec_catches,2021,4172,1.45,-0.27,2.6,2.9,0.504,1.5,0.05,0.438,,,,
rec_catches,2022,4144,1.4,-0.27,2.5,2.8,0.494,1.46,0.08,0.413,,,,
rec_catches,2023,4183,1.36,-0.32,2.5,2.8,0.526,1.42,0.09,0.424,,,,
rec_catches,2024,4087,1.39,-0.35,2.5,2.8,0.514,1.44,-0.03,0.438,,,,
rec_catches,2025,4113,1.32,-0.21,2.5,2.7,0.498,1.39,0.15,0.412,,,,
rec_catches,2026,442,1.41,-0.25,2.5,2.8,0.518,1.46,0.11,0.423,,,,
rec_catches,2019-22,16076,1.43,-0.29,2.6,2.9,0.507,1.49,0.03,0.435,,,,
rec_catches,2023-25,12383,1.35,-0.29,2.5,2.8,0.513,1.41,0.07,0.425,,,,
rec_catches,all,35977,1.41,-0.3,2.6,2.9,0.511,1.46,0.03,0.435,,,,
rec_td,2017,3757,0.301,0.01,0.201,0.191,,0.302,0.012,,0.4912,0.177,0.171,0.5728
rec_td,2018,3761,0.321,-0.009,0.209,0.218,,0.318,-0.006,,0.5375,0.182,0.193,0.6158
rec_td,2019,3786,0.317,0.003,0.206,0.203,,0.317,0.006,,0.5182,0.181,0.175,0.5881
rec_td,2020,3974,0.319,-0.01,0.207,0.217,,0.317,-0.001,,0.5323,0.181,0.192,0.5915
rec_td,2021,4172,0.313,0.005,0.208,0.203,,0.308,0.008,,0.5111,0.182,0.177,0.5676
rec_td,2022,4144,0.293,0.016,0.197,0.181,,0.288,0.014,,0.4781,0.173,0.158,0.5505
rec_td,2023,4183,0.281,0.005,0.185,0.18,,0.28,0.009,,0.4656,0.163,0.162,0.5203
