variant,team_mae_2019-22,margin_mae_2019-22,total_mae_2019-22,ats5_2019-22,ats5_pct_2019-22,ats4_2019-22,n_2019-22,team_mae_2023-25,margin_mae_2023-25,total_mae_2023-25,ats5_2023-25,ats5_pct_2023-25,ats4_2023-25,n_2023-25
current,7.4088,10.0984,10.6244,48-40,0.545,84-77,1055,7.3157,10.0633,10.2957,29-18,0.617,60-39,816
decay 0.88,7.4126,10.1169,10.6208,49-42,0.538,99-85,1055,7.322,10.0809,10.3048,30-22,0.577,67-48,816
decay 0.92,7.4066,10.0816,10.6284,44-32,0.579,83-71,1055,7.3096,10.0501,10.2855,19-17,0.528,58-38,816
prior 0.35,7.4163,10.1208,10.6276,50-42,0.543,93-87,1055,7.3226,10.0826,10.303,30-22,0.577,61-45,816
prior 0.65,7.4037,10.082,10.6215,46-38,0.548,82-71,1055,7.3104,10.0481,10.2901,25-17,0.595,59-37,816
alpha 10.0,7.4086,10.0957,10.6271,46-40,0.535,84-73,1055,7.3123,10.0644,10.288,27-18,0.6,61-36,816
alpha 24.0,7.409,10.1008,10.6222,50-39,0.562,87-76,1055,7.3181,10.0626,10.3011,31-18,0.633,61-41,816
qb_k 90.0,7.4092,10.1007,10.6226,50-39,0.562,86-76,1055,7.3143,10.0625,10.293,27-18,0.6,63-42,816
qb_k 250.0,7.4099,10.0985,10.6276,47-37,0.56,90-79,1055,7.3183,10.0642,10.2988,30-18,0.625,59-35,816
qb_decay 0.975,7.4068,10.0998,10.6191,48-38,0.558,83-73,1055,7.3112,10.0618,10.2853,28-17,0.622,59-38,816
qb_decay 0.992,7.4107,10.0989,10.628,47-36,0.566,87-77,1055,7.3194,10.0651,10.3032,29-18,0.617,59-43,816
