added,team_mae_2019-22,margin_mae_2019-22,total_mae_2019-22,ats5_2019-22,ats5_pct_2019-22,ats4_2019-22,n_2019-22,team_mae_2023-25,margin_mae_2023-25,total_mae_2023-25,ats5_2023-25,ats5_pct_2023-25,ats4_2023-25,n_2023-25,delta_2019-22,delta_2023-25,verdict
(none),7.3587,10.0329,10.6197,41-33,0.554,92-63,1055,7.2863,9.949,10.2606,22-17,0.564,49-27,816,0.0,0.0,base
coverage fit (offense vs the opponent's man/zone mix),7.3587,10.0435,10.6197,43-35,0.551,93-65,1055,7.2869,9.9454,10.2606,23-16,0.59,54-31,816,0.0,0.0006,no
pressure fit,7.3632,10.0361,10.6197,41-33,0.554,91-64,1055,7.2873,9.9459,10.2606,22-16,0.579,48-26,816,0.0045,0.001,no
blitz fit,7.36,10.0322,10.6197,40-34,0.541,92-63,1055,7.2844,9.948,10.2606,21-17,0.553,49-27,816,0.0013,-0.0019,helps one
all three fits,7.3618,10.0491,10.6197,41-35,0.539,96-66,1055,7.2863,9.9543,10.2606,26-16,0.619,55-32,816,0.0031,0.0,no
pass rate over expected,7.3631,10.0344,10.6197,40-33,0.548,95-61,1055,7.2869,9.9493,10.2606,22-16,0.579,51-28,816,0.0044,0.0006,no
motion rate,7.3718,10.081,10.6197,41-38,0.519,93-68,1055,7.2968,9.9446,10.2606,21-21,0.5,53-41,816,0.0131,0.0105,no
play-action rate,7.36,10.0367,10.6197,40-34,0.541,90-64,1055,7.2886,9.941,10.2606,22-17,0.564,51-29,816,0.0013,0.0023,no
opponent man rate,7.3617,10.036,10.6197,40-33,0.548,88-61,1055,7.2876,9.9507,10.2606,22-17,0.564,50-27,816,0.003,0.0013,no
opponent pressure rate,7.3614,10.0372,10.6197,47-33,0.588,89-69,1055,7.2782,9.9524,10.2606,21-16,0.568,49-30,816,0.0027,-0.0081,helps one
opponent blitz rate,7.3606,10.0267,10.6197,45-34,0.57,91-65,1055,7.2864,9.9504,10.2606,22-17,0.564,51-28,816,0.0019,0.0001,no
all tendencies,7.384,10.0877,10.6197,45-36,0.556,98-72,1055,7.2971,9.943,10.2606,23-19,0.548,53-43,816,0.0253,0.0108,no
