added,team_mae_2019-22,margin_mae_2019-22,total_mae_2019-22,ats5_2019-22,ats5_pct_2019-22,ats4_2019-22,n_2019-22,team_mae_2023-25,margin_mae_2023-25,total_mae_2023-25,ats5_2023-25,ats5_pct_2023-25,ats4_2023-25,n_2023-25,delta_2019-22,delta_total_2019-22,delta_2023-25,delta_total_2023-25,verdict
(none),7.3587,10.0329,10.6197,41-33,0.554,92-63,1055,7.2863,9.949,10.2606,22-17,0.564,49-27,816,0.0,0.0,0.0,0.0,base
QB pressure fit (his pressure and clean EPA x the opponent's pressure rate),7.3606,10.0384,10.6197,42-34,0.553,90-61,1055,7.2896,9.9411,10.2606,21-16,0.568,52-29,816,0.0019,0.0,0.0033,0.0,no
QB blitz fit,7.3606,10.0364,10.6197,41-33,0.554,90-61,1055,7.2851,9.9465,10.2606,23-18,0.561,49-26,816,0.0019,0.0,-0.0012,0.0,helps one
QB pressure gap (pressure EPA minus clean),7.3627,10.0243,10.6197,40-36,0.526,89-63,1055,7.2935,9.9347,10.2606,21-16,0.568,49-25,816,0.004,0.0,0.0072,0.0,no
QB pressure and blitz fits,7.3625,10.0408,10.6197,41-33,0.554,90-59,1055,7.2884,9.9391,10.2606,22-16,0.579,52-28,816,0.0038,0.0,0.0021,0.0,no
totals: no-huddle sum,7.3587,10.0329,10.6189,41-33,0.554,92-63,1055,7.2863,9.949,10.2683,22-17,0.564,49-27,816,0.0,-0.0008,0.0,0.0077,no
totals: pass rate over expected sum,7.3587,10.0329,10.6201,41-33,0.554,92-63,1055,7.2863,9.949,10.2605,22-17,0.564,49-27,816,0.0,0.0004,0.0,-0.0001,no
totals: motion sum,7.3587,10.0329,10.6499,41-33,0.554,92-63,1055,7.2863,9.949,10.2691,22-17,0.564,49-27,816,0.0,0.0302,0.0,0.0085,no
totals: defenses' pressure rate sum,7.3587,10.0329,10.6267,41-33,0.554,92-63,1055,7.2863,9.949,10.2997,22-17,0.564,49-27,816,0.0,0.007,0.0,0.0391,no
totals: defenses' man rate sum,7.3587,10.0329,10.6438,41-33,0.554,92-63,1055,7.2863,9.949,10.2659,22-17,0.564,49-27,816,0.0,0.0241,0.0,0.0053,no
totals: all five,7.3587,10.0329,10.7249,41-33,0.554,92-63,1055,7.2863,9.949,10.3409,22-17,0.564,49-27,816,0.0,0.1052,0.0,0.0803,no
