variant,shrink,sigma_mult,season,window,asof_week,games_left,wins_mae,pace_mae,div_brier,div_brier_leader,div_brier_flat,div_ll,div_ll_flat,div_hit,po_brier,po_brier_flat,sb_ll,sb_ll_flat,conf_ll,conf_ll_flat,champ_rank,verdict
shrink0_sig1,0.0,1.0,2019,2019-22,1,256.0,2.1498,2.5625,0.1474,0.1875,0.1875,1.0692,1.3863,0.625,0.1927,0.2344,2.0583,3.4657,2.7846,2.7726,3.0,base
shrink0_sig1.15,0.0,1.15,2019,2019-22,1,256.0,2.1608,2.5625,0.1482,0.1875,0.1875,1.0802,1.3863,0.5,0.1912,0.2344,2.1745,3.4657,2.7072,2.7726,3.0,not adopted
shrink0.1_sig1,0.1,1.0,2019,2019-22,1,256.0,2.1568,2.5625,0.1482,0.1875,0.1875,1.0788,1.3863,0.625,0.1916,0.2344,2.1599,3.4657,2.7065,2.7726,3.0,not adopted
shrink0.1_sig1.15,0.1,1.15,2019,2019-22,1,256.0,2.1722,2.5625,0.1486,0.1875,0.1875,1.0848,1.3863,0.625,0.1911,0.2344,2.2412,3.4657,2.655,2.7726,3.0,not adopted
shrink0.2_sig1,0.2,1.0,2019,2019-22,1,256.0,2.17,2.5625,0.1486,0.1875,0.1875,1.0846,1.3863,0.625,0.1908,0.2344,2.238,3.4657,2.639,2.7726,3.0,not adopted
shrink0.2_sig1.15,0.2,1.15,2019,2019-22,1,256.0,2.1819,2.5625,0.1506,0.1875,0.1875,1.1029,1.3863,0.625,0.1919,0.2344,2.3469,3.4657,2.6957,2.7726,3.0,not adopted
shrink0.3_sig1,0.3,1.0,2019,2019-22,1,256.0,2.1813,2.5625,0.1506,0.1875,0.1875,1.1025,1.3863,0.625,0.1918,0.2344,2.3469,3.4657,2.7133,2.7726,3.0,not adopted
shrink0.3_sig1.15,0.3,1.15,2019,2019-22,1,256.0,2.2056,2.5625,0.1525,0.1875,0.1875,1.1185,1.3863,0.625,0.1927,0.2344,2.4191,3.4657,2.7034,2.7726,3.0,not adopted
shrink0_sig1,0.0,1.0,2019,2019-22,5,193.0,1.9952,2.0625,0.1202,0.138,0.1875,0.8194,1.3863,0.75,0.1555,0.2344,1.5686,3.4657,1.6266,2.7726,2.0,base
shrink0_sig1.15,0.0,1.15,2019,2019-22,5,193.0,1.9715,2.0625,0.12,0.138,0.1875,0.8236,1.3863,0.75,0.1556,0.2344,1.6348,3.4657,1.6796,2.7726,2.0,not adopted
shrink0.1_sig1,0.1,1.0,2019,2019-22,5,193.0,1.9771,2.0625,0.1199,0.138,0.1875,0.8211,1.3863,0.75,0.1557,0.2344,1.6094,3.4657,1.6402,2.7726,2.0,not adopted
shrink0.1_sig1.15,0.1,1.15,2019,2019-22,5,193.0,1.9553,2.0625,0.1196,0.138,0.1875,0.8251,1.3863,0.875,0.1563,0.2344,1.6892,3.4657,1.6864,2.7726,2.0,not adopted
shrink0.2_sig1,0.2,1.0,2019,2019-22,5,193.0,1.9588,2.0625,0.1195,0.138,0.1875,0.824,1.3863,0.875,0.1559,0.2344,1.6838,3.4657,1.6918,2.7726,2.0,not adopted
shrink0.2_sig1.15,0.2,1.15,2019,2019-22,5,193.0,1.9377,2.0625,0.119,0.138,0.1875,0.8257,1.3863,0.875,0.1557,0.2344,1.7222,3.4657,1.6882,2.7726,2.0,not adopted
shrink0.3_sig1,0.3,1.0,2019,2019-22,5,193.0,1.9386,2.0625,0.1189,0.138,0.1875,0.8249,1.3863,0.875,0.1558,0.2344,1.7148,3.4657,1.6825,2.7726,2.0,not adopted
shrink0.3_sig1.15,0.3,1.15,2019,2019-22,5,193.0,1.9194,2.0625,0.1188,0.138,0.1875,0.8295,1.3863,0.75,0.1556,0.2344,1.7878,3.4657,1.7116,2.7726,2.0,not adopted
shrink0_sig1,0.0,1.0,2019,2019-22,9,135.0,1.4151,1.5,0.0615,0.0312,0.1875,0.4211,1.3863,0.75,0.096,0.2344,3.9633,3.4657,2.1346,2.7726,11.0,base
shrink0_sig1.15,0.0,1.15,2019,2019-22,9,135.0,1.4204,1.5,0.0634,0.0312,0.1875,0.4366,1.3863,0.75,0.0962,0.2344,3.912,3.4657,2.1048,2.7726,11.0,not adopted
shrink0.1_sig1,0.1,1.0,2019,2019-22,9,135.0,1.4192,1.5,0.0628,0.0312,0.1875,0.4323,1.3863,0.75,0.096,0.2344,3.8955,3.4657,2.0963,2.7726,11.0,not adopted
