variant,kind,window,avail,blend,n,mae,within10,within20,flags,hit
base,pass,2019-22,0.525,0.75,450,582.4,0.353,0.54,12,0.5
base,pass,2023-25,0.525,0.75,333,626.2,0.3,0.465,12,0.917
base,rec,2019-22,0.65,0.5,2966,125.2,0.253,0.451,60,0.65
base,rec,2023-25,0.65,0.5,2088,124.0,0.236,0.446,33,0.697
base,rush,2019-22,0.625,0.5,1089,155.8,0.236,0.435,62,0.774
base,rush,2023-25,0.625,0.5,824,142.6,0.272,0.49,47,0.894
rate,pass,2019-22,0.525,0.75,450,582.2,0.353,0.54,12,0.5
rate,pass,2023-25,0.525,0.75,333,626.3,0.297,0.465,12,0.917
rate,rec,2019-22,0.65,0.5,2966,125.2,0.253,0.451,60,0.65
rate,rec,2023-25,0.65,0.5,2088,124.1,0.237,0.448,34,0.706
rate,rush,2019-22,0.625,0.5,1089,155.8,0.236,0.433,62,0.774
rate,rush,2023-25,0.625,0.5,824,142.7,0.273,0.492,47,0.894
rate_pace,pass,2019-22,0.525,0.75,450,582.3,0.351,0.549,12,0.5
rate_pace,pass,2023-25,0.525,0.75,333,625.7,0.297,0.462,12,0.917
rate_pace,rec,2019-22,0.65,0.5,2966,125.2,0.253,0.451,60,0.65
rate_pace,rec,2023-25,0.65,0.5,2088,124.1,0.237,0.448,34,0.706
rate_pace,rush,2019-22,0.625,0.5,1089,155.8,0.236,0.433,62,0.774
rate_pace,rush,2023-25,0.625,0.5,824,142.7,0.273,0.492,47,0.894
full,pass,2019-22,0.5,0.75,450,582.6,0.342,0.544,11,0.545
full,pass,2023-25,0.5,0.75,333,624.0,0.291,0.456,12,0.917
full,rec,2019-22,0.625,0.5,2966,125.1,0.255,0.451,59,0.661
full,rec,2023-25,0.625,0.5,2088,124.1,0.236,0.445,33,0.697
full,rush,2019-22,0.625,0.5,1089,155.9,0.233,0.434,61,0.77
full,rush,2023-25,0.625,0.5,824,142.9,0.273,0.492,47,0.894
