season,week,team,kind,variant,factor_sum
2016,5,SF,rec,base,12.0
2016,5,SF,rec,rate,12.015625000000002
2016,5,SF,rec,rate_pace,12.015625000000002
2016,5,SF,rec,full,12.093356800077276
2016,5,SF,rush,base,12.0
2016,5,SF,rush,rate,11.88533834586466
2016,5,SF,rush,rate_pace,11.88533834586466
2016,5,SF,rush,full,11.703565698663779
2016,5,SF,pass,base,12.0
2016,5,SF,pass,rate,12.044927536231883
2016,5,SF,pass,rate_pace,12.679428575824515
2016,5,SF,pass,full,12.759753330980777
2016,5,ARI,rec,base,12.0
2016,5,ARI,rec,rate,12.065548780487807
2016,5,ARI,rec,rate_pace,12.065548780487807
2016,5,ARI,rec,full,12.122052606041487
2016,5,ARI,rush,base,12.0
2016,5,ARI,rush,rate,11.927944862155389
2016,5,ARI,rush,rate_pace,11.927944862155389
2016,5,ARI,rush,full,11.792792785009006
2016,5,ARI,pass,base,12.0
2016,5,ARI,pass,rate,12.178985507246377
2016,5,ARI,pass,rate_pace,11.804492187070956
2016,5,ARI,pass,full,11.86435760261332
2016,5,BAL,rec,base,12.0
2016,5,BAL,rec,rate,12.107469512195122
2016,5,BAL,rec,rate_pace,12.107469512195122
2016,5,BAL,rec,full,12.173312172328922
2016,5,BAL,rush,base,12.0
2016,5,BAL,rush,rate,12.005012531328322
2016,5,BAL,rush,rate_pace,12.005012531328322
2016,5,BAL,rush,full,11.856359310137275
2016,5,BAL,pass,base,12.0
2016,5,BAL,pass,rate,12.180434782608696
2016,5,BAL,pass,rate_pace,11.863507201614404
2016,5,BAL,pass,full,11.930352019856217
2016,5,WAS,rec,base,12.0
2016,5,WAS,rec,rate,11.903201219512196
2016,5,WAS,rec,rate_pace,11.903201219512196
2016,5,WAS,rec,full,12.210745387839808
2016,5,WAS,rush,base,12.0
2016,5,WAS,rush,rate,11.855889724310776
2016,5,WAS,rush,rate_pace,11.855889724310776
2016,5,WAS,rush,full,11.224706801586516
2016,5,WAS,pass,base,12.0
2016,5,WAS,pass,rate,11.863768115942028
2016,5,WAS,pass,rate_pace,11.747768212748458
2016,5,WAS,pass,full,12.056074216283504
2016,5,CLE,rec,base,12.0
2016,5,CLE,rec,rate,12.034679878048781
2016,5,CLE,rec,rate_pace,12.034679878048781
2016,5,CLE,rec,full,12.213343737859484
2016,5,CLE,rush,base,12.0
