odds,window,band_from,band_to,n,said,happened
division,2019-22,0.0,0.05,278,0.0092,0.018
division,2019-22,0.05,0.15,78,0.0974,0.0385
division,2019-22,0.15,0.3,82,0.2102,0.1951
division,2019-22,0.3,0.5,67,0.3824,0.4179
division,2019-22,0.5,0.7,50,0.6058,0.58
division,2019-22,0.7,0.85,30,0.7794,0.8667
division,2019-22,0.85,0.95,13,0.9017,0.9231
division,2019-22,0.95,1.0,42,0.9904,0.9762
division,2023-25,0.0,0.05,184,0.0086,0.038
division,2023-25,0.05,0.15,76,0.0959,0.1711
division,2023-25,0.15,0.3,66,0.2202,0.303
division,2023-25,0.3,0.5,60,0.4019,0.3333
division,2023-25,0.5,0.7,36,0.6034,0.4444
division,2023-25,0.7,0.85,21,0.7698,0.619
division,2023-25,0.85,0.95,20,0.8929,0.7
division,2023-25,0.95,1.0,17,0.9847,1.0
playoffs,2019-22,0.0,0.05,150,0.008,0.0133
playoffs,2019-22,0.05,0.15,63,0.0921,0.127
playoffs,2019-22,0.15,0.3,86,0.2203,0.2558
playoffs,2019-22,0.3,0.5,77,0.3938,0.3766
playoffs,2019-22,0.5,0.7,82,0.5954,0.561
playoffs,2019-22,0.7,0.85,54,0.7781,0.7593
playoffs,2019-22,0.85,0.95,44,0.9021,0.8864
playoffs,2019-22,0.95,1.0,84,0.9904,0.9881
playoffs,2023-25,0.0,0.05,114,0.01,0.0175
playoffs,2023-25,0.05,0.15,42,0.0917,0.2619
playoffs,2023-25,0.15,0.3,51,0.2176,0.2745
playoffs,2023-25,0.3,0.5,71,0.4021,0.3803
playoffs,2023-25,0.5,0.7,59,0.6078,0.6271
playoffs,2023-25,0.7,0.85,40,0.7779,0.65
playoffs,2023-25,0.85,0.95,37,0.8986,0.7838
playoffs,2023-25,0.95,1.0,66,0.987,0.9697
conference,2019-22,0.0,0.05,424,0.0107,0.0094
conference,2019-22,0.05,0.15,121,0.0871,0.1157
conference,2019-22,0.15,0.3,71,0.2189,0.1831
conference,2019-22,0.3,0.5,23,0.3795,0.3913
conference,2019-22,0.5,0.7,1,0.6457,0.0
conference,2023-25,0.0,0.05,312,0.0114,0.0192
conference,2023-25,0.05,0.15,96,0.0914,0.0417
conference,2023-25,0.15,0.3,56,0.2132,0.1964
conference,2023-25,0.3,0.5,16,0.3578,0.5625
super bowl,2019-22,0.0,0.05,520,0.0095,0.0096
super bowl,2019-22,0.05,0.15,92,0.0944,0.1087
super bowl,2019-22,0.15,0.3,24,0.2094,0.2083
super bowl,2019-22,0.3,0.5,4,0.343,0.0
super bowl,2023-25,0.0,0.05,376,0.009,0.016
super bowl,2023-25,0.05,0.15,80,0.0895,0.0625
super bowl,2023-25,0.15,0.3,24,0.1852,0.1667
