team,division,wins_now,losses_now,ties_now,games_played,games,wins,wins_sd,wins_p10,wins_p90,p_div,p_playoffs,p_bye,p_conf,p_sb
BUF,AFC East,2.0,0,0,2,17,11.3717,1.8271,9.0,14.0,0.5957,0.8979,0.2761,0.2399,0.1312
SF,NFC West,2.0,0,0,2,17,11.3286,1.8416,9.0,14.0,0.4189,0.8706,0.2459,0.2097,0.116
SEA,NFC West,2.0,0,0,2,17,11.3674,1.8217,9.0,14.0,0.4182,0.8734,0.2413,0.2095,0.1086
NE,AFC East,1.0,1,0,2,17,10.5039,1.8085,8.0,13.0,0.3876,0.8149,0.1494,0.1689,0.0936
KC,AFC West,2.0,0,0,2,17,10.4477,1.8369,8.0,13.0,0.5806,0.8006,0.1301,0.1373,0.0711
JAX,AFC South,1.0,1,0,2,17,10.2924,1.84,8.0,13.0,0.7215,0.8139,0.1044,0.1334,0.0677
LA,NFC West,1.0,1,0,2,17,10.042,1.8687,8.0,12.0,0.16,0.6787,0.0805,0.1213,0.0633
PHI,NFC East,2.0,0,0,2,17,10.7363,1.8734,8.0,13.0,0.7193,0.8201,0.1492,0.1253,0.0593
MIN,NFC North,2.0,0,0,2,17,10.7395,1.8388,8.0,13.0,0.558,0.8069,0.1473,0.1163,0.0545
BAL,AFC North,1.0,1,0,2,17,10.2469,1.8374,8.0,13.0,0.4014,0.7506,0.1119,0.1066,0.0532
CIN,AFC North,2.0,0,0,2,17,10.577,1.8866,8.0,13.0,0.4392,0.7866,0.1365,0.0844,0.0368
DET,NFC North,1.0,1,0,2,17,9.8033,1.8609,7.0,12.0,0.3043,0.6387,0.0651,0.0732,0.0333
DEN,AFC West,1.0,1,0,2,17,9.2649,1.9008,7.0,12.0,0.2609,0.5602,0.045,0.0619,0.0297
NO,NFC South,1.0,1,0,2,17,9.1032,1.9198,7.0,12.0,0.533,0.5893,0.0282,0.0471,0.0182
GB,NFC North,1.0,2,0,3,17,8.2819,1.8267,6.0,11.0,0.0905,0.2939,0.0073,0.0244,0.0101
DAL,NFC East,1.0,1,0,2,17,8.275,1.8715,6.0,11.0,0.1598,0.3274,0.013,0.0249,0.0099
HOU,AFC South,0.0,2,0,2,17,8.0982,1.861,6.0,10.0,0.2032,0.3393,0.0059,0.0197,0.0093
PIT,AFC North,1.0,1,0,2,17,8.3539,1.8891,6.0,11.0,0.1033,0.35,0.0153,0.0172,0.0074
LV,AFC West,2.0,0,0,2,17,8.306,1.84,6.0,11.0,0.1404,0.3501,0.0159,0.0152,0.0064
CAR,NFC South,1.0,1,0,2,17,7.5035,1.9006,5.0,10.0,0.2221,0.2748,0.0045,0.015,0.0046
CHI,NFC North,1.0,1,0,2,17,7.5079,1.8619,5.0,10.0,0.0472,0.1793,0.0052,0.0111,0.004
NYG,NFC East,1.0,1,0,2,17,7.5102,1.8889,5.0,10.0,0.0992,0.1994,0.0064,0.0098,0.0036
TB,NFC South,0.0,2,0,2,17,7.1073,1.8915,5.0,9.5,0.1677,0.2162,0.0039,0.0079,0.0022
CLE,AFC North,1.0,1,0,2,17,7.6743,1.9062,5.0,10.0,0.0561,0.2252,0.0061,0.0072,0.0019
IND,AFC South,0.0,2,0,2,17,6.7783,1.8572,4.0,9.0,0.0711,0.1326,0.0014,0.0037,0.001
LAC,AFC West,0.0,2,0,2,17,5.9284,1.8365,4.0,8.0,0.0181,0.0605,0.0008,0.0026,0.0009
ATL,NFC South,1.0,2,0,3,17,6.3801,1.82,4.0,9.0,0.0772,0.1089,0.001,0.002,0.0006
NYJ,AFC East,1.0,1,0,2,17,6.4692,1.7925,4.0,9.0,0.0144,0.0884,0.0011,0.0018,0.0006
WAS,NFC East,0.0,2,0,2,17,6.2881,1.8439,4.0,9.0,0.0217,0.0667,0.0005,0.0015,0.0006
ARI,NFC West,1.0,1,0,2,17,6.3605,1.7764,4.0,9.0,0.0029,0.0557,0.0007,0.001,0.0004
MIA,AFC East,0.0,2,0,2,17,5.0735,1.8004,3.0,7.0,0.0023,0.0212,0.0001,0.0002,0.0
TEN,AFC South,0.0,2,0,2,17,4.2789,1.7042,2.0,6.5,0.0042,0.008,0.0,0.0,0.0
