kind,window,variant,avail,n,mae,within10,within20
rec,2019-22,old,0.65,2966,125.2,0.253,0.451
rec,2019-22,new,0.8,2966,133.7,0.246,0.437
rec,2023-25,old,0.65,2088,124.0,0.236,0.446
rec,2023-25,new,0.8,2088,129.4,0.233,0.456
rush,2019-22,old,0.625,1089,155.8,0.236,0.435
rush,2019-22,new,0.75,1089,168.6,0.211,0.416
rush,2023-25,old,0.625,824,142.6,0.272,0.49
rush,2023-25,new,0.75,824,160.7,0.246,0.453
pass,2019-22,old,0.525,450,582.4,0.353,0.54
pass,2019-22,new,0.9,450,776.6,0.331,0.549
pass,2023-25,old,0.525,333,626.2,0.3,0.465
pass,2023-25,new,0.9,333,908.2,0.27,0.435
