season,window,asof_week,team,wins,actual_wins,p_div,won_div,p_playoffs,made_playoffs,p_conf,won_conf,p_sb,won_sb
2019,2019-22,1,ARI,4.574,5.5,0.0073,0,0.016,0,0.0007,0,0.0003,0
2019,2019-22,1,ATL,8.5187,7.0,0.212,0,0.407,0,0.0577,0,0.029,0
2019,2019-22,1,BAL,8.1695,14.0,0.1977,1,0.3727,1,0.0337,0,0.0143,0
2019,2019-22,1,BUF,7.2405,10.0,0.085,0,0.223,1,0.013,0,0.004,0
2019,2019-22,1,CAR,7.9158,5.0,0.132,0,0.29,0,0.034,0,0.0107,0
2019,2019-22,1,CHI,9.2048,8.0,0.4137,0,0.561,0,0.1217,0,0.0603,0
2019,2019-22,1,CIN,7.249,2.0,0.1003,0,0.211,0,0.0117,0,0.0037,0
2019,2019-22,1,CLE,7.691,6.0,0.1457,0,0.285,0,0.024,0,0.01,0
2019,2019-22,1,DAL,8.7173,8.0,0.392,0,0.5043,0,0.0717,0,0.0297,0
2019,2019-22,1,DEN,7.133,7.0,0.0707,0,0.1947,0,0.0127,0,0.0053,0
2019,2019-22,1,DET,7.927,3.5,0.177,0,0.312,0,0.0307,0,0.0123,0
2019,2019-22,1,GB,8.041,13.0,0.1987,1,0.3377,1,0.041,0,0.0167,0
2019,2019-22,1,HOU,8.5258,10.0,0.3677,1,0.4957,1,0.0613,0,0.0343,0
2019,2019-22,1,IND,7.7425,7.0,0.222,0,0.3187,0,0.0253,0,0.0113,0
2019,2019-22,1,JAX,6.9735,6.0,0.12,0,0.196,0,0.014,0,0.005,0
2019,2019-22,1,KC,10.2398,12.0,0.575,1,0.7857,1,0.2217,1,0.1303,1
2019,2019-22,1,LA,9.0037,9.0,0.394,0,0.5543,0,0.1043,0,0.0427,0
2019,2019-22,1,LAC,9.3392,5.0,0.3367,0,0.6253,0,0.101,0,0.0537,0
2019,2019-22,1,LV,5.5148,7.0,0.0177,0,0.051,0,0.0023,0,0.0003,0
2019,2019-22,1,MIA,6.6493,5.0,0.0527,0,0.135,0,0.006,0,0.0017,0
2019,2019-22,1,MIN,8.1727,10.0,0.2107,0,0.3643,1,0.0493,0,0.019,0
2019,2019-22,1,NE,10.8373,12.0,0.8397,1,0.9027,1,0.3083,0,0.18,0
2019,2019-22,1,NO,10.2083,13.0,0.5797,1,0.76,1,0.2363,0,0.1263,0
2019,2019-22,1,NYG,7.3355,4.0,0.1543,0,0.2297,0,0.0157,0,0.0067,0
2019,2019-22,1,NYJ,5.9868,7.0,0.0227,0,0.077,0,0.001,0,0.0003,0
2019,2019-22,1,PHI,8.6275,9.0,0.3753,1,0.4867,1,0.0703,0,0.0313,0
2019,2019-22,1,PIT,9.7473,8.0,0.5563,0,0.7117,0,0.1247,0,0.066,0
2019,2019-22,1,SEA,9.3163,11.0,0.4467,0,0.6053,1,0.1237,0,0.06,0
2019,2019-22,1,SF,7.6345,13.0,0.152,1,0.2703,1,0.021,1,0.007,0
2019,2019-22,1,TB,7.1577,7.0,0.0763,0,0.181,0,0.0147,0,0.006,0
2019,2019-22,1,TEN,8.138,9.0,0.2903,0,0.415,1,0.0393,0,0.0187,0
2019,2019-22,1,WAS,6.4677,3.0,0.0783,0,0.1203,0,0.0073,0,0.003,0
2019,2019-22,5,ARI,3.6983,5.5,0.0003,0,0.0003,0,0.0,0,0.0,0
2019,2019-22,5,ATL,6.8383,7.0,0.0837,0,0.115,0,0.009,0,0.0033,0
2019,2019-22,5,BAL,8.66,14.0,0.4027,1,0.5117,1,0.0363,0,0.0147,0
2019,2019-22,5,BUF,9.3077,10.0,0.035,0,0.589,1,0.0137,0,0.0063,0
2019,2019-22,5,CAR,8.011,5.0,0.1793,0,0.2457,0,0.0247,0,0.0063,0
2019,2019-22,5,CHI,9.3612,8.0,0.3197,0,0.5033,0,0.089,0,0.0347,0
2019,2019-22,5,CIN,5.2907,2.0,0.029,0,0.037,0,0.0003,0,0.0,0
2019,2019-22,5,CLE,8.368,6.0,0.3847,0,0.4823,0,0.0197,0,0.0087,0
2019,2019-22,5,DAL,10.1937,8.0,0.6787,0,0.7613,0,0.1733,0,0.0747,0
2019,2019-22,5,DEN,4.4125,7.0,0.0017,0,0.0093,0,0.0,0,0.0,0
2019,2019-22,5,DET,8.6618,3.5,0.2203,0,0.352,0,0.0417,0,0.014,0
2019,2019-22,5,GB,9.1502,13.0,0.3267,1,0.4643,1,0.0783,0,0.0293,0
2019,2019-22,5,HOU,8.3647,10.0,0.3127,1,0.4543,1,0.0397,0,0.0227,0
2019,2019-22,5,IND,8.0322,7.0,0.2267,0,0.3333,0,0.012,0,0.0053,0
2019,2019-22,5,JAX,7.6767,6.0,0.152,0,0.2653,0,0.0073,0,0.003,0
