window,staking,bets,record,win_pct,units_flat,roi_flat,final_bankroll,growth_pct,max_drawdown,drawdown_unit,longest_losing_streak,p_value_vs_break_even,seasons_losing_flat
2016-18,flat,76,36-40,0.4737,-7.27,-0.0957,,,14.36,units,6,0.83886,2 of 3
2016-18,kelly_q,76,36-40,0.4737,,,90.7,-9.3,13.49,% of peak,6,0.83886,2 of 3
2016-18,kelly_h,76,36-40,0.4737,,,82.0,-18.0,25.59,% of peak,6,0.83886,2 of 3
2016-18,kelly_f,76,36-40,0.4737,,,66.5,-33.5,46.07,% of peak,6,0.83886,2 of 3
2019-22,flat,136,81-55,0.5956,18.64,0.137,,,10.36,units,5,0.05549,1 of 4
2019-22,kelly_q,136,81-55,0.5956,,,114.6,14.6,17.26,% of peak,5,0.05549,1 of 4
2019-22,kelly_h,136,81-55,0.5956,,,128.9,28.9,32.01,% of peak,5,0.05549,1 of 4
2019-22,kelly_f,136,81-55,0.5956,,,155.2,55.2,54.81,% of peak,5,0.05549,1 of 4
2023-25,flat,63,40-23,0.6349,13.36,0.2121,,,4.0,units,4,0.04979,0 of 3
2023-25,kelly_q,63,40-23,0.6349,,,121.1,21.1,5.22,% of peak,4,0.04979,0 of 3
2023-25,kelly_h,63,40-23,0.6349,,,144.7,44.7,10.28,% of peak,4,0.04979,0 of 3
2023-25,kelly_f,63,40-23,0.6349,,,198.8,98.8,19.86,% of peak,4,0.04979,0 of 3
2019-25,flat,199,121-78,0.608,32.0,0.1608,,,10.64,units,5,0.01024,1 of 7
2019-25,kelly_q,199,121-78,0.608,,,138.8,38.8,17.63,% of peak,5,0.01024,1 of 7
2019-25,kelly_h,199,121-78,0.608,,,186.6,86.6,32.61,% of peak,5,0.01024,1 of 7
2019-25,kelly_f,199,121-78,0.608,,,308.4,208.4,55.63,% of peak,5,0.01024,1 of 7
