variant,margin_2015-18,4+_2015-18,margin_2019-22,4+_2019-22,margin_2023-25,4+_2023-25
trees weight 0.00,9.9573,64-58,10.0511,78-55,9.9396,40-24
trees weight 0.14,9.9495,68-55,10.0466,80-50,9.9288,40-21
trees weight 0.20,9.9487,69-54,10.0466,82-52,9.9266,42-20
trees weight 0.25,9.9497,71-56,10.0476,81-53,9.925,40-19
trees weight 0.33,9.9531,74-56,10.0517,87-56,9.9243,37-21
trees weight 0.50,9.9649,81-66,10.0677,92-68,9.9341,41-24
without base,9.9483,66-54,10.0454,79-51,9.9276,40-21
without success,9.9501,67-54,10.0479,80-51,9.9299,42-20
without split,9.9522,67-53,10.0474,78-49,9.9288,41-20
without plays,9.9469,68-51,10.0474,81-49,9.9251,41-22
without alpha3,9.9483,66-55,10.0453,79-50,9.9277,40-21
without alpha30,9.9482,66-55,10.0457,79-51,9.9275,40-21
without gbm,9.9573,64-58,10.0511,78-55,9.9396,40-24
base + trees only,9.9667,81-67,10.0707,92-70,9.9352,39-24
base + success + trees,9.9526,78-55,10.0515,84-58,9.9199,38-23
