variant,team_2015-18,margin_2015-18,total_2015-18,4+_2015-18,u3_2015-18,team_2019-22,margin_2019-22,total_2019-22,4+_2019-22,u3_2019-22,team_2023-25,margin_2023-25,total_2023-25,4+_2023-25,u3_2023-25,window,season_w,cur_w,alpha,EARLY_WEEKS,LATE_WEEK,DEAD_PCT,d_team_2015-18,d_margin_2015-18,d_total_2015-18,d_team_2019-22,d_margin_2019-22,d_total_2019-22,d_team_2023-25,d_margin_2023-25,d_total_2023-25,margin_better_all3,team_better_all3,total_better_all3
live,7.397,9.962,10.7729,61-58,57-47,7.3437,10.03,10.5765,81-55,112-68,7.2739,9.9137,10.245,40-23,10-13,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
last 3 seasons only,7.3868,9.9653,10.7446,63-58,63-55,7.3616,10.0225,10.649,100-65,98-59,7.3371,9.9792,10.3164,48-31,31-36,3,,,,,,,-0.0102,0.0033,-0.0283,0.0179,-0.0075,0.0725,0.0632,0.0655,0.0714,False,False,False
last 5 seasons only,7.397,9.962,10.7729,61-58,57-47,7.353,10.0238,10.5994,87-57,108-67,7.3229,9.9287,10.3085,41-30,18-19,5,,,,,,,0.0,0.0,0.0,0.0093,-0.0062,0.0229,0.049,0.015,0.0635,False,False,False
last 8 seasons only,7.397,9.962,10.7729,61-58,57-47,7.3477,10.0269,10.5765,81-56,113-68,7.2721,9.9019,10.2464,38-23,18-16,8,,,,,,,0.0,0.0,0.0,0.004,-0.0031,0.0,-0.0018,-0.0118,0.0014,False,False,False
recent seasons weigh 0.95 per season back,7.3933,9.9621,10.7729,60-61,57-47,7.3404,10.0231,10.5765,83-55,112-68,7.2766,9.9137,10.245,39-20,10-13,,0.95,,,,,,-0.0037,0.0001,0.0,-0.0033,-0.0069,0.0,0.0027,0.0,0.0,False,False,False
recent seasons weigh 0.9 per season back,7.3903,9.9623,10.7729,60-62,57-47,7.3376,10.0165,10.5765,81-54,112-68,7.2811,9.9162,10.245,39-19,10-13,,0.9,,,,,,-0.0067,0.0003,0.0,-0.0061,-0.0135,0.0,0.0072,0.0025,0.0,False,False,False
recent seasons weigh 0.8 per season back,7.3844,9.9645,10.7729,65-60,57-47,7.3341,10.0054,10.5765,82-57,112-68,7.2937,9.9272,10.245,38-20,10-13,,0.8,,,,,,-0.0126,0.0025,0.0,-0.0096,-0.0246,0.0,0.0198,0.0135,0.0,False,False,False
this season's games x1.5,7.3944,9.9664,10.7729,62-60,57-47,7.3393,10.0265,10.5765,78-57,112-68,7.2735,9.9145,10.245,40-23,10-13,,,1.5,,,,,-0.0026,0.0044,0.0,-0.0044,-0.0035,0.0,-0.0004,0.0008,0.0,False,True,False
this season's games x2.0,7.3932,9.9725,10.7729,61-60,57-47,7.3358,10.0234,10.5765,80-58,112-68,7.2736,9.9157,10.245,41-23,10-13,,,2.0,,,,,-0.0038,0.0105,0.0,-0.0079,-0.0066,0.0,-0.0003,0.002,0.0,False,True,False
this season's games x3.0,7.3947,9.9875,10.7729,67-61,57-47,7.3317,10.0188,10.5765,82-59,112-68,7.2746,9.9189,10.245,42-25,10-13,,,3.0,,,,,-0.0023,0.0255,0.0,-0.012,-0.0112,0.0,0.0007,0.0052,0.0,False,False,False
