variant,team_2015-18,margin_2015-18,total_2015-18,4+_2015-18,u3_2015-18,team_2019-22,margin_2019-22,total_2019-22,4+_2019-22,u3_2019-22,team_2023-25,margin_2023-25,total_2023-25,4+_2023-25,u3_2023-25,decay,prior,alpha,qb_k,qb_decay,qb_season_fade,qb_prior,d_team_2015-18,d_margin_2015-18,d_total_2015-18,d_team_2019-22,d_margin_2019-22,d_total_2019-22,d_team_2023-25,d_margin_2023-25,d_total_2023-25,margin_better_all3,team_better_all3,total_better_all3
live,7.397,9.962,10.7729,61-58,57-47,7.3437,10.03,10.5765,81-55,112-68,7.2739,9.9137,10.245,40-23,10-13,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
decay 0.9,7.4007,9.9755,10.7691,63-57,56-47,7.34,10.0368,10.5743,75-51,106-66,7.2808,9.9033,10.258,45-22,10-11,0.9,,,,,,,0.0037,0.0135,-0.0038,-0.0037,0.0068,-0.0022,0.0069,-0.0104,0.013,False,False,False
decay 0.92,7.3981,9.9655,10.7722,59-57,57-47,7.3413,10.0268,10.575,79-53,108-65,7.2763,9.9051,10.2504,44-21,9-12,0.92,,,,,,,0.0011,0.0035,-0.0007,-0.0024,-0.0032,-0.0015,0.0024,-0.0086,0.0054,False,False,False
decay 0.96,7.3988,9.9639,10.7726,68-60,61-48,7.3502,10.0499,10.5809,85-58,108-72,7.2754,9.9299,10.242,39-26,14-17,0.96,,,,,,,0.0018,0.0019,-0.0003,0.0065,0.0199,0.0044,0.0015,0.0162,-0.003,False,False,False
decay 0.98,7.4026,9.9689,10.7701,83-69,62-52,7.3595,10.0769,10.5884,93-70,110-75,7.2797,9.9567,10.2459,40-31,17-22,0.98,,,,,,,0.0056,0.0069,-0.0028,0.0158,0.0469,0.0119,0.0058,0.043,0.0009,False,False,False
last season 0.5,7.396,9.9634,10.7776,52-58,61-45,7.3423,10.0303,10.5842,72-51,108-69,7.2763,9.9075,10.2507,40-19,8-12,,0.5,,,,,,-0.001,0.0014,0.0047,-0.0014,0.0003,0.0077,0.0024,-0.0062,0.0057,False,False,False
last season 0.65,7.3958,9.9613,10.775,59-58,57-46,7.3427,10.0272,10.5797,77-54,112-67,7.2743,9.9103,10.247,39-19,8-13,,0.65,,,,,,-0.0012,-0.0007,0.0021,-0.001,-0.0028,0.0032,0.0004,-0.0034,0.002,True,False,False
last season 1.0,7.3994,9.9651,10.7715,71-61,60-47,7.3468,10.0384,10.574,87-55,109-69,7.2754,9.9185,10.2437,40-24,12-12,,1.0,,,,,,0.0024,0.0031,-0.0014,0.0031,0.0084,-0.0025,0.0015,0.0048,-0.0013,False,False,True
pull to average 8.0,7.3976,9.9639,10.7742,60-57,60-46,7.3444,10.0311,10.5774,79-58,109-71,7.2722,9.9169,10.2387,41-24,11-13,,,8.0,,,,,0.0006,0.0019,0.0013,0.0007,0.0011,0.0009,-0.0017,0.0032,-0.0063,False,False,False
pull to average 24.0,7.397,9.9612,10.7728,63-59,56-47,7.3437,10.03,10.5764,84-55,113-69,7.275,9.9118,10.2485,40-21,10-13,,,24.0,,,,,0.0,-0.0008,-0.0001,0.0,0.0,-0.0001,0.0011,-0.0019,0.0035,False,False,False
pull to average 32.0,7.3972,9.961,10.7728,64-61,57-46,7.3437,10.0301,10.5763,83-55,113-70,7.2758,9.9104,10.2507,40-20,10-13,,,32.0,,,,,0.0002,-0.001,-0.0001,0.0,0.0001,-0.0002,0.0019,-0.0033,0.0057,False,False,False
QB shrink 100.0,7.3931,9.9613,10.7705,58-59,57-47,7.3425,10.0295,10.5727,79-55,115-69,7.2726,9.9142,10.2425,43-22,10-14,,,,100.0,,,,-0.0039,-0.0007,-0.0024,-0.0012,-0.0005,-0.0038,-0.0013,0.0005,-0.0025,False,True,True
QB shrink 250.0,7.404,9.9665,10.778,65-62,57-46,7.3466,10.0306,10.5835,82-53,110-69,7.2772,9.9157,10.2482,39-23,9-13,,,,250.0,,,,0.007,0.0045,0.0051,0.0029,0.0006,0.007,0.0033,0.002,0.0032,False,False,False
QB decay per game 0.97,7.3958,9.9641,10.7688,62-58,57-47,7.3406,10.0351,10.566,79-53,110-71,7.2679,9.9139,10.2308,42-23,10-12,,,,,0.97,,,-0.0012,0.0021,-0.0041,-0.0031,0.0051,-0.0105,-0.006,0.0002,-0.0142,False,True,True
QB decay per game 0.995,7.3972,9.9615,10.7745,63-61,55-47,7.3467,10.0291,10.5839,85-58,111-68,7.2789,9.9145,10.253,38-21,10-13,,,,,0.995,,,0.0002,-0.0005,0.0016,0.003,-0.0009,0.0074,0.005,0.0008,0.008,False,False,False
QB fade per season 0.7,7.3941,9.9582,10.7676,62-59,57-47,7.3416,10.0364,10.566,80-54,110-69,7.269,9.9091,10.2388,41-24,11-13,,,,,,0.7,,-0.0029,-0.0038,-0.0053,-0.0021,0.0064,-0.0105,-0.0049,-0.0046,-0.0062,False,True,True
QB fade per season 0.9,7.399,9.9655,10.777,63-60,57-47,7.3462,10.0257,10.5862,86-57,114-69,7.2791,9.9189,10.2485,40-22,10-13,,,,,,0.9,,0.002,0.0035,0.0041,0.0025,-0.0043,0.0097,0.0052,0.0052,0.0035,False,False,False
QB replacement -0.08,7.3966,9.9628,10.7783,63-58,57-47,7.3469,10.0256,10.5837,80-58,115-68,7.2753,9.9274,10.2484,41-22,8-13,,,,,,,-0.08,-0.0004,0.0008,0.0054,0.0032,-0.0044,0.0072,0.0014,0.0137,0.0034,False,False,False
