variant,team_2015-18,margin_2015-18,total_2015-18,4+_2015-18,u3_2015-18,team_2019-22,margin_2019-22,total_2019-22,4+_2019-22,u3_2019-22,team_2023-25,margin_2023-25,total_2023-25,4+_2023-25,u3_2023-25,t_alpha,t_window,t_season_w,d_team_2015-18,d_margin_2015-18,d_total_2015-18,d_team_2019-22,d_margin_2019-22,d_total_2019-22,d_team_2023-25,d_margin_2023-25,d_total_2023-25,margin_better_all3,team_better_all3,total_better_all3
live,7.397,9.962,10.7729,61-58,57-47,7.3437,10.03,10.5765,81-55,112-68,7.2739,9.9137,10.245,40-23,10-13,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
total ridge 1.0,7.397,9.962,10.7799,61-58,58-46,7.3437,10.03,10.578,81-55,111-69,7.2739,9.9137,10.2447,40-23,10-13,1.0,,,0.0,0.0,0.007,0.0,0.0,0.0015,0.0,0.0,-0.0003,False,False,False
total ridge 3.0,7.397,9.962,10.7779,61-58,58-46,7.3437,10.03,10.5777,81-55,111-69,7.2739,9.9137,10.2447,40-23,10-13,3.0,,,0.0,0.0,0.005,0.0,0.0,0.0012,0.0,0.0,-0.0003,False,False,False
total ridge 30.0,7.397,9.962,10.764,61-58,59-47,7.3437,10.03,10.5742,81-55,114-68,7.2739,9.9137,10.2455,40-23,10-13,30.0,,,0.0,0.0,-0.0089,0.0,0.0,-0.0023,0.0,0.0,0.0005,False,False,False
total ridge 100.0,7.397,9.962,10.7466,61-58,58-47,7.3437,10.03,10.5716,81-55,112-69,7.2739,9.9137,10.2466,40-23,9-10,100.0,,,0.0,0.0,-0.0263,0.0,0.0,-0.0049,0.0,0.0,0.0016,False,False,False
total: last 3 seasons,7.397,9.962,10.7446,61-58,63-55,7.3437,10.03,10.649,81-55,98-59,7.2739,9.9137,10.3164,40-23,31-36,,3,,0.0,0.0,-0.0283,0.0,0.0,0.0725,0.0,0.0,0.0714,False,False,False
total: last 5 seasons,7.397,9.962,10.7729,61-58,57-47,7.3437,10.03,10.5994,81-55,108-67,7.2739,9.9137,10.3085,40-23,18-19,,5,,0.0,0.0,0.0,0.0,0.0,0.0229,0.0,0.0,0.0635,False,False,False
total: last 8 seasons,7.397,9.962,10.7729,61-58,57-47,7.3437,10.03,10.5765,81-55,113-68,7.2739,9.9137,10.2464,40-23,18-16,,8,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014,False,False,False
total: recent seasons weigh 0.9,7.397,9.962,10.7503,61-58,60-51,7.3437,10.03,10.573,81-55,108-67,7.2739,9.9137,10.2454,40-23,13-14,,,0.9,0.0,0.0,-0.0226,0.0,0.0,-0.0035,0.0,0.0,0.0004,False,False,False
total: recent seasons weigh 0.8,7.397,9.962,10.7309,61-58,58-51,7.3437,10.03,10.5777,81-55,97-62,7.2739,9.9137,10.2466,40-23,16-15,,,0.8,0.0,0.0,-0.042,0.0,0.0,0.0012,0.0,0.0,0.0016,False,False,False
total: recent seasons weigh 0.7,7.397,9.962,10.713,61-58,62-56,7.3437,10.03,10.5847,81-55,94-60,7.2739,9.9137,10.2478,40-23,20-16,,,0.7,0.0,0.0,-0.0599,0.0,0.0,0.0082,0.0,0.0,0.0028,False,False,False
