market,cut,window,wins,losses,pct,roi
spread,3.0,2019-22,132,116,0.532,0.018
spread,3.0,2023-25,80,58,0.58,0.117
spread,3.0,all,212,174,0.549,0.053
spread,3.0,2015-18,120,117,0.506,-0.037
spread,3.0,2015,40,42,0.488,-0.076
spread,3.0,2016,16,24,0.4,-0.26
spread,3.0,2017,27,28,0.491,-0.069
spread,3.0,2018,37,23,0.617,0.195
spread,3.0,2019,33,24,0.579,0.116
spread,3.0,2020,40,28,0.588,0.135
spread,3.0,2021,32,28,0.533,0.02
spread,3.0,2022,27,36,0.429,-0.2
spread,3.0,2023,19,10,0.655,0.276
spread,3.0,2024,40,23,0.635,0.233
spread,3.0,2025,21,25,0.457,-0.141
spread,3.0,2026,1,3,0.25,-0.575
total,3.0,2019-22,171,122,0.584,0.126
total,3.0,2023-25,98,94,0.51,-0.028
total,3.0,all,269,216,0.555,0.065
total,3.0,2015-18,137,122,0.529,0.011
total,3.0,2015,39,35,0.527,0.007
total,3.0,2016,25,29,0.463,-0.128
total,3.0,2017,35,27,0.565,0.085
total,3.0,2018,38,31,0.551,0.057
total,3.0,2019,27,19,0.587,0.133
total,3.0,2020,55,33,0.625,0.212
total,3.0,2021,54,38,0.587,0.133
total,3.0,2022,35,32,0.522,-0.003
total,3.0,2023,32,34,0.485,-0.082
total,3.0,2024,30,31,0.492,-0.067
total,3.0,2025,36,29,0.554,0.063
total,3.0,2026,7,7,0.5,-0.05
spread,3.5,2019-22,106,79,0.573,0.103
spread,3.5,2023-25,57,37,0.606,0.173
spread,3.5,all,163,116,0.584,0.127
spread,3.5,2015-18,88,80,0.524,0.0
spread,3.5,2015,32,28,0.533,0.02
spread,3.5,2016,11,15,0.423,-0.212
spread,3.5,2017,15,20,0.429,-0.2
spread,3.5,2018,30,17,0.638,0.24
spread,3.5,2019,29,16,0.644,0.253
spread,3.5,2020,32,17,0.653,0.271
spread,3.5,2021,24,18,0.571,0.1
spread,3.5,2022,21,28,0.429,-0.2
spread,3.5,2023,11,8,0.579,0.116
spread,3.5,2024,31,14,0.689,0.347
spread,3.5,2025,15,15,0.5,-0.05
spread,3.5,2026,0,2,0.0,-1.1
total,3.5,2019-22,133,92,0.591,0.141
total,3.5,2023-25,69,71,0.493,-0.065
total,3.5,all,202,163,0.553,0.062
total,3.5,2015-18,104,85,0.55,0.056
total,3.5,2015,29,23,0.558,0.071
total,3.5,2016,19,22,0.463,-0.127
total,3.5,2017,23,16,0.59,0.138
total,3.5,2018,33,24,0.579,0.116
total,3.5,2019,17,15,0.531,0.016
total,3.5,2020,46,23,0.667,0.3
total,3.5,2021,42,30,0.583,0.125
total,3.5,2022,28,24,0.538,0.031
total,3.5,2023,24,26,0.48,-0.092
total,3.5,2024,22,23,0.489,-0.073
total,3.5,2025,23,22,0.511,-0.027
total,3.5,2026,4,6,0.4,-0.26
spread,4.0,2019-22,80,51,0.611,0.182
spread,4.0,2023-25,40,21,0.656,0.277
spread,4.0,all,120,72,0.625,0.212
spread,4.0,2015-18,68,55,0.553,0.061
spread,4.0,2015,29,16,0.644,0.253
spread,4.0,2016,3,9,0.25,-0.575
spread,4.0,2017,12,17,0.414,-0.231
spread,4.0,2018,24,13,0.649,0.262
spread,4.0,2019,24,12,0.667,0.3
spread,4.0,2020,24,9,0.727,0.427
spread,4.0,2021,18,10,0.643,0.25
spread,4.0,2022,14,20,0.412,-0.235
spread,4.0,2023,6,3,0.667,0.3
spread,4.0,2024,21,9,0.7,0.37
spread,4.0,2025,13,9,0.591,0.141
spread,4.0,2026,0,2,0.0,-1.1
total,4.0,2019-22,102,59,0.634,0.23
total,4.0,2023-25,47,53,0.47,-0.113
total,4.0,all,149,112,0.571,0.099
total,4.0,2015-18,86,65,0.57,0.096
total,4.0,2015,26,16,0.619,0.2
total,4.0,2016,18,18,0.5,-0.05
total,4.0,2017,16,13,0.552,0.059
total,4.0,2018,26,18,0.591,0.141
total,4.0,2019,9,10,0.474,-0.105
total,4.0,2020,37,15,0.712,0.394
total,4.0,2021,34,21,0.618,0.198
total,4.0,2022,22,13,0.629,0.22
total,4.0,2023,17,21,0.447,-0.161
total,4.0,2024,16,18,0.471,-0.112
total,4.0,2025,14,14,0.5,-0.05
total,4.0,2026,1,5,0.167,-0.75
spread,4.5,2019-22,52,37,0.584,0.127
spread,4.5,2023-25,25,15,0.625,0.212
spread,4.5,all,77,52,0.597,0.153
spread,4.5,2015-18,43,36,0.544,0.043
spread,4.5,2015,18,8,0.692,0.354
spread,4.5,2016,1,5,0.167,-0.75
spread,4.5,2017,7,13,0.35,-0.365
spread,4.5,2018,17,10,0.63,0.222
spread,4.5,2019,14,10,0.583,0.125
spread,4.5,2020,15,7,0.682,0.332
spread,4.5,2021,13,6,0.684,0.337
spread,4.5,2022,10,14,0.417,-0.225
spread,4.5,2023,4,2,0.667,0.3
spread,4.5,2024,12,7,0.632,0.226
spread,4.5,2025,9,6,0.6,0.16
spread,4.5,2026,0,1,0.0,-1.1
total,4.5,2019-22,78,38,0.672,0.312
total,4.5,2023-25,32,30,0.516,-0.016
total,4.5,all,110,68,0.618,0.198
total,4.5,2015-18,56,42,0.571,0.1
total,4.5,2015,17,13,0.567,0.09
total,4.5,2016,15,10,0.6,0.16
total,4.5,2017,8,10,0.444,-0.167
total,4.5,2018,16,9,0.64,0.244
total,4.5,2019,6,6,0.5,-0.05
total,4.5,2020,33,11,0.75,0.475
total,4.5,2021,24,14,0.632,0.226
total,4.5,2022,15,7,0.682,0.332
total,4.5,2023,9,9,0.5,-0.05
total,4.5,2024,12,10,0.545,0.045
total,4.5,2025,11,11,0.5,-0.05
total,4.5,2026,1,5,0.167,-0.75
spread,5.0,2019-22,38,28,0.576,0.109
spread,5.0,2023-25,16,6,0.727,0.427
spread,5.0,all,54,34,0.614,0.189
spread,5.0,2015-18,29,24,0.547,0.049
spread,5.0,2015,10,4,0.714,0.4
spread,5.0,2016,1,4,0.2,-0.68
spread,5.0,2017,6,10,0.375,-0.312
spread,5.0,2018,12,6,0.667,0.3
spread,5.0,2019,10,6,0.625,0.212
spread,5.0,2020,11,6,0.647,0.259
spread,5.0,2021,10,5,0.667,0.3
spread,5.0,2022,7,11,0.389,-0.283
spread,5.0,2023,3,1,0.75,0.475
spread,5.0,2024,6,1,0.857,0.7
spread,5.0,2025,7,4,0.636,0.236
spread,5.0,2026,0,1,0.0,-1.1
total,5.0,2019-22,51,26,0.662,0.291
total,5.0,2023-25,21,16,0.568,0.092
total,5.0,all,72,42,0.632,0.226
total,5.0,2015-18,34,28,0.548,0.052
total,5.0,2015,10,10,0.5,-0.05
total,5.0,2016,11,7,0.611,0.183
total,5.0,2017,3,3,0.5,-0.05
total,5.0,2018,10,8,0.556,0.067
total,5.0,2019,4,5,0.444,-0.167
total,5.0,2020,21,5,0.808,0.596
total,5.0,2021,16,11,0.593,0.144
total,5.0,2022,10,5,0.667,0.3
total,5.0,2023,7,5,0.583,0.125
total,5.0,2024,9,7,0.562,0.081
total,5.0,2025,5,4,0.556,0.067
total,5.0,2026,0,5,0.0,-1.1
spread,5.5,2019-22,24,20,0.545,0.045
spread,5.5,2023-25,11,4,0.733,0.44
spread,5.5,all,35,24,0.593,0.146
spread,5.5,2015-18,17,18,0.486,-0.08
spread,5.5,2015,6,1,0.857,0.7
spread,5.5,2016,1,3,0.25,-0.575
spread,5.5,2017,5,9,0.357,-0.35
spread,5.5,2018,5,5,0.5,-0.05
spread,5.5,2019,8,5,0.615,0.192
spread,5.5,2020,7,4,0.636,0.236
spread,5.5,2021,5,4,0.556,0.067
spread,5.5,2022,4,7,0.364,-0.336
spread,5.5,2023,1,0,1.0,1.0
spread,5.5,2024,4,1,0.8,0.58
spread,5.5,2025,6,3,0.667,0.3
