model,rule,miss_2015-18,over_2015-18,under_2015-18,miss_2019-22,over_2019-22,under_2019-22,miss_2023-25,over_2023-25,under_2023-25
mean,3+,10.773,77-76,57-47,10.577,61-67,112-68,10.245,95-93,10-13
mean,4+,10.773,41-44,33-27,10.577,36-37,71-33,10.245,41-47,3-6
mean_drift,3+,10.775,91-89,55-45,10.573,64-68,99-57,10.213,73-74,12-16
mean_drift,4+,10.775,44-49,30-29,10.573,39-35,60-29,10.213,28-38,4-6
median,3+,10.789,46-52,89-64,10.582,47-42,124-83,10.246,50-57,26-30
median,4+,10.789,26-28,62-39,10.582,27-22,82-44,10.246,20-30,7-12
median_drift,3+,10.797,59-67,83-59,10.584,49-44,120-81,10.233,39-48,25-24
median_drift,4+,10.797,32-40,50-38,10.584,27-24,83-44,10.233,17-23,8-10
trees_med,3+,10.876,124-99,124-116,10.788,86-80,157-120,10.429,55-70,47-54
trees_med,4+,10.876,90-62,91-81,10.788,55-51,105-88,10.429,33-41,21-37
p_dist,P>=0.55,,123-133,159-130,,107-114,202-150,,141-123,68-61
p_dist,P>=0.58,,68-76,93-74,,61-65,139-98,,82-82,25-31
p_logit,P>=0.55,,138-156,103-81,,30-24,185-162,,5-12,39-35
p_logit,P>=0.58,,96-96,68-53,,4-6,139-117,,0-0,8-13
