season 2026: trained on 7124 team-games, sigma margin 13.06, total 13.36, hfa 1.98
(2232, 31)
         feature  points_per_unit  feature_sd  points_per_sd
       qb_rating           16.185       0.091          1.479
          off_pf            0.976       1.109          1.083
            home            1.885       0.500          0.942
          def_pf           -0.928       0.919         -0.853
        wind_out           -0.130       5.680         -0.738
    off_epa_play           29.524       0.023          0.673
    def_epa_play          -29.454       0.019         -0.570
opp_off_epa_play          -20.302       0.023         -0.462
       def_plays           -0.592       0.722         -0.427
        div_game           -0.770       0.480         -0.370
      rest_short            1.517       0.235          0.356
          qb_out           -2.069       0.137         -0.283
  opp_rest_short           -1.121       0.235         -0.263
    off_rush_epa           11.616       0.020          0.227
own_def_epa_play           10.189       0.019          0.197
    off_pass_epa           -6.003       0.032         -0.194
   opp_qb_rating           -1.721       0.091         -0.157
            dome            0.299       0.441          0.132
       primetime           -0.289       0.397         -0.115
    def_rush_epa           -5.679       0.019         -0.108
       rest_long            0.290       0.335          0.097
   opp_off_plays            0.113       0.809          0.092
    def_pass_epa            0.814       0.028          0.023
            cold            0.082       0.245          0.020
   opp_rest_long            0.057       0.335          0.019
         neutral            0.046       0.133          0.006
       off_plays           -0.004       0.809         -0.003
