season,window,team,model_wins,actual,line,vegas_wins,blend_wins
2019,2019-22,ARI,4.6502,5.5,5.0,5.11,4.8801000000000005
2019,2019-22,ATL,8.5805,7.0,8.5,8.81,8.695250000000001
2019,2019-22,BAL,8.1323,14.0,8.5,8.29,8.21115
2019,2019-22,BUF,7.2672,10.0,7.0,7.31,7.2886
2019,2019-22,CAR,7.8348,5.0,8.0,8.21,8.022400000000001
2019,2019-22,CHI,9.2788,8.0,9.0,9.31,9.2944
2019,2019-22,CIN,7.2052,2.0,6.0,5.6,6.4026
2019,2019-22,CLE,7.6747,6.0,9.0,8.89,8.282350000000001
2019,2019-22,DAL,8.6397,8.0,9.0,9.0,8.819849999999999
2019,2019-22,DEN,7.0613,7.0,7.0,7.21,7.13565
2019,2019-22,DET,7.9133,3.5,6.5,6.9,7.40665
2019,2019-22,GB,7.9627,13.0,9.0,9.31,8.63635
2019,2019-22,HOU,8.5265,10.0,8.5,8.55,8.538250000000001
2019,2019-22,IND,7.6128,7.0,7.5,7.5,7.5564
2019,2019-22,JAX,7.0625,6.0,8.0,8.0,7.53125
2019,2019-22,KC,10.222,12.0,10.5,10.71,10.466000000000001
2019,2019-22,LA,9.0825,9.0,10.5,10.14,9.61125
2019,2019-22,LAC,9.4285,5.0,10.0,9.69,9.559249999999999
2019,2019-22,LV,5.5725,7.0,6.0,5.46,5.516249999999999
2019,2019-22,MIA,6.7293,5.0,4.5,4.39,5.5596499999999995
2019,2019-22,MIN,8.1227,10.0,9.0,9.16,8.64135
2019,2019-22,NE,10.8123,12.0,11.5,11.5,11.15615
2019,2019-22,NO,10.3218,13.0,10.5,10.1,10.210899999999999
2019,2019-22,NYG,7.264,4.0,6.0,5.84,6.552
2019,2019-22,NYJ,5.9875,7.0,7.5,7.5,6.74375
2019,2019-22,PHI,8.6432,9.0,10.0,10.4,9.5216
2019,2019-22,PIT,9.8145,8.0,9.5,9.5,9.657250000000001
2019,2019-22,SEA,9.2462,11.0,9.0,8.89,9.068100000000001
2019,2019-22,SF,7.497,13.0,8.0,8.31,7.9035
2019,2019-22,TB,7.156,7.0,6.5,6.5,6.827999999999999
2019,2019-22,TEN,8.1268,9.0,8.0,7.69,7.9084
2019,2019-22,WAS,6.5707,3.0,6.0,5.6,6.08535
2020,2019-22,ARI,7.1162,8.0,7.5,7.5,7.3081
2020,2019-22,ATL,8.3923,4.0,7.5,7.39,7.89115
2020,2019-22,BAL,10.9523,11.0,11.5,11.19,11.07115
2020,2019-22,BUF,8.4432,13.0,9.0,9.11,8.776599999999998
2020,2019-22,CAR,5.416,5.0,5.5,5.81,5.6129999999999995
2020,2019-22,CHI,7.5992,8.0,8.0,7.74,7.6696
2020,2019-22,CIN,5.5247,4.5,5.5,5.9,5.712350000000001
2020,2019-22,CLE,7.1763,11.0,8.5,8.5,7.838150000000001
2020,2019-22,DAL,9.5893,6.0,10.0,10.0,9.79465
2020,2019-22,DEN,6.7638,5.0,7.5,7.71,7.2369
2020,2019-22,DET,7.1378,5.0,7.0,7.21,7.1739
2020,2019-22,GB,8.7725,13.0,8.5,8.61,8.69125
2020,2019-22,HOU,7.6365,4.0,7.5,7.34,7.48825
2020,2019-22,IND,8.7803,11.0,9.5,9.5,9.14015
2020,2019-22,JAX,6.1245,1.0,4.5,4.5,5.312250000000001
2020,2019-22,KC,11.4313,14.0,11.5,11.61,11.52065
2020,2019-22,LA,8.6792,10.0,8.5,8.29,8.4846
2020,2019-22,LAC,7.7798,7.0,8.0,7.95,7.8649000000000004
2020,2019-22,LV,6.7278,8.0,7.5,7.24,6.9839
2020,2019-22,MIA,6.4458,10.0,6.0,6.05,6.2479
2020,2019-22,MIN,8.5812,7.0,9.0,8.79,8.6856
2020,2019-22,NE,8.9907,7.0,9.0,8.69,8.84035
2020,2019-22,NO,9.9402,12.0,10.5,10.19,10.065100000000001
2020,2019-22,NYG,5.9685,6.0,6.5,6.19,6.07925
2020,2019-22,NYJ,6.6688,2.0,6.5,6.19,6.4294
2020,2019-22,PHI,8.1743,4.5,9.5,9.1,8.63715
2020,2019-22,PIT,9.4815,12.0,9.5,9.39,9.43575
2020,2019-22,SEA,8.5475,12.0,9.5,9.39,8.96875
2020,2019-22,SF,10.1407,6.0,10.5,10.19,10.16535
2020,2019-22,TB,8.9102,11.0,9.5,9.66,9.2851
2020,2019-22,TEN,8.9732,11.0,8.5,8.71,8.8416
2020,2019-22,WAS,5.1343,7.0,5.0,5.21,5.17215
2021,2019-22,ARI,8.7292,11.0,8.5,8.5,8.6146
2021,2019-22,ATL,9.005,7.0,7.5,7.61,8.307500000000001
2021,2019-22,BAL,10.8698,8.0,10.5,10.71,10.7899
2021,2019-22,BUF,11.1917,11.0,11.5,11.5,11.34585
2021,2019-22,CAR,6.6305,5.0,7.5,7.39,7.010249999999999
2021,2019-22,CHI,7.5908,6.0,7.5,7.19,7.3904
2021,2019-22,CIN,7.0858,10.0,6.5,6.5,6.7928999999999995
2021,2019-22,CLE,8.5252,8.0,10.5,10.61,9.567599999999999
2021,2019-22,DAL,8.563,12.0,9.0,9.11,8.836500000000001
2021,2019-22,DEN,7.7207,7.0,9.0,8.89,8.30535
2021,2019-22,DET,6.0778,3.5,4.5,4.71,5.3939
2021,2019-22,GB,11.022,13.0,10.5,10.71,10.866
2021,2019-22,HOU,7.0818,4.0,4.0,3.79,5.4359
2021,2019-22,IND,8.8998,9.0,9.0,9.11,9.0049
2021,2019-22,JAX,5.414,3.0,6.5,6.29,5.852
2021,2019-22,KC,10.8103,12.0,12.5,12.34,11.57515
2021,2019-22,LA,9.5768,12.0,10.5,10.39,9.9834
2021,2019-22,LAC,8.626,9.0,9.5,9.5,9.062999999999999
2021,2019-22,LV,7.7833,10.0,7.5,7.39,7.58665
2021,2019-22,MIA,8.5447,9.0,9.0,9.31,8.92735
2021,2019-22,MIN,7.6622,8.0,9.0,8.89,8.2761
2021,2019-22,NE,6.8965,10.0,9.5,9.5,8.19825
2021,2019-22,NO,10.0073,9.0,9.0,8.6,9.303650000000001
2021,2019-22,NYG,7.1998,4.0,7.0,6.89,7.0449
2021,2019-22,NYJ,5.7492,4.0,6.0,5.79,5.7696000000000005
2021,2019-22,PHI,6.9625,9.0,6.5,6.9,6.93125
2021,2019-22,PIT,9.2278,9.5,8.5,8.29,8.7589
2021,2019-22,SEA,9.6043,7.0,9.5,9.9,9.75215
2021,2019-22,SF,8.9025,10.0,10.5,10.39,9.64625
2021,2019-22,TB,11.865,13.0,12.0,12.11,11.9875
2021,2019-22,TEN,9.2747,12.0,9.5,9.71,9.49235
2021,2019-22,WAS,8.8998,7.0,8.5,8.71,8.8049
2022,2019-22,ARI,8.3382,4.0,8.5,8.29,8.3141
2022,2019-22,ATL,6.8942,7.0,4.5,4.81,5.8521
2022,2019-22,BAL,8.7868,10.0,10.5,10.29,9.5384
2022,2019-22,BUF,10.5428,13.0,12.0,12.0,11.2714
2022,2019-22,CAR,7.6852,7.0,6.5,6.71,7.1975999999999996
2022,2019-22,CHI,6.4495,3.0,5.5,5.65,6.0497499999999995
2022,2019-22,CIN,9.1782,12.0,9.5,9.71,9.4441
2022,2019-22,CLE,7.1845,7.0,8.0,8.11,7.64725
2022,2019-22,DAL,10.9103,12.0,10.0,9.69,10.300149999999999
2022,2019-22,DEN,8.6797,5.0,10.0,9.79,9.23485
2022,2019-22,DET,7.4025,9.0,6.5,6.9,7.15125
2022,2019-22,GB,10.4483,8.0,11.0,11.21,10.82915
2022,2019-22,HOU,6.0558,3.5,4.5,4.61,5.3329
2022,2019-22,IND,9.315,4.5,10.0,10.11,9.712499999999999
2022,2019-22,JAX,6.0385,9.0,6.5,6.61,6.32425
2022,2019-22,KC,10.8137,14.0,10.5,10.9,10.856850000000001
2022,2019-22,LA,10.0268,5.0,10.5,10.39,10.208400000000001
2022,2019-22,LAC,9.3925,10.0,10.5,10.39,9.89125
2022,2019-22,LV,7.4582,6.0,8.5,8.9,8.1791
2022,2019-22,MIA,8.3927,9.0,9.0,9.21,8.80135
2022,2019-22,MIN,8.9632,13.0,9.5,9.5,9.2316
2022,2019-22,NE,9.6642,8.0,8.5,8.39,9.0271
2022,2019-22,NO,9.4295,7.0,9.0,8.89,9.15975
2022,2019-22,NYG,6.5435,9.5,7.0,6.69,6.61675
2022,2019-22,NYJ,5.984,7.0,5.5,5.61,5.797000000000001
2022,2019-22,PHI,9.143,14.0,10.0,9.79,9.4665
2022,2019-22,PIT,7.4097,9.0,7.5,7.66,7.5348500000000005
2022,2019-22,SEA,7.5278,9.0,5.5,5.66,6.5939
2022,2019-22,SF,8.3247,13.0,10.0,10.0,9.16235
2022,2019-22,TB,10.5623,8.0,11.0,10.69,10.626149999999999
2022,2019-22,TEN,9.5207,7.0,9.0,8.69,9.10535
2022,2019-22,WAS,7.9342,8.5,7.5,7.71,7.8221
2023,2023-25,ARI,5.7612,4.0,4.5,4.01,4.8856
2023,2023-25,ATL,8.1585,7.0,8.5,8.95,8.55425
2023,2023-25,BAL,9.3375,13.0,10.0,10.21,9.77375
2023,2023-25,BUF,10.1177,11.0,10.5,10.81,10.46385
2023,2023-25,CAR,7.6613,2.0,7.5,7.24,7.4506499999999996
2023,2023-25,CHI,6.2413,7.0,7.5,7.81,7.02565
2023,2023-25,CIN,10.6917,9.0,11.0,10.89,10.79085
2023,2023-25,CLE,9.196,11.0,9.0,9.31,9.253
2023,2023-25,DAL,10.1245,12.0,10.0,10.21,10.16725
2023,2023-25,DEN,7.36,8.0,8.5,8.29,7.824999999999999
2023,2023-25,DET,9.4097,12.0,9.5,9.61,9.50985
2023,2023-25,GB,7.792,9.0,7.5,7.86,7.8260000000000005
2023,2023-25,HOU,6.2265,10.0,6.5,6.1,6.16325
2023,2023-25,IND,6.3232,9.0,6.5,6.61,6.4666
2023,2023-25,JAX,9.4708,9.0,9.5,9.81,9.6404
2023,2023-25,KC,11.1158,11.0,11.5,11.61,11.3629
2023,2023-25,LA,7.7632,10.0,6.5,6.29,7.0266
2023,2023-25,LAC,8.9618,5.0,9.5,9.71,9.3359
2023,2023-25,LV,8.7385,8.0,6.5,6.29,7.5142500000000005
2023,2023-25,MIA,8.6038,11.0,9.5,9.39,8.9969
2023,2023-25,MIN,8.3865,7.0,8.5,8.71,8.54825
2023,2023-25,NE,7.549,4.0,7.5,7.1,7.3245000000000005
2023,2023-25,NO,9.7775,9.0,9.5,9.5,9.63875
2023,2023-25,NYG,7.6095,6.0,7.5,7.61,7.60975
2023,2023-25,NYJ,8.523,7.0,9.5,9.66,9.0915
2023,2023-25,PHI,10.7063,11.0,11.5,11.34,11.023150000000001
2023,2023-25,PIT,8.286,10.0,9.0,8.89,8.588000000000001
2023,2023-25,SEA,7.8497,9.0,9.0,8.89,8.36985
2023,2023-25,SF,10.831,12.0,11.0,10.69,10.7605
2023,2023-25,TB,7.4867,9.0,6.0,6.4,6.943350000000001
2023,2023-25,TEN,8.6912,6.0,7.5,7.61,8.1506
